signal_date,stage,board,samples,hits
20210813,2.0,SH_MAIN,2,1.0
20210813,2.0,SZ_MAIN,5,1.0
20210813,3.0,SH_MAIN,1,1.0
20210813,3.0,SZ_MAIN,2,0.0
20210816,2.0,SH_MAIN,4,1.0
20210816,2.0,SZ_MAIN,4,0.0
20210816,3.0,SH_MAIN,1,1.0
20210816,3.0,SZ_MAIN,1,1.0
20210817,2.0,SH_MAIN,3,1.0
20210817,2.0,SZ_MAIN,5,5.0
20210817,3.0,SH_MAIN,1,1.0
20210818,2.0,SH_MAIN,1,1.0
20210818,2.0,SZ_MAIN,2,1.0
20210818,3.0,SH_MAIN,1,1.0
20210818,3.0,SZ_MAIN,5,1.0
20210819,2.0,SH_MAIN,1,1.0
20210819,2.0,SZ_MAIN,6,1.0
20210819,3.0,SH_MAIN,1,0.0
20210819,3.0,SZ_MAIN,1,0.0
20210820,2.0,SH_MAIN,1,1.0
20210820,2.0,SZ_MAIN,1,1.0
20210820,3.0,SH_MAIN,1,0.0
20210820,3.0,SZ_MAIN,1,0.0
20210823,2.0,SH_MAIN,3,1.0
20210823,2.0,SZ_MAIN,9,1.0
20210823,3.0,SH_MAIN,1,1.0
20210823,3.0,SZ_MAIN,1,0.0
20210824,2.0,SH_MAIN,6,2.0
20210824,2.0,SZ_MAIN,5,2.0
20210824,3.0,SH_MAIN,1,0.0
20210824,3.0,SZ_MAIN,1,1.0
20210825,2.0,SH_MAIN,4,1.0
20210825,2.0,SZ_MAIN,2,0.0
20210825,3.0,SH_MAIN,2,1.0
20210825,3.0,SZ_MAIN,2,1.0
20210826,2.0,SH_MAIN,5,0.0
20210826,2.0,SZ_MAIN,1,0.0
20210826,3.0,SH_MAIN,1,1.0
20210827,2.0,SH_MAIN,5,2.0
20210827,2.0,SZ_MAIN,3,2.0
20210830,2.0,SH_MAIN,6,1.0
20210830,2.0,SZ_MAIN,4,2.0
20210830,3.0,SH_MAIN,2,1.0
20210830,3.0,SZ_MAIN,2,0.0
20210831,2.0,SH_MAIN,5,0.0
20210831,2.0,SZ_MAIN,4,1.0
20210831,3.0,SH_MAIN,1,0.0
20210831,3.0,SZ_MAIN,2,1.0
