trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,realized_ret_t1_to_t2,premium_ret_t1_to_t2,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,close_t2,dataset_split,sample_weight,is_cold_start,feature_coverage_score,eret_truth_version,return_holding_mode,buy_window_start,buy_window_end,open_t1,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing,pct_chg_t2__is_missing,amount_t2__is_missing
20260519,20260520,20260521,20260520,20260521,002421.SZ,达实智能,2,FULLY_READY,1,1,1,weak_intraday_break_without_minbar,1,strong_close_t2_over_entry_proxy_t1,-0.072599531615925,-0.072599531615925,4.27,4.27,t1_open_degrade_missing,3.96,3.96,3.96,raw_train_pool,1.4500000000000002,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,4.27,4.38,4.7,3.84,9256904.66,3931646.379,-7.26,2421,软件服务,深圳,主板,20100603,3.88,3.88,3.88,3.88,9.915,0.3554741181859826,9.915,0.0,0.0,9.914999999999996,625609.1,242736.331,3.1228,3.6759,0.41,4.084679025654383e-05,,,,,,,,822785.6759,,,,358681.44,53826.49,166423.87,192257.57,,7.0,2.0,1.0,2.0,7.0,0.0,,,,,,0.0,,,,,,,U,0.0,322834585.0,322834585.0,92500.0,92500.0,,,,,,3.88,3.18,1.0,0.0,2.973367943722446,0.601927468224133,73.277778,0.6729057079444091,软件服务,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,605488.SH,福莱新材,3,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0283114256825076,-0.0283114256825076,39.56,39.56,t1_open,38.44,38.44,38.44,raw_train_pool,1.75,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,39.56,36.8,40.1,36.8,261794.53,1017477.364,4.2865,605488,塑料,浙江,主板,20210513,37.04,38.52,37.04,38.52,9.9943,3.5036337010996608,9.9943,0.4224185877466263,0.4224185877466263,9.571881412253376,70559.21,269460.329,2.5546,5.7127,0.85,3.709006085270533e-05,,,,,,,,1162845.377,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,191602293.0,191602293.0,93103.0,93103.0,,,,,,38.52,31.52,1.0,0.0,2.429318800214406,0.5340093854591861,69.011111,0.01,塑料,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,600863.SH,华能蒙电,4,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0210526315789474,-0.0210526315789474,5.7,5.7,t1_open,5.58,5.58,5.58,raw_train_pool,1.5,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,5.7,5.18,5.88,5.16,3932988.71,2162883.333,3.7175,600863,火力发电,内蒙,主板,19940520,4.97,5.42,4.97,5.42,9.9391,0.4954703769048642,9.9391,0.908227859778598,0.908227859778598,9.0308721402214,1600657.61,854031.356,2.4524,5.2438,1.47,1.163786309504074e-05,,,,,,,,4246672.7415,,,,358681.44,53826.49,166423.87,192257.57,,5.0,3.0,1.0,3.0,5.0,0.0,,,,,,0.0,,,,,,,U,1.0,212703293.0,212703293.0,93556.0,94223.0,,,,,,5.42,4.44,1.0,0.0,2.226599319990462,0.4466697997406643,63.244444,0.5394931282264485,火力发电,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,603115.SH,海星股份,5,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,0.1621057259039455,0.1621057259039455,90.99,90.99,t1_open,105.74,105.74,105.74,raw_train_pool,1.5,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,90.99,96.49,107.31,92.18,118116.2,1208784.418,8.3957,603115,铝,江苏,主板,20190809,86.24,91.6,81.66,91.6,10.0036,8.324548329637572,10.0036,1.194058777292576,0.6438787772925764,9.359721222707424,87575.8,754670.087,3.6205,10.1962,1.01,1.3255593632665076e-05,,,,,,,,2215716.064,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,-9174580.6,-0.72,32.94,22157160640.0,32.94,0.0,,,,,,,U,0.0,60751043.0,60751043.0,103123.0,103123.0,,,,,,91.6,74.94,1.0,0.0,2.136123448650657,0.4358250957781931,62.366667,0.0164,铝,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,600903.SH,贵州燃气,6,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0291545189504371,-0.0291545189504371,10.29,10.29,t1_open,9.99,9.99,9.99,raw_train_pool,1.5,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,10.29,9.29,10.15,9.06,1623165.3,1569803.344,1.6277,600903,供气供热,贵州,主板,20171107,9.4,9.69,9.3,9.69,9.9886,0.8818229801794587,9.9886,0.4422656346749212,0.3288641898864799,9.65973581011352,582541.0,560552.367,5.0655,14.9057,0.72,1.7819209387086578e-05,,,,,,,,1114359.1164,,,,358681.44,53826.49,166423.87,192257.57,,2.0,9.0,1.0,9.0,2.0,0.0,37519461.55,2.79,29.69,11143591163.52,29.69,0.0,,,,,,,U,3.0,51769212.0,51769212.0,93105.0,100741.0,,,,,,9.69,7.93,1.0,0.0,1.6159980688951632,0.3523349000924829,75.955556,0.0637942950693908,供气供热,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,002484.SZ,江海股份,7,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0728244529814597,-0.0728244529814597,59.87,59.87,t1_open,55.51,55.51,55.51,raw_train_pool,1.5,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,59.87,58.46,58.9,55.0,480568.28,2733036.932,-5.273,2484,元器件,江苏,主板,20100929,52.39,58.69,51.6,58.69,10.0094,5.33089904990281,10.0094,1.3299820412335996,1.181789401942409,8.827610598057591,606967.84,3368971.282,7.3978,11.5568,1.05,2.9710553050656724e-06,,,,,,,,4991725.0097,,,,358681.44,53826.49,166423.87,192257.57,,14.0,1.0,1.0,1.0,14.0,0.0,-143334796.71,-1.98,54.86,48153517232.85,54.86,0.0,,,,,,,U,2.0,108263388.0,108263388.0,132842.0,144218.0,,,,,,58.69,48.02,1.0,0.0,1.8259165880301167,0.3495416596659116,45.422222,0.8363999999999999,元器件,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,000910.SZ,大亚圣象,8,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0598885793871866,-0.0598885793871866,7.18,7.18,t1_open,6.75,6.75,6.75,raw_train_pool,1.5,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,7.18,7.13,7.16,6.7,189312.96,131166.069,-5.3296,910,家居用品,江苏,主板,19990630,6.57,7.06,6.52,7.06,9.9688,0.6436437896579389,9.9688,0.838973371104816,0.7612906515580726,9.207509348441926,202750.28,137558.059,3.7054,6.9203,1.42,7.246976347638053e-05,,,,,,,,386462.635,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,0.0,67073530.0,67073530.0,95006.0,95006.0,,,,,,7.06,5.78,1.0,0.0,2.1502900981761472,0.3291465009411757,77.544444,0.01,家居用品,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,000417.SZ,合百集团,9,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.0148148148148147,-0.0148148148148147,9.45,9.45,t1_open,9.31,9.31,9.31,raw_train_pool,1.5,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,9.45,10.48,10.48,9.22,2358536.04,2356617.799,-2.3085,417,百货,安徽,主板,19960812,8.66,8.66,8.66,8.66,10.0381,0.7845553129614699,10.0381,0.0,0.0,10.0381,257173.33,222712.104,3.3012,5.3285,0.65,4.50720900198581e-05,,,,,,,,675379.7172,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,54875999.06,18.46,50.77,6746377725.66,50.77,0.0,,,,,,,U,0.0,226296382.0,226296382.0,92500.0,92500.0,,,,,,8.66,7.08,1.0,0.0,2.507057038263633,0.3755060193221482,59.277778,0.0164,百货,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,600310.SH,广西能源,10,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.084507042253521,-0.084507042253521,5.68,5.68,t1_open,5.2,5.2,5.2,raw_train_pool,1.5,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,5.68,5.07,5.46,5.05,1593370.4,831046.332,2.5641,600310,水力发电,广西,主板,20010228,5.1,5.62,4.98,5.62,9.9804,0.511821062984955,9.9804,1.250437010676156,1.015980071174378,8.964419928825622,1429644.75,774011.942,9.7539,19.9017,0.95,1.2894374696869986e-05,,,,,,,,823729.4258,,,,358681.44,53826.49,166423.87,192257.57,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,3.0,77110693.0,77110693.0,102323.0,102653.0,,,,,,5.62,4.6,1.0,0.0,1.422780135791284,0.360125327308926,61.044444,0.01,水力发电,0,0,0,0,0
20260519,20260520,20260521,20260520,20260521,605218.SH,伟时电子,11,FULLY_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,-0.028638497652582,-0.028638497652582,21.3,21.3,t1_open,20.69,20.69,20.69,raw_train_pool,1.25,0,1.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,09:30:00,10:30:00,21.3,21.34,22.2,20.65,161750.06,348558.737,-1.1467,605218,元器件,江苏,主板,20200928,19.35,21.29,19.35,21.29,10.0258,1.9309256471185765,10.0258,1.004699483325504,1.004699483325504,9.021100516674496,103735.99,215192.94,4.874,13.1324,2.56,4.658981842062291e-05,,,,,,,,516952.541,,,,358681.44,53826.49,166423.87,192257.57,,14.0,1.0,1.0,1.0,14.0,0.0,61538844.0,17.18,31.83,4531224363.4,31.83,0.0,,,,,,,U,0.0,75136689.0,75136689.0,94206.0,94206.0,,,,,,21.29,17.42,1.0,0.0,2.418357030954546,0.2224276263820138,59.788889,0.8363999999999999,元器件,0,0,0,0,0
