trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,realized_ret_open_to_tplus1_open_0930,realized_ret_t1_to_t2,premium_ret_t1_to_t2,entry_price_t1,entry_price_t_opening_auction,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_tplus1_timed,exit_price_tplus1_open,exit_price_source,exit_on_time,exit_reason,take_profit_price_tplus1,stop_loss_price_tplus1,latest_exit_time,exit_policy_version,exit_price_t2_close,close_t2,close_t2,dataset_split,sample_weight,is_cold_start,feature_coverage_score,eret_truth_version,return_holding_mode,execution_contract,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,auction_vol,auction_price,auction_amount,auction_strength_score,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,intraday_available,intraday_status,intraday_missing_reason,minute_freq,minute_rows,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_tag,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing,pct_chg_t2__is_missing,amount_t2__is_missing,ret_2d__is_missing,ret_5d__is_missing,ret_10d__is_missing,volatility_5d__is_missing,volatility_10d__is_missing,volatility_20d__is_missing,atr__is_missing,downside_vol__is_missing,max_drawdown_20d__is_missing,tail_risk_score__is_missing,bid_ask_proxy__is_missing,spread_proxy__is_missing
20260831,20260901,20260902,20260901,20260902,002903.SZ,宇环数控,1,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,-0.0597672223969801,-0.0597672223969801,-0.0868197546398238,31.79,31.79,31.79,t_opening_auction,29.89,29.89,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,29.03,29.03,29.03,raw_train_pool,1.75,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,31.79,31.79,29.88,30.2,29.89,29.96,29.01,122022.69,357541.32709,-3.8742,2903,通用设备,湖南,主板,20171013,28.3,31.85,28.0,31.85,10.0173,28.949992410284565,10.0173,0.1329879450549451,0.1226252480376766,-0.0224522480376766,158498.18,487507.14698,14.735,17.2433,0.76,2.054800644883871e-05,0.053729573601789,0.062305344247254,0.04984999932472,0.0780574901648552,0.0157287851695247,-0.1419679905157084,0.2075467750099532,0.0900068446269679,-0.0253977968176254,0.0814940577249576,0.1208791208791209,0.1329879450549451,495781.8775,,,,325957.16,54769.25,155475.51,170481.65,,7.0,1.0,1.0,1.0,7.0,0.0,,,,,,0.0,,181500,28.3,5136450.0,0.8794648491732929,U,0.0,165569008.0,165569008.0,94712.0,94712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.85,26.06,1.0,0.0,2.610882924971779,0.3795575284192563,70.64557,0.83,通用设备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,002008.SZ,大族激光,2,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,-0.0192050939714492,-0.0192050939714492,-0.0408750128376296,97.37,97.37,97.37,t_opening_auction,95.5,95.5,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,93.39,93.39,93.39,raw_train_pool,1.75,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,97.37,99.5,94.02,94.6,95.5,95.5,91.0,475493.64,4425615.96934,-1.2791,2008,自动化设,深圳,主板,20040625,86.47,96.38,85.73,96.38,9.9977,87.62001387301734,9.9977,0.121547572629176,0.1131020135920315,-0.0131250135920315,579100.38,5336748.60856,6.0529,7.4164,1.78,1.8733691116654736e-06,0.0460444564474938,0.0532881667606315,0.0479116122777662,0.063519794753002,0.0284425912746092,-0.1559988091693956,0.2323530127217711,0.0708888888888887,0.1193960511033682,-0.0435645529423439,0.1105001037559658,0.121547572629176,9923317.5692,,,,325957.16,54769.25,155475.51,170481.65,,,,0.0,,,0.0,32588983.73,0.61,41.03,92209628051.14,41.03,0.0,,253258,86.47,21899219.26,0.96630064369557,U,0.0,278905407.0,278905407.0,141421.0,141421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.38,78.86,1.0,0.0,2.6079169059743625,0.3786936955261394,59.582278,0.0164,自动化设,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,000977.SZ,浪潮信息,4,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,-0.0030267753201397,-0.0030267753201397,-0.0024447031431897,85.9,85.9,85.9,t_opening_auction,85.64,85.64,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,85.69,85.69,85.69,raw_train_pool,1.5,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,85.9,87.14,85.18,85.6,85.64,87.5,84.8,823857.49,7076118.8492,0.1051,977,计算机设,山东,主板,20000608,76.38,85.18,76.37,85.18,9.9948,77.44002443751887,9.9948,0.1137654599671284,0.1136363277764734,-0.0136883277764735,1166685.1,9601180.89974,7.9533,11.7227,2.32,1.0409969465600489e-06,0.0423519871571112,0.0513839592498375,0.0406648757377062,0.0562305634003172,0.0294620379917246,-0.1000370507595405,0.1701639644889714,0.0882841446275712,0.1633433488118001,0.0557759048091224,0.1034280347499413,0.1137654599671284,12508484.5306,,,,325957.16,54769.25,155475.51,170481.65,,,,0.0,,,0.0,422704700.84,4.4,33.17,124951876259.52,33.17,0.0,,1156201,76.38,88310632.38,0.9943203332071184,U,1.0,407519433.0,407519433.0,135157.0,135609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.18,69.7,1.0,0.0,2.388250806961897,0.3483808405889469,61.012658,0.0164,计算机设,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,603459.SH,红板科技,6,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,-0.0305286671630677,-0.0305286671630677,-0.0652058291671099,94.01,94.01,94.01,t_opening_auction,91.14,91.14,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,87.88,87.88,87.88,raw_train_pool,1.5,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,94.01,94.18,90.3,91.61,91.14,92.8,87.82,108087.57,965717.877,-4.0716,603459,元件,江西,主板,20260408,83.03,94.97,82.81,94.97,9.9954,86.33997421710362,9.9954,0.1408385873433715,0.1382905207960408,-0.0383365207960407,215388.12,1972097.327,27.2464,27.2464,2.16,5.068411108900611e-06,0.0459101234679157,0.0474764619965371,0.049511856129936,0.0552676634854991,0.0228906633645051,-0.1831786323167267,0.2555811518111678,0.0617104527669087,0.1012291280148423,-0.0471556135246312,0.1280404338212066,0.1408385873433715,7158397.9392,,,,325957.16,54769.25,155475.51,170481.65,,3.0,7.0,1.0,7.0,3.0,0.0,191598167.76,9.72,38.6,7507554954.26,38.6,0.0,,93194,83.03,7737898.0,0.9134166351129622,U,2.0,47152605.0,47152605.0,141603.0,145124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.97,77.71,1.0,0.0,1.6861096331855312,0.3337010091112265,52.35443,0.1800599148755985,元件,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,600227.SH,赤天化,7,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,0.0277777777777776,0.0277777777777776,-0.0257936507936509,5.04,5.04,5.04,t_opening_auction,5.18,5.18,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,4.91,4.91,4.91,raw_train_pool,1.5,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,5.04,5.45,4.93,5.17,5.18,5.23,4.65,4074520.98,1972283.353,-5.029,600227,农化制品,贵州,主板,20000221,4.69,5.04,4.68,5.04,10.0437,4.579998673254353,10.0437,0.0786026428571429,0.076419236111111,0.0240177638888887,2113002.31,1044807.609,16.5388,20.0209,0.73,9.61296597907912e-06,0.060279291702044,0.05269520547081,0.051160550514297,0.0928833664414355,0.0174367511390843,-0.0980926430517711,0.1666899447051525,0.2115384615384614,0.2759493670886075,0.4780058651026393,0.0714285714285715,0.0786026428571429,851118.7608,,,,325957.16,54769.25,155475.51,170481.65,,,,0.0,,,0.0,28655659.45,1.08,21.58,6439103007.12,21.58,0.0,,7683600,4.69,36036084.0,0.980058058816105,U,2.0,76193722.0,76193722.0,93515.0,93924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,4.12,1.0,0.0,1.4994091804498817,0.3168766571309108,65.670886,0.0164,农化制品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,002855.SZ,捷荣技术,8,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,-0.0224137931034481,-0.0224137931034481,0.092528735632184,17.4,17.4,17.4,t_opening_auction,17.01,17.01,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,19.01,19.01,19.01,raw_train_pool,1.5,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,17.4,17.71,17.3,17.71,17.01,19.48,16.71,533580.51,967309.03072,7.3405,2855,消费电子,广东,主板,20170321,15.0,16.1,14.97,16.1,9.9727,14.639997017441605,9.9727,0.0771858080745341,0.0751366273291926,0.0245903726708072,356743.42,565427.7677,14.4884,39.803,10.65,1.7637442958569436e-05,0.0001058544313421,0.0537237279198976,0.0447021609080729,0.0565014251492675,0.012174680837863,-0.042156862745098,0.0990337044910339,0.2096168294515403,0.6100000000000001,0.5877712031558187,0.0701863354037267,0.0771858080745341,396735.717,,,,325957.16,54769.25,155475.51,170481.65,,,,0.0,,,0.0,-27368225.0,-4.27,31.56,3964258435.2,31.56,0.0,,2366400,15.0,35496000.0,0.9796794143632462,U,5.0,34681010.0,34681010.0,93103.0,100951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,13.18,1.0,0.0,1.2422592215835595,0.2931887463965402,53.582278,0.0164,消费电子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,000560.SZ,我爱我家,9,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,0.0131147540983607,0.0131147540983607,0.0426229508196722,3.05,3.05,3.05,t_opening_auction,3.09,3.09,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,3.18,3.18,3.18,raw_train_pool,1.5,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,3.05,3.19,2.98,3.19,3.09,3.33,2.87,8444397.3,2561084.67661,-0.3135,560,房地产服务,云南,主板,19940202,2.9,2.9,2.9,2.9,9.8485,2.6399996358621194,9.8485,0.0,0.0,0.0984849999999998,640040.0,185611.6,2.7321,3.6515,0.29,5.305972256044342e-05,0.0479702527255533,0.0581023263195548,0.0487767935432118,0.0651068573138967,0.0126282510231346,-0.088235294117647,0.1496403386839935,0.2083333333333332,0.336405529953917,0.336405529953917,0.0,0.0,683095.232,,,,325957.16,54769.25,155475.51,170481.65,,,,0.0,,,0.0,17707947.91,2.14,47.86,6793795545.1,47.86,0.0,,9160000,2.9,26564000.0,0.9718540956708318,U,0.0,458788700.0,458788700.0,92500.0,92500.0,1.0,ok,,1min,241.0,09:30:00,15:00:00,1.0,0.0,0.0,0.0,,0.057415,0.0,31.0,0.0,65.0,76.0,70.0,8.25,8.25,0.0,healthy_limitup,,,,,,2.9,2.38,1.0,0.0,3.0,0.2823513816171187,44.139241,0.0082,房地产服务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,600371.SH,万向德农,10,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,0.0433504775900073,0.0433504775900073,0.0595150624540776,13.61,13.61,13.61,t_opening_auction,14.2,14.2,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,14.42,14.42,14.42,raw_train_pool,1.5,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,13.61,13.96,13.2,13.96,14.2,14.97,13.33,1019859.46,1453094.16,3.2951,600371,种植业,黑龙江,主板,20020916,12.69,12.69,12.69,12.69,9.9653,11.54000398307466,9.9653,0.0,0.0,0.099653,137161.5,174057.944,4.688,9.5188,0.45,5.725277324889004e-05,0.000312468358489,0.0694894545245029,0.056868166085608,0.085665584968108,0.0327435776527068,-0.1351955307262569,0.2248072744645718,0.209723546234509,0.6104060913705582,0.7148648648648648,0.0,0.0,371281.482,,,,325957.16,54769.25,155475.51,170481.65,,,,0.0,,,0.0,63601240.0,27.57,68.33,3712814820.0,68.33,0.0,,627590,12.69,7964117.0,0.9150574277420168,U,0.0,141811384.0,141811384.0,92500.0,92500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,10.39,1.0,0.0,2.309099557159974,0.2739959481572372,46.56962,0.0164,种植业,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,603090.SH,宏盛股份,12,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,-0.0661137440758294,-0.0661137440758294,-0.0445497630331753,42.2,42.2,42.2,t_opening_auction,39.41,39.41,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,40.32,40.32,40.32,raw_train_pool,1.25,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,42.2,42.26,39.4,39.69,39.41,41.04,38.7,111087.02,445873.439,1.5873,603090,通用设备,江苏,主板,20160831,37.85,42.13,37.75,42.13,10.0,38.3,10.0,0.1143603133159269,0.1117493472584856,-0.0117493472584855,48089.0,193333.774,4.8089,9.6795,2.01,5.172402003594054e-05,0.0414225870333888,0.0438701107181319,0.0342815179604138,0.0527397916267517,0.022833999951126,-0.1013496932515337,0.1584652111630736,0.0883492637561353,0.1300965665236051,0.0338650306748467,0.1039639211962972,0.1143603133159269,421300.0,,,,325957.16,54769.25,155475.51,170481.65,,7.0,1.0,1.0,1.0,7.0,0.0,,,,,,0.0,,8900,37.85,336865.0,0.4721696327148807,U,0.0,35342857.0,35342857.0,133103.0,133103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.13,34.47,1.0,0.0,2.32703515147605,0.2612460493343889,50.493671,0.83,通用设备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260831,20260901,20260902,20260901,20260902,001330.SZ,博纳影业,13,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,0.0770577933450087,0.0770577933450087,0.0087565674255691,5.71,5.71,5.71,t_opening_auction,6.15,6.15,tplus1_open_0930,1,fixed_open_0930,,,09:30,tplus1_open_0930_v1,5.76,5.76,5.76,raw_train_pool,1.25,0,1.0,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,09:20:00,09:24:50,5.71,6.17,5.58,6.17,6.15,6.2,5.72,2155085.86,1269251.18165,-6.6451,1330,影视院线,新疆,主板,20220818,5.09,5.61,5.05,5.61,10.0,5.1,10.0,0.1098039215686275,0.1019607843137255,-0.0019607843137254,1291731.8,702824.65423,11.1084,13.1264,2.2,1.4228299960472774e-05,0.0373861356898538,0.0428688295540228,0.0359880777167043,0.0496686087731463,0.0154078397241071,-0.146788990825688,0.1981849082664996,0.0978473581213306,0.1987179487179489,0.106508875739645,0.0998217468805705,0.1098039215686275,771105.159,,,,325957.16,54769.25,155475.51,170481.65,,4.0,4.0,1.0,4.0,4.0,0.0,,,,,,0.0,,134700,5.09,685623.0,0.6059573393916445,U,2.0,170636570.0,170636570.0,102530.0,104836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,4.59,1.0,0.0,1.9552617831839945,0.2554675466963988,65.56962,0.4258611773793213,影视院线,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
