trade_date,exec_date,target_date,ts_code,name,rank,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1,open_times_t1
20260227,20260302,20260303,002843.SZ,泰嘉股份,1,64.68,0.0164,钢加工,FULLY_READY,1,1,1,strong_open_tradable,26.85,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,107560491.0,107560491.0,92500.0,92500.0,,,,,,25.27,20.67,0.0,,,0.0,1.0,0.0,2.2317448807491123,26.85,27.8,22.74,0.0
20260227,20260302,20260303,603232.SH,格尔软件,2,62.093333,0.5394931282264485,软件服务,FULLY_READY,1,1,1,strong_open_tradable,25.77,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,172255625.0,172255625.0,92500.0,92500.0,,,,,,26.05,21.31,1.0,3.0,6.0,0.0,1.0,0.0,2.621134037255267,25.77,28.66,23.45,
20260227,20260302,20260303,002470.SZ,金正大,3,49.653333,0.3351513965909831,农药化肥,FULLY_READY,1,1,1,strong_open_tradable,3.35,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,4.0,41268139.0,41268139.0,93030.0,145309.0,,,,,,3.1,2.54,1.0,5.0,3.0,0.0,1.0,0.0,1.5389144318920298,3.35,3.41,2.79,
20260227,20260302,20260303,603226.SH,菲林格尔,4,76.12,0.01,家居用品,FULLY_READY,1,1,1,strong_open_tradable,32.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,71023258.0,71023258.0,130029.0,130029.0,,,,,,31.82,26.04,0.0,,,0.0,1.0,0.0,2.1530234410665106,32.0,35.0,28.64,
20260227,20260302,20260303,603950.SH,长源东谷,5,75.066667,0.0164,汽车配件,FULLY_READY,1,1,1,strong_open_tradable,47.5,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,44443235.0,44443235.0,93029.0,93029.0,,,,,,44.51,36.41,0.0,,,0.0,1.0,0.0,2.095755347520492,47.5,48.96,40.06,0.0
20260227,20260302,20260303,002182.SZ,宝武镁业,6,65.733333,0.83,小金属,FULLY_READY,1,1,1,strong_open_tradable,21.79,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,112861305.0,112861305.0,94224.0,94224.0,,,,,,21.79,17.83,1.0,1.0,13.0,0.0,1.0,0.0,2.493165770491083,21.79,23.97,19.61,
20260227,20260302,20260303,002842.SZ,翔鹭钨业,7,44.346667,0.83,小金属,FULLY_READY,1,1,1,strong_open_tradable,43.13,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,4.0,174162000.0,174162000.0,93239.0,93651.0,,,,,,41.56,34.0,1.0,1.0,13.0,0.0,1.0,0.0,1.8252414250417184,43.13,45.72,37.4,7.0
20260227,20260302,20260303,600725.SH,云维股份,8,77.613333,0.01,商贸代理,FULLY_READY,1,1,1,strong_open_tradable,5.29,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,0.0,45705744.0,45705744.0,93910.0,93910.0,,,,,,5.39,4.41,0.0,,,0.0,1.0,0.0,2.098475491273366,5.29,5.93,4.85,
20260227,20260302,20260303,600744.SH,华银电力,9,48.426667,0.0164,火力发电,FULLY_READY,1,1,1,strong_open_tradable,7.96,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,3.0,185824576.0,185824576.0,93154.0,93721.0,,,,,,7.94,6.5,1.0,10.0,3.0,0.0,1.0,0.0,1.9003690742298152,7.96,8.73,7.15,
20260227,20260302,20260303,001896.SZ,豫能控股,10,56.066667,0.0164,火力发电,FULLY_READY,1,1,1,strong_open_tradable,13.35,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,23109150722,1,4e8e3a080c3611993ebf61550586894dc4c4040c,2026-03-15T11:10:23Z,U,3.0,166036269.0,166036269.0,93054.0,93536.0,,,,,,13.34,10.92,1.0,10.0,3.0,0.0,1.0,0.0,1.857734099218946,13.35,14.67,12.01,
