ts_code,time,open,close,high,low,vol,amount
003032.SZ,2026-08-04 09:30:00,10.65,10.47,10.66,10.46,20073000.0,213764598.0
003032.SZ,2026-08-04 09:31:00,10.65,10.66,10.66,10.43,6296200.0,66961285.0
003032.SZ,2026-08-04 09:32:00,10.66,10.66,10.66,10.66,277400.0,2957084.0
003032.SZ,2026-08-04 09:33:00,10.66,10.66,10.66,10.66,162500.0,1732250.0
003032.SZ,2026-08-04 09:34:00,10.66,10.66,10.66,10.66,728400.0,7764744.0
003032.SZ,2026-08-04 09:35:00,10.66,10.66,10.66,10.66,55400.0,590564.0
003032.SZ,2026-08-04 09:36:00,10.66,10.66,10.66,10.66,68700.0,732342.0
003032.SZ,2026-08-04 09:37:00,10.66,10.66,10.66,10.66,54300.0,578838.0
003032.SZ,2026-08-04 09:38:00,10.66,10.66,10.66,10.66,92600.0,987116.0
003032.SZ,2026-08-04 09:39:00,10.66,10.66,10.66,10.66,20500.0,218530.0
003032.SZ,2026-08-04 09:40:00,10.66,10.66,10.66,10.66,15600.0,166296.0
003032.SZ,2026-08-04 09:41:00,10.66,10.66,10.66,10.66,86400.0,921024.0
003032.SZ,2026-08-04 09:42:00,10.66,10.66,10.66,10.66,15800.0,168428.0
003032.SZ,2026-08-04 09:43:00,10.66,10.66,10.66,10.66,10700.0,114062.0
003032.SZ,2026-08-04 09:44:00,10.66,10.66,10.66,10.66,46700.0,497822.0
003032.SZ,2026-08-04 09:45:00,10.66,10.66,10.66,10.66,102300.0,1090518.0
003032.SZ,2026-08-04 09:46:00,10.66,10.66,10.66,10.66,38100.0,406146.0
003032.SZ,2026-08-04 09:47:00,10.66,10.66,10.66,10.66,22900.0,244114.0
003032.SZ,2026-08-04 09:48:00,10.66,10.66,10.66,10.66,80200.0,854932.0
003032.SZ,2026-08-04 09:49:00,10.66,10.66,10.66,10.66,5800.0,61828.0
003032.SZ,2026-08-04 09:50:00,10.66,10.66,10.66,10.66,7600.0,81016.0
003032.SZ,2026-08-04 09:51:00,10.66,10.66,10.66,10.66,15600.0,166296.0
003032.SZ,2026-08-04 09:52:00,10.66,10.66,10.66,10.66,38700.0,412542.0
003032.SZ,2026-08-04 09:53:00,10.66,10.66,10.66,10.66,22300.0,237718.0
003032.SZ,2026-08-04 09:54:00,10.66,10.66,10.66,10.66,36500.0,389090.0
003032.SZ,2026-08-04 09:55:00,10.66,10.66,10.66,10.66,55900.0,595894.0
003032.SZ,2026-08-04 09:56:00,10.66,10.66,10.66,10.66,24900.0,265434.0
003032.SZ,2026-08-04 09:57:00,10.66,10.66,10.66,10.66,3600.0,38376.0
003032.SZ,2026-08-04 09:58:00,10.66,10.66,10.66,10.66,44500.0,474370.0
003032.SZ,2026-08-04 09:59:00,10.66,10.66,10.66,10.66,36700.0,391222.0
003032.SZ,2026-08-04 10:00:00,10.66,10.66,10.66,10.66,17800.0,189748.0
003032.SZ,2026-08-04 10:01:00,10.66,10.66,10.66,10.66,12900.0,137514.0
003032.SZ,2026-08-04 10:02:00,10.66,10.66,10.66,10.66,82200.0,876252.0
003032.SZ,2026-08-04 10:03:00,10.66,10.66,10.66,10.66,6600.0,70356.0
003032.SZ,2026-08-04 10:04:00,10.66,10.66,10.66,10.66,34400.0,366704.0
003032.SZ,2026-08-04 10:05:00,10.66,10.66,10.66,10.66,1100.0,11726.0
003032.SZ,2026-08-04 10:06:00,10.66,10.66,10.66,10.66,13500.0,143910.0
003032.SZ,2026-08-04 10:07:00,10.66,10.66,10.66,10.66,27800.0,296348.0
003032.SZ,2026-08-04 10:08:00,10.66,10.66,10.66,10.66,53000.0,564980.0
003032.SZ,2026-08-04 10:09:00,10.66,10.66,10.66,10.66,7900.0,84214.0
003032.SZ,2026-08-04 10:10:00,10.66,10.66,10.66,10.66,900.0,9594.0
003032.SZ,2026-08-04 10:11:00,10.66,10.66,10.66,10.66,5100.0,54366.0
003032.SZ,2026-08-04 10:12:00,10.66,10.66,10.66,10.66,1000.0,10660.0
003032.SZ,2026-08-04 10:13:00,10.66,10.66,10.66,10.66,1300.0,13858.0
003032.SZ,2026-08-04 10:14:00,10.66,10.66,10.66,10.66,8700.0,92742.0
003032.SZ,2026-08-04 10:15:00,10.66,10.66,10.66,10.66,2800.0,29848.0
003032.SZ,2026-08-04 10:16:00,10.66,10.66,10.66,10.66,13600.0,144976.0
