ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
001282.SZ,20260305,26.397,36.4,1.53,540355.3792,
300779.SZ,20260305,4.6041,5.5791,1.24,1883146.9063,
300434.SZ,20260305,1.8368,3.123,0.99,405761.3107,
000695.SZ,20260305,5.2445,7.4808,1.1,301046.0286,
920112.BJ,20260305,0.5164,0.5164,0.53,316575.35,
000905.SZ,20260305,4.258,8.9,0.7,933938.2826,
301332.SZ,20260305,0.9736,1.3181,0.67,432484.0625,
301278.SZ,20260305,15.9948,19.4753,1.09,384758.2253,
920725.BJ,20260305,16.5984,26.1052,1.16,341916.15,
920068.BJ,20260305,5.2199,5.2199,0.42,1380693.6316,
000573.SZ,20260305,2.4143,3.046,0.82,269992.6955,
300521.SZ,20260305,2.7207,3.609,1.05,464163.0,
600639.SH,20260305,0.5594,1.606,0.68,1151595.6282,
301149.SZ,20260305,3.6256,4.614,0.81,528470.0221,
600835.SH,20260305,2.4212,6.1905,1.52,2591621.4065,
000973.SZ,20260305,4.4149,4.4149,0.96,3284204.3194,
000501.SZ,20260305,0.9389,1.6473,0.74,699783.3852,
000822.SZ,20260305,7.8413,13.1426,0.81,597921.4066,
688588.SH,20260305,0.8588,1.6137,0.64,513212.8338,
300812.SZ,20260305,33.9202,45.109,1.3,655560.4957,
301205.SZ,20260305,15.5796,18.4409,1.4,2570228.64,
600386.SH,20260305,1.2309,2.7352,0.89,338688.0,
605116.SH,20260305,0.6196,2.2786,0.71,1013427.1688,
002651.SZ,20260305,1.9702,3.7505,0.65,1066530.72,
300971.SZ,20260305,4.9299,5.5989,0.99,287649.6,
300808.SZ,20260305,2.3261,4.5061,0.78,496480.0,
603809.SH,20260305,1.3232,1.9295,0.71,1097904.5468,
603010.SH,20260305,1.3946,2.7003,0.66,687448.6394,
600107.SH,20260305,0.7234,0.9234,0.52,208080.0,
603279.SH,20260305,1.9472,3.5365,0.48,1119892.739,
002737.SZ,20260305,0.3324,0.7678,0.66,784312.0,
002193.SZ,20260305,3.5313,4.8138,0.76,168806.5298,
603393.SH,20260305,10.7209,19.0152,1.15,1653293.1753,
301009.SZ,20260305,1.5698,2.2247,0.57,330038.04,
002313.SZ,20260305,3.2111,5.6746,1.33,348940.8,
603919.SH,20260305,1.2082,3.0387,0.7,999809.4541,
300778.SZ,20260305,3.9699,9.1673,0.73,270867.3239,
600027.SH,20260305,1.4908,3.4784,0.68,6026510.8015,
300353.SZ,20260305,3.9745,4.1437,0.72,1472053.5571,
603755.SH,20260305,1.4026,3.8553,0.56,293178.4736,
301023.SZ,20260305,3.4213,4.2658,0.71,338148.9279,
600959.SH,20260305,1.2113,2.5542,0.71,1940278.4622,
002163.SZ,20260305,3.8876,5.4209,0.69,1199840.1711,
002065.SZ,20260305,1.7785,2.5222,0.8,2824029.9724,
688041.SH,20260305,0.921,2.4145,0.74,56479091.2732,
603016.SH,20260305,1.3161,2.9142,0.72,466852.16,
920856.BJ,20260305,1.1201,1.8834,0.67,145924.2474,
002926.SZ,20260305,0.6517,1.2104,0.8,2265375.0,
000776.SZ,20260305,0.5905,1.2257,0.78,15587092.2579,
600265.SH,20260305,0.2066,0.5789,0.69,252850.4,
600702.SH,20260305,1.1805,1.6931,0.6,1645825.4155,
002201.SZ,20260305,3.4731,5.3012,0.53,803467.4852,
603722.SH,20260305,1.3893,2.389,1.13,374561.2238,
301398.SZ,20260305,3.2612,3.6276,0.45,639520.0,
600824.SH,20260305,0.9929,1.6458,0.72,451123.5872,
600011.SH,20260305,1.0925,2.7456,0.74,11742173.8325,
301208.SZ,20260305,1.7319,2.2827,0.54,436920.2185,
600305.SH,20260305,0.5549,0.952,0.64,854196.0196,
600292.SH,20260305,3.8787,6.8944,1.3,6846262.2922,
920781.BJ,20260305,10.6332,11.5848,1.23,151166.5788,
600406.SH,20260305,2.2349,5.2063,1.64,23701712.4164,
000055.SZ,20260305,1.1873,1.5504,0.83,413441.5774,
000997.SZ,20260305,1.0918,1.5745,0.59,2328099.0087,
000049.SZ,20260305,1.0705,1.9644,0.72,972366.214,
301213.SZ,20260305,13.9727,26.6139,1.17,683199.9915,
002440.SZ,20260305,10.4291,15.6275,0.8,1605071.8643,
920892.BJ,20260305,0.382,1.1878,0.57,268984.7864,
605196.SH,20260305,4.7394,7.2962,1.63,2843219.4735,
002534.SZ,20260305,2.2849,6.8744,0.68,1655151.6505,
600881.SH,20260305,0.8798,1.0394,0.61,555929.9699,
600820.SH,20260305,0.7658,1.2738,0.92,2005933.308,
301169.SZ,20260305,1.6507,4.2563,1.01,391684.3942,
000690.SZ,20260305,3.3631,4.1306,0.83,1011787.8558,
000733.SZ,20260305,2.586,3.7484,0.57,2933218.7983,
600551.SH,20260305,0.5719,1.5087,0.6,555327.2407,
002020.SZ,20260305,1.1353,1.51,0.73,1321679.7299,
300757.SZ,20260305,7.8738,11.7841,1.12,6622699.2899,
603011.SH,20260305,11.7938,18.1508,1.25,1356178.8007,
300484.SZ,20260305,1.9847,2.1551,0.72,379524.2648,
920183.BJ,20260305,56.8742,56.8742,,221165.136,
605198.SH,20260305,0.6079,3.5175,1.05,1327394.736,
605050.SH,20260305,0.7607,2.0907,0.52,634271.1559,
300166.SZ,20260305,9.0867,9.7048,0.73,1368772.3891,
600571.SH,20260305,1.9817,2.4747,0.77,678493.1396,
002091.SZ,20260305,1.0819,1.913,0.7,1437272.0713,
920914.BJ,20260305,1.5907,2.7428,0.83,266623.846,
300321.SZ,20260305,0.9209,1.9297,0.53,339926.4,
002861.SZ,20260305,7.1756,8.5956,1.5,369959.9485,
300668.SZ,20260305,2.0225,3.2673,0.46,303962.7143,
920058.BJ,20260305,2.7497,5.4026,2.48,170298.4622,
920634.BJ,20260305,2.9306,6.2626,0.49,162392.1744,
688710.SH,20260305,2.9732,4.2013,1.29,741129.8361,
301305.SZ,20260305,8.4274,8.4437,1.11,677851.2532,
001260.SZ,20260305,1.4827,5.3702,0.66,248170.0,
603273.SH,20260305,4.3266,4.3266,1.31,399908.8044,
688158.SH,20260305,9.4683,10.7054,0.72,1651368.0881,
600241.SH,20260305,1.8165,3.5364,1.07,249273.8914,
601766.SH,20260305,0.779,1.9458,0.84,17936790.055,
688420.SH,20260305,1.7338,1.7338,0.72,228149.4,
300960.SZ,20260305,1.0628,3.7652,0.68,366888.4331,
688048.SH,20260305,8.4718,13.3003,0.93,2991118.0728,
601169.SH,20260305,0.5666,0.8189,0.84,11417211.5069,
001358.SZ,20260305,1.5489,1.6836,0.54,358512.0,
001896.SZ,20260305,14.9831,39.2745,1.14,2203228.2405,
603787.SH,20260305,1.0465,2.9695,0.73,301718.5087,
300572.SZ,20260305,2.0515,2.2304,0.68,623307.5463,
002125.SZ,20260305,5.3931,9.3351,1.41,941712.3171,
003017.SZ,20260305,4.1602,5.0255,0.65,276276.0,
600748.SH,20260305,0.8217,1.9661,0.78,920436.8831,
000965.SZ,20260305,1.582,3.2585,0.53,431724.2182,
603275.SH,20260305,2.632,2.632,0.47,648645.2704,
300838.SZ,20260305,2.0065,3.107,0.65,221040.756,
600323.SH,20260305,0.7117,1.3136,0.76,2305801.7289,
002088.SZ,20260305,0.5694,1.6044,0.57,569052.9479,
600103.SH,20260305,2.9099,4.005,0.73,831346.7231,
920663.BJ,20260305,1.7592,2.9346,1.29,208341.9156,
600192.SH,20260305,4.3338,7.1665,1.43,434680.032,
300815.SZ,20260305,1.8462,3.2862,0.75,950243.328,
600363.SH,20260305,2.3409,2.9261,0.85,2730580.4532,
600743.SH,20260305,0.5208,1.1432,0.48,450451.3678,
688339.SH,20260305,8.2383,10.1225,1.66,844989.2006,
002561.SZ,20260305,1.1101,1.7477,0.84,348409.394,
002590.SZ,20260305,1.8525,3.5252,0.93,705392.3162,
688275.SH,20260305,7.394,8.5035,1.24,1178072.5629,
000513.SZ,20260305,0.6588,1.1345,0.67,3004677.8667,
603136.SH,20260305,1.3166,2.4587,0.77,310645.7165,
688117.SH,20260305,0.7699,1.155,0.46,571311.1001,
600938.SH,20260305,5.6427,7.2485,1.09,197724608.5734,
300496.SZ,20260305,2.7774,3.0287,0.68,3050304.9733,
600085.SH,20260305,0.3958,0.8324,0.72,4076009.6187,
002953.SZ,20260305,4.918,6.7135,1.27,640036.7017,
920839.BJ,20260305,3.4008,6.8163,2.81,460073.2071,
002138.SZ,20260305,4.0821,4.4067,1.0,3299454.7046,
002840.SZ,20260305,1.8852,3.2632,1.07,765266.7389,
300370.SZ,20260305,4.3747,5.4625,0.94,461785.9864,
600088.SH,20260305,1.1928,2.7666,0.65,604513.728,
300380.SZ,20260305,1.3014,2.1373,0.53,513885.7536,
002409.SZ,20260305,3.8233,4.5773,0.92,4431838.5375,
301538.SZ,20260305,4.1237,4.7835,1.17,622966.4,
600558.SH,20260305,2.2617,3.3946,0.81,567286.2532,
002547.SZ,20260305,2.551,3.4836,0.7,399332.2375,
601965.SH,20260305,0.995,2.6592,0.98,1907810.3951,
603729.SH,20260305,4.0166,5.7239,0.82,163621.514,
000995.SZ,20260305,6.9798,10.3188,0.62,266644.224,
002357.SZ,20260305,9.8702,14.0803,1.5,504403.8589,
603701.SH,20260305,1.5243,2.9984,1.25,522201.0782,
300864.SZ,20260305,1.1602,4.0938,0.51,349772.1628,
600403.SH,20260305,3.8877,25.0765,1.14,1690304.3682,
601966.SH,20260305,0.9118,2.0053,0.85,2142567.9279,
603444.SH,20260305,1.6888,2.8597,0.8,2783596.1015,
000035.SZ,20260305,8.3581,13.8749,1.16,1776696.3801,
600197.SH,20260305,0.6376,1.1246,0.63,604244.1136,
603580.SH,20260305,0.5704,1.7482,0.31,206202.3096,
600516.SH,20260305,10.5556,17.1145,2.79,2769867.6132,
300436.SZ,20260305,5.0111,7.9556,0.83,1724543.076,
603557.SH,20260305,1.6863,2.5075,0.58,212591.9788,
603861.SH,20260305,9.0032,19.7819,1.18,1139973.4571,
920471.BJ,20260305,5.7059,9.5086,0.78,122304.0,
601222.SH,20260305,2.5519,4.2088,1.5,1299966.7374,
301596.SZ,20260305,2.525,3.0012,0.94,538768.1246,
600261.SH,20260305,8.201,15.3738,5.71,530016.0275,
688182.SH,20260305,1.035,3.4954,0.7,1208000.0,
000629.SZ,20260305,1.9595,4.3985,0.67,3734961.0337,
300433.SZ,20260305,0.9573,2.5348,0.61,17097841.6779,
000813.SZ,20260305,1.0596,1.7845,0.6,748666.6778,
