ts_code,trade_date,up_limit,down_limit
000001.SZ,20260313,12.03,9.85
000002.SZ,20260313,5.12,4.19
000004.SZ,20260313,6.16,5.58
000006.SZ,20260313,10.0,8.18
000007.SZ,20260313,15.38,12.58
000008.SZ,20260313,3.2,2.62
000009.SZ,20260313,10.11,8.27
000010.SZ,20260313,4.53,3.71
000011.SZ,20260313,9.36,7.66
000012.SZ,20260313,5.43,4.45
000014.SZ,20260313,16.01,13.1
000016.SZ,20260313,3.73,3.05
000017.SZ,20260313,7.94,6.5
000019.SZ,20260313,8.25,6.75
000020.SZ,20260313,15.94,13.04
000021.SZ,20260313,34.38,28.13
000025.SZ,20260313,18.89,15.45
000026.SZ,20260313,16.94,13.86
000027.SZ,20260313,8.16,6.68
000028.SZ,20260313,28.45,23.27
000029.SZ,20260313,22.96,18.78
000030.SZ,20260313,5.89,4.82
000031.SZ,20260313,3.55,2.91
000032.SZ,20260313,20.45,16.73
000034.SZ,20260313,43.31,35.43
000035.SZ,20260313,8.91,7.29
000036.SZ,20260313,5.57,4.55
000037.SZ,20260313,11.18,9.14
000039.SZ,20260313,14.34,11.74
000042.SZ,20260313,9.43,7.71
000045.SZ,20260313,14.45,11.83
000048.SZ,20260313,22.23,18.19
000049.SZ,20260313,29.48,24.12
000050.SZ,20260313,10.51,8.6
000055.SZ,20260313,4.3,3.52
000056.SZ,20260313,2.18,1.78
000058.SZ,20260313,9.37,7.67
000059.SZ,20260313,6.58,5.38
000060.SZ,20260313,8.04,6.58
000061.SZ,20260313,10.25,8.39
000062.SZ,20260313,28.47,23.29
000063.SZ,20260313,40.83,33.41
000065.SZ,20260313,14.44,11.82
000066.SZ,20260313,18.82,15.4
000068.SZ,20260313,3.8,3.11
000069.SZ,20260313,2.66,2.18
000070.SZ,20260313,19.32,15.8
000078.SZ,20260313,3.6,2.94
000088.SZ,20260313,5.13,4.19
000089.SZ,20260313,7.94,6.5
000090.SZ,20260313,4.39,3.59
000096.SZ,20260313,12.3,10.06
000099.SZ,20260313,22.42,18.34
000100.SZ,20260313,5.38,4.4
000151.SZ,20260313,14.39,11.77
000153.SZ,20260313,7.34,6.0
000155.SZ,20260313,17.03,13.93
000156.SZ,20260313,8.97,7.34
000157.SZ,20260313,10.25,8.39
000158.SZ,20260313,22.64,18.52
000159.SZ,20260313,7.49,6.13
000166.SZ,20260313,5.46,4.46
000301.SZ,20260313,12.96,10.6
000333.SZ,20260313,85.14,69.66
000338.SZ,20260313,27.72,22.68
000400.SZ,20260313,35.57,29.11
000401.SZ,20260313,5.6,4.58
000402.SZ,20260313,3.03,2.48
000403.SZ,20260313,15.72,12.86
000404.SZ,20260313,8.17,6.69
000407.SZ,20260313,5.71,4.67
000408.SZ,20260313,88.67,72.55
000409.SZ,20260313,12.41,10.15
000410.SZ,20260313,8.43,6.89
000411.SZ,20260313,12.67,10.37
000415.SZ,20260313,5.24,4.28
000417.SZ,20260313,8.22,6.72
000419.SZ,20260313,6.88,5.63
000420.SZ,20260313,5.52,4.52
000421.SZ,20260313,7.74,6.34
000422.SZ,20260313,21.38,17.5
