trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
20260324,000035.SZ,中国天楹,U,7.46,7.46,6.1,3,38753954.0,93503,105003,38753954.0
20260324,000065.SZ,北方国际,U,14.22,14.22,11.64,0,71023780.0,104509,104509,71023780.0
20260324,000415.SZ,渤海租赁,U,4.29,4.29,3.51,0,109366677.0,130206,130206,109366677.0
20260324,000509.SZ,华塑控股,U,4.5,4.5,3.68,0,63453096.0,94524,94524,63453096.0
20260324,000537.SZ,绿发电力,U,11.95,11.95,9.77,2,,144951,,
20260324,000539.SZ,粤电力Ａ,U,6.78,6.78,5.54,0,74710854.0,145545,145545,74710854.0
20260324,000601.SZ,韶能股份,U,8.06,8.06,6.6,2,97958547.0,93536,103409,97958547.0
20260324,000677.SZ,恒天海龙,U,4.93,4.93,4.03,0,96009496.0,103515,103515,96009496.0
20260324,000688.SZ,国城矿业,U,35.86,35.86,29.34,0,33267322.0,145242,145242,33267322.0
20260324,000720.SZ,新能泰山,U,4.14,4.14,3.38,0,124971277.0,92500,92500,124971277.0
20260324,000722.SZ,湖南发展,U,15.11,15.11,12.37,0,134234202.0,93421,93421,134234202.0
20260324,000811.SZ,冰轮环境,U,18.11,18.11,14.81,0,85199509.0,133842,133842,85199509.0
20260324,001203.SZ,大中矿业,U,40.26,40.26,32.94,4,14163468.0,143130,145627,14163468.0
20260324,002082.SZ,万邦德,U,19.79,19.79,16.19,1,28052325.0,105521,111424,28052325.0
20260324,002083.SZ,孚日股份,U,10.96,10.96,8.96,1,63015616.0,93039,142103,63015616.0
20260324,002192.SZ,融捷股份,U,58.6,58.6,47.94,5,113672162.0,93027,103518,113672162.0
20260324,002218.SZ,拓日新能,U,7.25,7.25,5.93,1,314921998.0,93042,93336,314921998.0
20260324,002222.SZ,福晶科技,U,64.79,64.79,53.01,0,175693634.0,141815,141815,175693634.0
20260324,002265.SZ,建设工业,U,22.19,22.19,18.15,1,58584040.0,100654,102218,58584040.0
20260324,002309.SZ,中利集团,U,4.61,4.61,3.77,0,473453407.0,92500,92500,473453407.0
20260324,002316.SZ,亚联发展,U,5.2,5.2,4.26,2,17437680.0,93045,143136,17437680.0
20260324,002323.SZ,雅博股份,U,2.62,2.62,2.14,0,151479274.0,93712,93712,151479274.0
20260324,002350.SZ,北京科锐,U,15.04,15.04,12.3,0,150310181.0,93018,93018,150310181.0
20260324,002428.SZ,云南锗业,U,44.66,44.66,36.54,0,214559278.0,140954,140954,214559278.0
20260324,002445.SZ,中南文化,U,4.08,4.08,3.34,1,112708225.0,93512,94651,112708225.0
20260324,002491.SZ,通鼎互联,U,10.36,10.36,8.48,4,71935550.0,94803,140057,71935550.0
20260324,002498.SZ,汉缆股份,U,8.8,8.8,7.2,3,163024162.0,93724,102136,163024162.0
20260324,002519.SZ,银河电子,U,7.92,7.92,6.48,0,69515265.0,133915,133915,69515265.0
20260324,002631.SZ,德尔未来,U,6.89,6.89,5.63,0,81431731.0,141445,141445,81431731.0
20260324,002636.SZ,金安国纪,U,30.99,30.99,25.35,2,20297923.0,143106,144024,20297923.0
20260324,002645.SZ,华宏科技,U,16.45,16.45,13.46,0,152405960.0,135412,135412,152405960.0
20260324,002663.SZ,普邦股份,U,2.26,2.26,1.85,0,24261778.0,141118,141118,24261778.0
20260324,002685.SZ,华东重机,U,6.96,6.96,5.7,2,68088984.0,111657,111948,68088984.0
20260324,002771.SZ,真视通,U,15.39,15.39,12.59,0,80066167.0,102803,102803,80066167.0
20260324,002795.SZ,永和智控,U,7.35,7.35,6.01,0,101673814.0,102624,102624,101673814.0
20260324,002887.SZ,绿茵生态,U,11.3,11.3,9.24,0,14943583.0,131618,131618,14943583.0
20260324,300335.SZ,迪森股份,U,8.4,8.4,5.6,0,102136171.0,103930,103930,102136171.0
20260324,300385.SZ,雪浪环境,U,18.73,18.73,12.49,0,81420883.0,93042,93042,81420883.0
20260324,300497.SZ,富祥药业,U,17.0,17.0,11.34,5,41401800.0,93151,95142,41401800.0
20260324,301226.SZ,祥明智能,U,42.96,42.96,28.64,0,106826913.0,102439,102439,106826913.0
20260324,600026.SH,中远海能,U,25.87,25.87,21.17,1,20827160.0,110645,150000,20827160.0
