ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
000062.SZ,20260424,深圳华强,34.34,9.9936,10.73,3731477591.0,321603106.91,415625498.1,737228605.01,94022391.19,2.52,19.76,35881868644.18,日涨幅偏离值达到7%的前5只证券
000711.SZ,20260424,ST京蓝,4.49,3.4562,4.96,1679020372.0,106057045.71,108123922.0,214180967.71,2066876.29,0.12,12.76,10693741915.86,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000909.SZ,20260424,*ST数源,5.73,-4.9751,0.04,45705809.0,17394039.0,12420510.0,29814549.0,-4973529.0,-10.88,65.23,2508081566.1,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000925.SZ,20260424,众合科技,9.2,10.0478,6.18,1193210676.0,77718162.0,259190588.59,336908750.59,181472426.59,15.21,28.24,6193847633.6,连续三个交易日内，涨幅偏离值累计达到20%的证券
002025.SZ,20260424,航天电器,76.81,4.3614,12.03,4107723623.0,460971407.28,477538627.14,938510034.42,16567219.86,0.4,22.85,34861854476.19,日振幅值达到15%的前5只证券
002081.SZ,20260424,金螳螂,4.89,-9.9448,18.28,2432496838.0,407277869.9,167789943.5,575067813.4,-239487926.4,-9.85,23.64,12932117907.21,日跌幅偏离值达到7%的前5只证券
002149.SZ,20260424,西部材料,57.9,-9.9953,20.35,5912065720.0,802302501.02,534625191.57,1336927692.59,-267677309.45,-4.53,22.61,28263263964.6,日跌幅偏离值达到7%的前5只证券
002192.SZ,20260424,融捷股份,86.28,9.9949,11.45,2477165922.0,322884972.07,587316887.88,910201859.95,264431915.81,10.67,36.74,22356673257.84,日涨幅偏离值达到7%的前5只证券
002229.SZ,20260424,鸿博股份,16.88,-10.0213,11.44,954406342.0,80395339.18,96860013.0,177255352.18,16464673.82,1.73,18.57,8324476031.44,日跌幅偏离值达到7%的前5只证券
002240.SZ,20260424,盛新锂能,50.93,10.0,7.12,3174971097.0,422927528.25,664315572.77,1087243101.02,241388044.52,7.6,34.24,46494441211.46,日涨幅偏离值达到7%的前5只证券
