ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
000001.SZ,20260430,11.5,11.6,11.46,11.49,1139241.62,1312827.776,-0.2604
000002.SZ,20260430,3.87,3.95,3.83,3.91,1659541.27,648035.066,1.0336
000006.SZ,20260430,9.67,9.71,9.39,9.7,284857.82,272659.465,1.9979
000007.SZ,20260430,14.11,15.51,14.08,15.51,115942.76,172590.196,10.0
000008.SZ,20260430,2.7,2.73,2.68,2.69,417579.45,112873.78,-0.3704
000009.SZ,20260430,9.0,9.01,8.56,8.65,806514.56,701069.433,-6.7888
000010.SZ,20260430,2.89,2.89,2.89,2.89,21733.0,6280.837,-4.9342
000011.SZ,20260430,8.13,8.15,7.92,8.07,88230.11,71043.656,0.0
000012.SZ,20260430,4.06,4.08,4.02,4.03,207821.79,83906.677,-0.7389
000014.SZ,20260430,13.4,13.4,12.94,13.2,79506.6,104285.7,0.0
000016.SZ,20260430,3.24,3.24,3.24,3.24,220945.0,71586.18,-4.9853
000017.SZ,20260430,6.39,6.46,6.34,6.41,61315.0,39261.289,0.0
000019.SZ,20260430,7.77,7.86,7.59,7.69,177583.04,136631.173,-0.7742
000020.SZ,20260430,15.9,16.22,15.85,15.96,44700.01,71538.918,0.1883
000021.SZ,20260430,29.58,29.67,28.78,29.22,731466.15,2127039.209,-0.0342
000025.SZ,20260430,16.39,16.73,16.32,16.6,63847.64,105782.377,1.2813
000026.SZ,20260430,17.93,18.27,17.7,18.13,133124.01,240442.155,0.2211
000027.SZ,20260430,6.93,6.95,6.82,6.84,365567.18,250663.932,-1.7241
000028.SZ,20260430,24.68,24.69,24.41,24.54,59414.86,145628.607,-1.0484
000029.SZ,20260430,20.81,21.35,20.25,21.26,85752.27,179156.444,1.4797
000030.SZ,20260430,5.1,5.14,5.07,5.09,136503.5,69555.542,-0.1961
000031.SZ,20260430,2.98,3.13,2.95,3.06,410256.82,124900.166,3.0303
000032.SZ,20260430,17.77,17.83,17.24,17.34,198175.13,345012.542,-2.5295
000034.SZ,20260430,37.3,38.23,36.89,37.67,234136.76,882477.893,0.6143
000035.SZ,20260430,6.67,6.69,6.42,6.53,541737.17,353762.619,-2.5373
000036.SZ,20260430,5.45,5.75,5.44,5.59,714134.16,400603.442,2.7574
000037.SZ,20260430,10.93,10.97,10.71,10.8,245498.6,265498.274,-1.0989
000039.SZ,20260430,12.52,12.6,12.05,12.39,745190.23,918501.712,-0.3218
000042.SZ,20260430,9.19,9.76,9.08,9.63,364697.32,348690.859,8.5682
000045.SZ,20260430,11.74,12.06,11.73,12.01,82986.0,99369.529,2.5619
000048.SZ,20260430,14.5,14.94,14.31,14.74,116058.03,170519.96,0.1359
000049.SZ,20260430,29.59,30.06,28.93,29.04,176802.73,516667.049,-2.3209
000050.SZ,20260430,7.85,7.88,7.54,7.62,512740.02,392415.502,-6.846
000055.SZ,20260430,3.64,3.71,3.63,3.65,109494.91,40231.767,0.2747
000056.SZ,20260430,1.81,1.84,1.74,1.74,1062722.12,186233.203,-4.918
000058.SZ,20260430,8.12,8.21,8.09,8.2,69905.64,57166.173,0.861
000059.SZ,20260430,5.61,5.75,5.59,5.69,356690.0,202894.18,1.426
000060.SZ,20260430,6.68,6.88,6.67,6.75,1534571.04,1037792.679,1.5038
000061.SZ,20260430,7.42,7.49,7.36,7.38,121690.84,90136.174,-0.9396
000062.SZ,20260430,35.75,37.7,35.2,36.92,1169854.47,4294171.297,3.5624
