ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
000004.SZ,20260630,1min,241,1,09:32:00,15:00:00,2,0,5.8824,0,,0.0,29.7059,0.009208,0.0,31,0.0,70.0,65.4118,8.25,neutral_limitup
000012.SZ,20260630,1min,241,1,09:39:00,15:00:00,1,0,0.3876,0,,0.0,62.6744,0.016481,0.0,31,0.0,70.0,75.3023,8.25,healthy_limitup
000017.SZ,20260630,1min,241,1,13:45:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.008616,0.0,31,0.0,45.0,64.75,12.0,neutral_limitup
000026.SZ,20260630,1min,241,1,14:33:00,15:00:00,2,0,0.7428,0,,0.0,60.5432,0.275963,0.0,22,29.2733,12.6817,41.5514,24.1661,weak_limitup
000100.SZ,20260630,1min,241,1,09:56:00,15:00:00,1,0,0.3436,0,,0.0,62.9381,0.02004,0.0,31,0.0,70.0,75.3814,8.25,healthy_limitup
000566.SZ,20260630,1min,241,1,14:42:00,15:00:00,1,0,1.002,0,,0.0,58.988,0.20921,0.0,19,17.2578,15.6855,45.4404,20.7116,weak_limitup
000603.SZ,20260630,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.013933,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
000620.SZ,20260630,1min,241,1,09:32:00,15:00:00,2,0,4.8571,0,,0.0,35.8571,0.03232,0.0,31,0.0,70.0,67.2571,8.25,neutral_limitup
000801.SZ,20260630,1min,241,1,09:37:00,15:00:00,1,0,0.9274,0,,0.0,59.4359,0.023718,0.0,31,0.0,70.0,74.3308,8.25,neutral_limitup
000811.SZ,20260630,1min,241,1,10:34:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.09311,0.0,31,0.0,57.0,70.15,10.2,neutral_limitup
000818.SZ,20260630,1min,241,1,13:34:00,15:00:00,1,0,2.135,0,,0.0,52.1901,0.017431,0.0,31,0.0,45.0,60.907,12.0,neutral_limitup
000829.SZ,20260630,1min,241,1,09:45:00,15:00:00,1,1,1.1538,1,1.0,100.0,81.0769,0.02009,0.0,31,0.0,80.0,85.3231,10.7,healthy_limitup
