ts_code,name,start_date,end_date,change_reason
920038.BJ,森合高科,20260805,,其他
300311.SZ,任子行,20260805,,撤销ST
002214.SZ,大立科技,20260805,,撤销*ST
001232.SZ,嘉立创,20260804,,其他
600530.SH,ST交昂,20260804,,ST
600238.SH,ST椰岛,20260803,,撤消*ST并实行ST
600439.SH,ST瑞贝卡,20260803,,ST
920258.BJ,聚仁新材,20260803,,其他
000793.SZ,ST华闻,20260731,,撤消*ST并实行ST
688309.SH,恒誉科技,20260730,,其他
301677.SZ,欣兴工具,20260730,,其他
000820.SZ,神雾节能,20260730,,撤销*ST
920065.BJ,千岸科技,20260729,,其他
688089.SH,ST嘉必优,20260728,,ST
688825.SH,长鑫科技,20260727,,其他
920176.BJ,维琪科技,20260727,,其他
600768.SH,富邦新材,20260725,,其他
920238.BJ,长鹰硬科,20260724,,其他
002199.SZ,东晶电子,20260723,,撤销*ST
920079.BJ,乔路铭,20260722,,其他
688806.SH,泰诺麦博,20260721,,其他
002713.SZ,东易日盛,20260720,,撤销*ST
002656.SZ,摩登大道,20260720,,撤销*ST
300132.SZ,诺斯贝尔,20260718,,其他
920117.BJ,龙鑫智能,20260716,,其他
002759.SZ,ST天际,20260715,,ST
002005.SZ,德豪润达,20260714,,撤销ST
000595.SZ,新能股份,20260713,,其他
301583.SZ,托伦斯,20260710,,其他
920081.BJ,欧伦电气,20260710,,其他
920136.BJ,永励精密,20260709,,其他
920189.BJ,康美特,20260708,,其他
002731.SZ,*ST萃华,20260707,,从ST变为*ST
688121.SH,*ST卓然,20260707,,*ST
