ts_code,trade_date,close,open,high,low,vol,amount,vwap
000048.SZ,20260806,21.19,21.25,21.3,21.19,220800.0,4691505.92,21.25
000510.SZ,20260806,16.24,16.17,16.46,16.17,1857804.0,30080235.52,16.19
000533.SZ,20260806,12.63,12.69,12.75,12.63,2524500.0,32059292.16,12.7
000593.SZ,20260806,22.53,22.52,22.89,22.52,2562792.96,57779261.44,22.55
000595.SZ,20260806,6.68,6.65,6.73,6.65,7668700.16,51024174.08,6.65
000710.SZ,20260806,9.27,9.18,9.35,9.18,1165000.0,10706755.84,9.19
000739.SZ,20260806,22.23,22.28,22.37,22.2,533300.0,11878818.56,22.27
000815.SZ,20260806,18.32,18.24,18.48,18.24,4308800.0,78654750.72,18.25
000820.SZ,20260806,3.92,3.93,3.98,3.91,2672500.0,10505509.12,3.93
000892.SZ,20260806,4.1,4.1,4.11,4.08,1396600.0,5725011.84,4.1
001229.SZ,20260806,44.02,44.24,44.24,43.36,636200.0,28117268.48,44.2
001266.SZ,20260806,33.35,33.5,33.5,33.28,74600.0,2497876.96,33.48
001326.SZ,20260806,54.8,55.01,55.01,54.77,12300.0,676136.96,54.97
001331.SZ,20260806,50.19,50.2,50.35,50.0,192900.0,9683987.84,50.2
001388.SZ,20260806,23.2,23.26,23.39,23.0,458878.0,10671893.12,23.26
002173.SZ,20260806,21.39,21.31,21.45,21.31,694300.0,14807912.96,21.33
002199.SZ,20260806,13.48,13.6,13.6,13.48,297600.0,4044300.16,13.59
002289.SZ,20260806,32.0,32.09,32.09,32.0,64400.0,2065945.92,32.08
002291.SZ,20260806,5.7,5.76,5.78,5.69,2427300.0,13928555.52,5.74
002303.SZ,20260806,5.26,5.24,5.28,5.24,2582900.0,13545406.72,5.24
002348.SZ,20260806,11.8,11.74,11.9,11.69,4998000.0,58694538.24,11.74
002354.SZ,20260806,8.02,7.99,8.08,7.99,11362489.6,90950379.52,8.0
002361.SZ,20260806,11.41,11.41,11.48,11.32,4386099.84,50094766.08,11.42
002421.SZ,20260806,3.48,3.46,3.49,3.45,14693898.24,50902743.04,3.46
002425.SZ,20260806,3.82,3.82,3.82,3.82,8691600.0,33201912.32,3.82
002536.SZ,20260806,37.5,37.39,37.95,37.39,726478.0,27196113.92,37.44
002552.SZ,20260806,41.02,40.81,41.5,40.81,1089200.0,44540349.44,40.89
002579.SZ,20260806,13.51,13.49,13.56,13.4,4758232.96,64231869.44,13.5
002655.SZ,20260806,27.5,27.6,27.7,27.5,604700.0,16687385.6,27.6
002659.SZ,20260806,4.79,4.78,4.81,4.77,1604900.0,7675112.96,4.78
002674.SZ,20260806,27.02,27.0,27.3,27.0,1454500.0,39294540.8,27.02
002693.SZ,20260806,9.53,9.51,9.57,9.51,443600.0,4219648.96,9.51
002779.SZ,20260806,69.64,69.71,69.72,69.37,12200.0,850080.96,69.68
002792.SZ,20260806,32.98,32.68,33.0,32.61,4144099.84,135693076.48,32.74
002793.SZ,20260806,5.14,5.1,5.14,5.08,1154000.0,5887537.92,5.1
002796.SZ,20260806,27.28,27.31,27.36,27.15,342000.0,9341875.2,27.32
002827.SZ,20260806,47.62,48.87,48.87,47.53,2092500.0,101915760.64,48.71
002900.SZ,20260806,12.45,12.41,12.52,12.41,807600.0,10036563.2,12.43
002912.SZ,20260806,21.16,21.1,21.3,21.08,376700.0,7950981.12,21.11
002921.SZ,20260806,22.88,22.74,22.97,22.74,123800.0,2816979.84,22.75
002963.SZ,20260806,19.34,19.34,19.35,19.16,1180500.0,22826073.6,19.34
002975.SZ,20260806,87.99,87.57,88.0,87.16,529800.0,46435409.92,87.65
