trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,limit_times,up_stat,industry,turnover_ratio,amount,float_mv,total_mv,seal_amount
20260810,000026.SZ,飞亚达,U,19.07,19.07,15.61,0,70301555.0,142818,142818,1.0,1/1,饰品,4.28,285069424.0,6952173178.31,7737919480.0,70301555.0
20260810,000428.SZ,华天酒店,U,4.32,4.32,3.54,0,55016007.0,102124,102124,1.0,1/1,酒店餐饮,5.18,217110359.0,4401760320.0,4401760320.0,55016007.0
20260810,000506.SZ,招金黄金,U,19.94,19.94,16.32,0,38590041.0,135339,135339,2.0,2/2,贵金属,13.08,2294767520.0,18518416802.34,18524614134.4,38590041.0
20260810,000537.SZ,绿发电力,U,8.32,8.32,6.8,1,90921176.0,93827,101121,1.0,1/1,电力,2.98,501123360.0,17103572919.68,17103572961.28,90921176.0
20260810,000656.SZ,金科股份,U,1.29,1.29,1.05,1,46272221.0,134351,140300,1.0,1/1,房地产开发,4.7,440807344.0,9787680219.03,13659463825.92,46272221.0
20260810,000710.SZ,贝瑞基因,U,9.99,9.99,8.17,0,85456458.0,93424,93424,1.0,1/1,医疗服务,6.39,205478932.0,3292003930.77,3531679505.28,85456458.0
20260810,000802.SZ,北京文化,U,4.7,4.7,3.84,1,94861463.0,92500,93218,1.0,1/1,影视院线,14.28,479987088.0,3363056823.5,3364731203.2,94861463.0
20260810,000859.SZ,国风新材,U,9.53,9.53,7.79,0,46764663.0,110636,110636,1.0,1/1,塑料,8.08,657407296.0,8538167832.63,8538653872.16,46764663.0
20260810,000973.SZ,佛塑科技,U,13.68,13.68,11.2,0,100678370.0,143124,143124,1.0,1/1,塑料,8.57,1082880896.0,13234348979.28,33628678986.24,100678370.0
20260810,001222.SZ,源飞宠物,U,15.41,15.41,12.61,0,20510093.0,102133,102133,1.0,1/1,文娱用品,6.06,101861345.0,1741309735.85,2941614900.0,20510093.0
20260810,001258.SZ,立新能源,U,14.48,14.48,11.84,8,81525296.0,93142,111615,1.0,1/1,电力,18.89,2519826912.0,13514496898.32,13514666589.44,81525296.0
20260810,001300.SZ,三柏硕,U,11.57,11.57,9.47,0,110767709.0,131321,131321,1.0,1/1,文娱用品,3.04,82344498.0,2820487324.98,2820487324.98,110767709.0
20260810,001376.SZ,百通能源,U,12.13,12.13,9.93,0,62457370.0,130333,130333,1.0,1/1,电力,13.99,352062928.0,2596324159.19,5590717000.0,62457370.0
20260810,001388.SZ,信通电子,U,25.29,25.29,20.69,1,50119317.0,92500,93118,1.0,1/1,电网设备,5.24,165327304.0,3164248685.88,5911942140.0,50119317.0
20260810,002044.SZ,美年健康,U,5.3,5.3,4.34,0,87766834.0,101506,101506,1.0,1/1,医疗服务,5.13,1021162512.0,20533406423.1,20745545776.0,87766834.0
20260810,002112.SZ,三变科技,U,17.7,17.7,14.48,2,77881327.0,93439,102236,1.0,1/1,电网设备,17.35,791977248.0,4638808035.0,5206123656.0,77881327.0
20260810,002141.SZ,贤丰控股,U,6.72,6.72,5.5,1,100035936.0,95906,101418,1.0,1/1,元件,24.02,1606097952.0,6941328562.56,6941328522.24,100035936.0
20260810,002153.SZ,石基信息,U,9.04,9.04,7.4,0,150457954.0,100536,100536,1.0,1/1,软件开发,2.59,360669248.0,14461864788.16,24671912313.6,150457954.0
20260810,002248.SZ,华东数控,U,10.05,10.05,8.23,1,17374440.0,103706,104639,1.0,1/1,通用设备,11.33,341624384.0,3090330780.0,3090330780.0,17374440.0
20260810,002289.SZ,宇顺电子,U,37.5,37.5,30.68,0,56565000.0,104112,104112,1.0,1/1,光学光电,2.29,227363709.0,10291171237.5,10509514800.0,56565000.0
20260810,002298.SZ,中电鑫龙,U,9.34,9.34,7.64,0,156675698.0,93221,93221,1.0,1/1,电网设备,5.85,355176704.0,6171470258.58,6912635768.64,156675698.0
20260810,002300.SZ,太阳电缆,U,7.9,7.9,6.46,2,13713610.0,94312,112106,1.0,1/1,电网设备,12.64,704563360.0,5706130586.9,5706436198.4,13713610.0
20260810,002329.SZ,皇氏集团,U,3.47,3.47,2.84,1,40140960.0,110715,112103,1.0,1/1,饮料乳品,13.83,300558960.0,2261027446.28,2888441824.48,40140960.0
20260810,002345.SZ,潮宏基,U,11.65,11.65,9.53,0,73898687.0,95715,95715,1.0,1/1,饰品,4.0,393649408.0,10103222102.25,10351173001.6,73898687.0
20260810,002370.SZ,亚太药业,U,5.81,5.81,4.75,1,62677402.0,93730,93821,1.0,1/1,化学制药,4.61,196798854.0,4332066899.3,4332328384.16,62677402.0
20260810,002388.SZ,新亚制程,U,5.74,5.74,4.7,0,54174120.0,100339,100339,1.0,1/1,其他电子,10.56,298861280.0,2905177274.3,2931404224.0,54174120.0
20260810,002399.SZ,海普瑞,U,10.96,10.96,8.96,1,41152608.0,100333,100524,1.0,1/1,化学制药,1.09,144664287.0,13669330675.84,16081566439.68,41152608.0
20260810,002437.SZ,誉衡药业,U,3.43,3.43,2.81,15,5694122.0,93012,143939,2.0,2/2,化学制药,21.97,1567556608.0,7203527708.93,7648447679.04,5694122.0
20260810,002458.SZ,益生股份,U,9.99,9.99,8.17,0,101026322.0,93821,93821,1.0,1/1,养殖业,3.8,360006352.0,9654191904.24,14297618469.6,101026322.0
20260810,002474.SZ,榕基软件,U,7.04,7.04,5.76,1,59557097.0,95142,100218,1.0,1/1,IT服务Ⅱ,8.68,316219152.0,3722978385.28,4380288000.0,59557097.0
20260810,002541.SZ,鸿路钢构,U,20.57,20.57,16.83,0,48104096.0,135657,135657,1.0,1/1,专业工程,3.46,343510800.0,10206424019.33,14193692640.16,48104096.0
20260810,002552.SZ,宝鼎科技,U,52.36,52.36,42.84,3,129915632.0,92500,101651,5.0,6/7,元件,6.45,1234617872.0,19294832212.04,20314911774.08,129915632.0
20260810,002580.SZ,圣阳股份,U,20.99,20.99,17.17,1,160712978.0,134703,135236,1.0,1/1,电池,20.33,1848851440.0,9494591412.0,9526710142.08,160712978.0
20260810,002589.SZ,瑞康医药,U,3.34,3.34,2.74,0,104287097.0,94100,94100,2.0,2/2,医药商业,12.39,556672048.0,4561075770.32,5025732949.76,104287097.0
20260810,002622.SZ,皓宸医疗,U,2.62,2.62,2.14,0,13590988.0,102136,102136,1.0,1/1,医疗服务,4.83,102511473.0,2200735155.0,2200800000.0,13590988.0
20260810,002626.SZ,金达威,U,16.46,16.46,13.46,0,113628597.0,93403,93403,1.0,1/1,食品加工,1.88,186646728.0,10038312586.72,10039547086.72,113628597.0
20260810,002647.SZ,仁东控股,U,10.49,10.49,8.59,1,25927084.0,101927,104309,1.0,1/1,多元金融,4.84,503977424.0,10650409481.93,11856759555.36,25927084.0
20260810,002696.SZ,百洋股份,U,6.03,6.03,4.93,1,2709882.0,95833,100636,1.0,1/1,饲料,8.59,170534190.0,2015581275.54,2084898067.2,2709882.0
20260810,002739.SZ,儒意电影,U,9.93,9.93,8.13,0,120952116.0,130915,130915,1.0,1/1,影视院线,9.4,1866411408.0,20674278350.64,20969962530.72,120952116.0
20260810,002748.SZ,世龙实业,U,12.0,12.0,9.82,0,69927600.0,102939,102939,1.0,1/1,化学原料,2.85,79533469.0,2880000000.0,2880000000.0,69927600.0
20260810,002783.SZ,凯龙股份,U,8.21,8.21,6.71,1,66279535.0,101918,103503,1.0,1/1,化学制品,7.24,266913626.0,3785767171.06,4099396182.4,66279535.0
20260810,002827.SZ,高争民爆,U,59.58,59.58,48.74,3,27671931.0,95842,100433,1.0,6/9,化学制品,4.85,781698848.0,16444004035.5,16506400680.0,27671931.0
20260810,002828.SZ,贝肯能源,U,12.87,12.87,10.53,0,119762557.0,94730,94730,1.0,1/1,油服工程,12.48,314859488.0,2586710412.0,2586710412.0,119762557.0
20260810,002842.SZ,翔鹭钨业,U,42.22,42.22,34.54,0,149266276.0,141109,141109,1.0,2/4,小金属,24.15,2534627472.0,11334480796.98,13813219403.52,149266276.0
20260810,002885.SZ,京泉华,U,31.91,31.91,26.11,0,223296607.0,93000,93000,1.0,1/1,其他电子,3.12,236467428.0,7570833375.75,8644960704.16,223296607.0
20260810,002900.SZ,哈三联,U,14.83,14.83,12.13,12,5857850.0,93018,142854,2.0,3/5,化学制药,37.16,882898544.0,2389445192.0,4691537887.52,5857850.0
20260810,002951.SZ,金时科技,U,15.47,15.47,12.65,1,90335518.0,93600,93736,1.0,1/1,其他电源,1.81,110776873.0,6205394854.75,6265350000.0,90335518.0
20260810,003043.SZ,华亚智能,U,74.25,74.25,60.75,0,109216998.0,143421,143421,1.0,1/1,半导体,9.96,675975200.0,6980776654.5,10692750073.5,109216998.0
20260810,300862.SZ,蓝盾光电,U,22.81,22.81,15.21,0,1076291264.0,92500,92500,1.0,1/1,通用设备,0.58,20085072.0,3455053669.67,4211134344.62,1076291264.0
20260810,301051.SZ,信濠光电,U,20.72,20.72,13.82,1,29998913.0,134151,141915,1.0,1/1,消费电子,11.95,524792432.0,4679345043.52,5889884439.04,29998913.0
20260810,301080.SZ,百普赛斯,U,77.7,77.7,51.8,30,3571869.0,93000,145021,2.0,2/2,生物制品,23.31,2264869008.0,9855262561.2,13028662806.6,3571869.0
20260810,301357.SZ,北方长龙,U,113.23,113.23,75.49,0,41578056.0,145527,145527,1.0,1/1,地面兵装,12.25,1204444784.0,10779496000.0,10779496000.0,41578056.0
20260810,600186.SH,莲花控股,U,10.88,10.88,8.9,0,199610028.0,142630,142630,1.0,1/1,调味发酵,15.67,2872555232.0,19465824606.08,19505279283.2,199610028.0
20260810,600192.SH,长城电工,U,7.89,7.89,6.45,1,44896467.0,112814,130020,1.0,1/1,电网设备,7.03,235550921.0,3485391720.0,3485391720.0,44896467.0
20260810,600227.SH,赤天化,U,3.67,3.67,3.01,2,63346769.0,95056,100338,1.0,1/1,农化制品,15.69,714031728.0,4688791277.01,6197630585.6,63346769.0
20260810,600272.SH,开开实业,U,14.27,14.27,11.67,0,67479704.0,92501,92501,3.0,3/3,医药商业,3.69,84254632.0,2283200000.0,3748043255.15,67479704.0
20260810,600316.SH,洪都航空,U,28.53,28.53,23.35,1,23705577.0,142941,143311,1.0,1/1,航空装备,3.5,685945120.0,20459277027.36,20459277027.36,23705577.0
20260810,600326.SH,西藏天路,U,8.36,8.36,6.84,1,90753927.0,103802,110341,1.0,2/3,水泥,8.99,982125056.0,11390202576.28,11390202517.76,90753927.0
20260810,600327.SH,大东方,U,3.94,3.94,3.22,1,29430350.0,111358,111810,1.0,1/1,一般零售,4.51,153080942.0,3486031300.92,3486031308.8,29430350.0
20260810,600356.SH,恒丰纸业,U,9.06,9.06,7.42,2,13787508.0,142713,143858,1.0,1/1,造纸,5.23,137764852.0,2706506284.68,2985600798.72,13787508.0
20260810,600490.SH,鹏欣资源,U,7.9,7.9,6.46,1,26552690.0,92501,93840,1.0,1/1,工业金属,4.39,686712896.0,15741708949.4,17481807868.8,26552690.0
20260810,600641.SH,先导基电,U,34.41,34.41,28.15,0,162371912.0,93243,93243,2.0,2/2,半导体,3.12,990539600.0,32022975547.2,32581656307.2,162371912.0
