ts_code,trade_date,vol,price,amount
600000.SH,20260907,270300,9.43,2548929.0
600004.SH,20260907,18300,7.86,143838.0
600006.SH,20260907,62900,5.37,337773.0
600007.SH,20260907,4400,18.93,83292.0
600008.SH,20260907,132758,2.8,371722.0
600009.SH,20260907,107700,23.88,2571876.0
600010.SH,20260907,1486043,2.21,3284155.0
600011.SH,20260907,234100,6.86,1605926.0
600012.SH,20260907,33300,16.53,550449.0
600015.SH,20260907,824100,6.33,5216553.0
600016.SH,20260907,710059,3.62,2570414.0
600017.SH,20260907,69000,2.85,196650.0
600018.SH,20260907,189900,5.41,1027359.0
600019.SH,20260907,245000,5.86,1435700.0
600020.SH,20260907,70300,3.9,274170.0
600021.SH,20260907,79600,13.46,1071416.0
600022.SH,20260907,98100,1.33,130473.0
600023.SH,20260907,110700,4.89,541323.0
600025.SH,20260907,79500,9.76,775920.0
600026.SH,20260907,392700,20.97,8234919.0
600027.SH,20260907,138100,4.83,667023.0
600028.SH,20260907,445300,5.48,2440244.0
600029.SH,20260907,562700,5.01,2819127.0
600030.SH,20260907,467100,28.05,13102155.0
600031.SH,20260907,191500,19.99,3828085.0
600032.SH,20260907,60600,6.72,407232.0
600033.SH,20260907,342500,3.61,1236425.0
600035.SH,20260907,101400,3.7,375180.0
600036.SH,20260907,206000,41.65,8579900.0
600037.SH,20260907,60600,7.07,428442.0
600038.SH,20260907,10100,27.95,282295.0
600039.SH,20260907,66300,9.11,603993.0
600048.SH,20260907,1023700,5.22,5343714.0
600050.SH,20260907,439700,4.26,1873122.0
600051.SH,20260907,21500,6.31,135665.0
600052.SH,20260907,22600,3.92,88592.0
600053.SH,20260907,1000,7.83,7830.0
600054.SH,20260907,68900,11.57,797173.0
600055.SH,20260907,28900,11.09,320501.0
600056.SH,20260907,32200,9.06,291732.0
600057.SH,20260907,102800,6.56,674368.0
600058.SH,20260907,11200,9.8,109760.0
600059.SH,20260907,3320100,9.37,31109337.0
600060.SH,20260907,18700,28.59,534633.0
600061.SH,20260907,203900,6.56,1337584.0
600062.SH,20260907,18400,16.06,295504.0
600063.SH,20260907,168300,5.57,937431.0
600064.SH,20260907,53600,7.66,410576.0
600066.SH,20260907,48500,28.55,1384675.0
600067.SH,20260907,42500,2.86,121550.0
600071.SH,20260907,13800,16.6,229080.0
600072.SH,20260907,307700,9.07,2790839.0
600073.SH,20260907,82900,5.75,476675.0
600075.SH,20260907,225100,5.0,1125500.0
600076.SH,20260907,705500,2.85,2010675.0
600078.SH,20260907,81400,10.67,868538.0
600079.SH,20260907,43800,18.79,823002.0
600080.SH,20260907,237700,4.93,1171861.0
600081.SH,20260907,1800,10.6,19080.0
600082.SH,20260907,29600,2.97,87912.0
600084.SH,20260907,12600,4.3,54180.0
600085.SH,20260907,18300,24.1,441030.0
600088.SH,20260907,106600,12.4,1321840.0
600089.SH,20260907,158589,18.93,3002090.0
600094.SH,20260907,119600,3.97,474812.0
600095.SH,20260907,1671800,9.87,16500666.0
600096.SH,20260907,209300,30.8,6446440.0
600097.SH,20260907,53800,9.31,500878.0
600098.SH,20260907,53800,6.13,329794.0
600099.SH,20260907,25300,9.3,235290.0
600100.SH,20260907,4800,6.89,33072.0
600101.SH,20260907,16600,7.87,130642.0
600103.SH,20260907,7762100,3.6,27943560.0
600104.SH,20260907,371500,10.47,3889605.0
600105.SH,20260907,368800,37.53,13841064.0
600106.SH,20260907,14900,4.6,68540.0
600107.SH,20260907,0,,0.0
600108.SH,20260907,7369525,4.8,35373720.0
600109.SH,20260907,225300,8.79,1980387.0
600110.SH,20260907,563400,11.0,6197400.0
600111.SH,20260907,199600,38.51,7686596.0
600113.SH,20260907,13200,29.71,392172.0
600114.SH,20260907,36200,29.1,1053420.0
600115.SH,20260907,2011400,3.48,6999672.0
600116.SH,20260907,18900,6.27,118503.0
600117.SH,20260907,12000,2.29,27480.0
600118.SH,20260907,40600,57.67,2341402.0
600119.SH,20260907,100,5.05,505.0
600120.SH,20260907,144300,4.96,715728.0
600121.SH,20260907,5444100,4.81,26186121.0
600123.SH,20260907,113200,7.01,793532.0
600125.SH,20260907,22300,5.44,121312.0
600126.SH,20260907,110700,6.29,696303.0
600127.SH,20260907,8634200,13.23,114230466.0
600128.SH,20260907,42200,8.51,359122.0
600129.SH,20260907,19100,13.85,264535.0
600130.SH,20260907,308200,4.64,1430048.0
600131.SH,20260907,153000,15.13,2314890.0
600132.SH,20260907,25700,40.04,1029028.0
600133.SH,20260907,109600,8.39,919544.0
600135.SH,20260907,9500,7.49,71155.0
600136.SH,20260907,8400,1.48,12432.0
600137.SH,20260907,11000,17.85,196350.0
600138.SH,20260907,38300,7.34,281122.0
600141.SH,20260907,91100,30.08,2740288.0
600143.SH,20260907,132000,13.68,1805760.0
600148.SH,20260907,84300,16.7,1407810.0
600149.SH,20260907,28600,5.16,147576.0
600150.SH,20260907,3714800,37.74,140196552.0
600151.SH,20260907,152100,9.77,1486017.0
600152.SH,20260907,27600,8.08,223008.0
600153.SH,20260907,54200,8.47,459074.0
600155.SH,20260907,119500,6.25,746875.0
600156.SH,20260907,59200,8.64,511488.0
600157.SH,20260907,1815200,1.55,2813560.0
600158.SH,20260907,204300,7.37,1505691.0
600159.SH,20260907,314800,2.72,856256.0
600160.SH,20260907,49761,38.0,1890918.0
600161.SH,20260907,9600,12.29,117984.0
600162.SH,20260907,1283800,4.71,6046698.0
600163.SH,20260907,31900,5.26,167794.0
600165.SH,20260907,19500,3.12,60840.0
600166.SH,20260907,1244800,2.88,3585024.0
600167.SH,20260907,388200,5.68,2204976.0
600168.SH,20260907,25600,4.45,113920.0
600169.SH,20260907,46900,2.13,99897.0
600170.SH,20260907,340800,2.28,777024.0
600171.SH,20260907,57000,22.68,1292760.0
600172.SH,20260907,2559200,15.49,39642008.0
600173.SH,20260907,31700,6.16,195272.0
600176.SH,20260907,906044,40.45,36649480.0
600177.SH,20260907,90100,8.21,739721.0
600178.SH,20260907,45200,10.24,462848.0
600179.SH,20260907,140100,4.63,648663.0
600180.SH,20260907,57400,1.43,82082.0
600182.SH,20260907,200,13.08,2616.0
600183.SH,20260907,470226,140.25,65949197.0
600184.SH,20260907,55200,17.8,982560.0
600185.SH,20260907,3446500,5.28,18197520.0
600186.SH,20260907,1138200,11.69,13305558.0
600187.SH,20260907,109300,1.33,145369.0
600188.SH,20260907,170700,21.48,3666636.0
600189.SH,20260907,87800,7.96,698888.0
600191.SH,20260907,10100,10.4,105040.0
600192.SH,20260907,11100,7.26,80586.0
600195.SH,20260907,49800,6.92,344616.0
600196.SH,20260907,181200,22.55,4086060.0
600197.SH,20260907,24300,9.68,235224.0
600198.SH,20260907,124900,7.54,941746.0
600199.SH,20260907,196700,7.43,1461481.0
600201.SH,20260907,28200,12.35,348270.0
600202.SH,20260907,29000,5.13,148770.0
600203.SH,20260907,517900,10.83,5608857.0
600206.SH,20260907,308200,45.82,14121724.0
600207.SH,20260907,21400,4.4,94160.0
600208.SH,20260907,304400,2.91,885804.0
600210.SH,20260907,94900,6.13,581737.0
600211.SH,20260907,49000,38.25,1874250.0
600212.SH,20260907,25700,6.35,163195.0
600215.SH,20260907,16900,6.79,114751.0
600216.SH,20260907,74700,12.68,947196.0
600217.SH,20260907,11500,3.23,37145.0
600218.SH,20260907,33500,7.72,258620.0
600219.SH,20260907,381300,4.92,1875996.0
600221.SH,20260907,1872600,1.3,2434380.0
600222.SH,20260907,70700,8.55,604485.0
600223.SH,20260907,2400,5.68,13632.0
600226.SH,20260907,229500,5.72,1312740.0
600227.SH,20260907,3808200,4.31,16413342.0
600228.SH,20260907,332100,10.21,3390741.0
600229.SH,20260907,59500,5.37,319515.0
600230.SH,20260907,17600,14.67,258192.0
600231.SH,20260907,91800,1.75,160650.0
600232.SH,20260907,32000,6.65,212800.0
600233.SH,20260907,12100,16.98,205458.0
600234.SH,20260907,134500,22.19,2984555.0
600235.SH,20260907,26100,5.87,153207.0
600236.SH,20260907,31600,9.87,311892.0
600237.SH,20260907,99400,8.15,810110.0
600238.SH,20260907,9600,4.78,45888.0
600239.SH,20260907,91400,1.43,130702.0
600241.SH,20260907,11200,7.5,84000.0
600243.SH,20260907,0,,0.0
600246.SH,20260907,670700,12.1,8115470.0
600248.SH,20260907,128000,2.91,372480.0
600249.SH,20260907,7500,5.32,39900.0
600250.SH,20260907,171600,9.81,1683396.0
600251.SH,20260907,409200,10.95,4480740.0
600252.SH,20260907,181300,2.22,402486.0
600255.SH,20260907,318700,3.39,1080393.0
600256.SH,20260907,604300,6.7,4048810.0
600257.SH,20260907,185000,5.98,1106300.0
600258.SH,20260907,115000,11.95,1374250.0
600259.SH,20260907,22900,76.99,1763071.0
600261.SH,20260907,45200,3.2,144640.0
600262.SH,20260907,20000,15.52,310400.0
600265.SH,20260907,9200,23.02,211784.0
600266.SH,20260907,131200,4.27,560224.0
600267.SH,20260907,101900,11.6,1182040.0
600268.SH,20260907,20832,10.63,221444.0
600269.SH,20260907,106300,3.92,416696.0
600271.SH,20260907,49700,6.88,341936.0
600272.SH,20260907,837800,17.8,14912840.0
600273.SH,20260907,30300,6.73,203919.0
600276.SH,20260907,230900,46.02,10626018.0
600278.SH,20260907,9100,6.54,59514.0
600279.SH,20260907,14300,4.42,63206.0
600280.SH,20260907,98700,3.15,310905.0
600281.SH,20260907,18600,4.79,89094.0
600282.SH,20260907,102600,4.74,486324.0
600283.SH,20260907,77200,8.12,626864.0
600284.SH,20260907,28100,5.2,146120.0
600285.SH,20260907,14500,19.67,285215.0
600287.SH,20260907,8000,5.04,40320.0
600288.SH,20260907,61600,11.15,686840.0
600289.SH,20260907,2000,4.28,8560.0
600292.SH,20260907,5200,12.08,62816.0
600293.SH,20260907,113700,2.94,334278.0
600295.SH,20260907,247000,14.2,3507400.0
600298.SH,20260907,9400,41.83,393202.0
600299.SH,20260907,130700,8.53,1114871.0
600300.SH,20260907,221000,3.28,724880.0
600301.SH,20260907,25500,44.95,1146225.0
600302.SH,20260907,339300,6.88,2334384.0
600303.SH,20260907,165900,2.97,492723.0
600305.SH,20260907,11300,6.83,77179.0
600307.SH,20260907,70800,1.48,104784.0
600308.SH,20260907,15800,3.27,51666.0
600309.SH,20260907,96100,77.66,7463126.0
600310.SH,20260907,46300,4.48,207424.0
600312.SH,20260907,144200,20.39,2940238.0
600313.SH,20260907,1317469,7.34,9670222.0
600315.SH,20260907,63700,18.6,1184820.0
600316.SH,20260907,77000,32.11,2472470.0
600318.SH,20260907,815800,7.39,6028762.0
600319.SH,20260907,27900,6.53,182187.0
600320.SH,20260907,179100,4.15,743265.0
600322.SH,20260907,73100,2.73,199563.0
600323.SH,20260907,6400,30.07,192448.0
600325.SH,20260907,551200,2.6,1433120.0
600326.SH,20260907,183500,7.54,1383590.0
600327.SH,20260907,54300,3.98,216114.0
600328.SH,20260907,88700,6.36,564132.0
600329.SH,20260907,5600,35.97,201432.0
600330.SH,20260907,702200,27.37,19219214.0
600331.SH,20260907,100500,12.68,1274340.0
600332.SH,20260907,36600,20.24,740784.0
600333.SH,20260907,27300,6.85,187005.0
600335.SH,20260907,17500,5.19,90825.0
600336.SH,20260907,100000,6.62,662000.0
600337.SH,20260907,17000,3.16,53720.0
600338.SH,20260907,167300,13.35,2233455.0
600339.SH,20260907,274300,3.36,921648.0
600340.SH,20260907,1112600,1.08,1201608.0
600343.SH,20260907,72200,18.25,1317650.0
600345.SH,20260907,51100,47.0,2401700.0
600346.SH,20260907,50100,19.0,951900.0
600348.SH,20260907,124200,8.92,1107864.0
600350.SH,20260907,17200,10.18,175096.0
600351.SH,20260907,75300,6.65,500745.0
600352.SH,20260907,137000,12.42,1701540.0
600353.SH,20260907,227300,31.9,7250870.0
600354.SH,20260907,3777393,9.03,34109859.0
600356.SH,20260907,11100,8.91,98901.0
600358.SH,20260907,45500,5.25,238875.0
600359.SH,20260907,157300,7.51,1181323.0
600360.SH,20260907,101000,9.76,985760.0
600361.SH,20260907,78000,3.63,283140.0
600362.SH,20260907,292100,45.86,13395706.0
600363.SH,20260907,357100,16.29,5817159.0
600365.SH,20260907,0,,0.0
600366.SH,20260907,54500,11.24,612580.0
600367.SH,20260907,223300,35.16,7851228.0
600368.SH,20260907,1053000,4.39,4622670.0
600369.SH,20260907,171000,4.13,706230.0
600370.SH,20260907,75200,1.51,113552.0
600371.SH,20260907,2106830,14.23,29980191.0
600372.SH,20260907,145300,11.43,1660779.0
600373.SH,20260907,63800,7.45,475310.0
600375.SH,20260907,18900,3.84,72576.0
600376.SH,20260907,200200,3.32,664664.0
600377.SH,20260907,68100,12.46,848526.0
600378.SH,20260907,513600,46.88,24077568.0
600379.SH,20260907,98500,14.28,1406580.0
600380.SH,20260907,599500,9.38,5623310.0
