ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
000993.SZ,20260915,1min,241,1,09:31:00,15:00:00,7,13,7.5595,13,5.7692,82.9231,0.0,16.5092,1.7616,0.052505,0.1789,0.0,19,48.0,0.0,13.0,66.2692,high_open_board_risk
001216.SZ,20260915,1min,241,1,09:31:00,15:00:00,1,0,5.4169,0,,0.0,32.4985,16.3453,0.5183,0.146568,0.0,0.0,31,0.0,70.0,66.2495,8.25,neutral_limitup
001223.SZ,20260915,1min,241,1,09:53:00,15:00:00,1,0,1.5832,0,,0.0,55.501,44.6375,3.2987,0.040966,0.0,0.0,31,0.0,70.0,73.1503,8.25,neutral_limitup
002213.SZ,20260915,1min,241,1,10:20:00,15:00:00,1,0,3.2214,0,,0.0,45.6714,28.7644,2.5226,0.025087,0.0,0.0,31,0.0,57.0,64.3514,10.2,neutral_limitup
002232.SZ,20260915,1min,241,1,09:30:00,15:00:00,1,0,0.2974,0,,0.0,63.2153,16.8093,0.0041,0.015435,0.0,0.0,31,0.0,70.0,75.4646,8.25,healthy_limitup
002362.SZ,20260915,1min,241,1,09:36:00,15:00:00,1,0,2.8,0,,0.0,48.2,17.128,2.1721,0.025581,0.0,0.0,31,0.0,70.0,70.96,8.25,neutral_limitup
002487.SZ,20260915,1min,241,1,10:18:00,15:00:00,2,1,2.003,1,4.0,90.0,72.4817,37.7857,4.3781,0.025532,0.0,0.0,31,0.0,65.0,75.9945,15.45,healthy_limitup
002491.SZ,20260915,1min,241,1,09:58:00,15:00:00,6,8,2.6991,8,14.0,55.0,0.0,21.8703,1.6445,0.066224,0.0,0.0,29,24.0,0.0,19.0,67.25,high_open_board_risk
002522.SZ,20260915,1min,241,1,10:01:00,15:00:00,2,0,4.475,0,,0.0,38.1497,5.6416,2.9857,0.257665,4.1219,0.0,24,25.9798,50.5051,52.6773,17.6692,weak_limitup
002531.SZ,20260915,1min,241,1,10:47:00,15:00:00,1,0,0.3841,0,,0.0,62.6953,7.3335,6.4977,0.012716,0.0,0.0,31,0.0,57.0,69.4586,10.2,neutral_limitup
002584.SZ,20260915,1min,241,1,13:19:00,15:00:00,2,0,1.4977,0,,0.0,56.0138,8.4348,2.9067,0.028138,0.0,0.0,31,0.0,45.0,62.0541,12.0,neutral_limitup
