ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
000001.SZ,20260304,10.84,10.84,10.67,10.71,1089713.96,1167995.856,-1.5625
000002.SZ,20260304,4.64,4.68,4.59,4.62,1176896.39,544991.41,-1.0707
000004.SZ,20260304,5.92,5.92,5.92,5.92,3010.0,1781.92,-4.9759
000006.SZ,20260304,8.37,8.7,8.31,8.56,182373.0,156255.311,0.0
000007.SZ,20260304,12.49,13.19,12.4,13.17,92538.51,119574.74,4.5238
000008.SZ,20260304,2.87,2.88,2.81,2.83,533387.71,151433.24,-1.3937
000009.SZ,20260304,8.87,9.01,8.8,8.84,246828.25,219318.881,-1.2291
000010.SZ,20260304,3.99,4.42,3.83,4.42,1369664.24,590454.991,9.9502
000011.SZ,20260304,8.31,8.4,8.24,8.33,45964.01,38222.741,-0.3589
000012.SZ,20260304,4.76,4.86,4.74,4.78,418796.28,200554.103,-1.0352
000014.SZ,20260304,12.4,12.68,12.36,12.5,55791.99,69751.319,-0.7149
000016.SZ,20260304,3.47,3.54,3.44,3.46,344280.62,119856.462,-1.1429
000017.SZ,20260304,7.33,7.46,7.28,7.39,77252.34,57063.779,-0.1351
000019.SZ,20260304,7.34,7.58,7.3,7.46,379759.21,283630.218,1.6349
000020.SZ,20260304,13.74,14.04,13.72,13.88,25578.0,35495.981,-0.5018
000021.SZ,20260304,30.68,32.26,30.68,31.2,1045309.67,3292600.217,1.6949
000025.SZ,20260304,17.35,17.58,17.2,17.4,61482.7,106771.353,-0.7982
000026.SZ,20260304,14.77,14.98,14.66,14.82,36443.22,53984.924,-0.6036
000027.SZ,20260304,7.08,7.13,6.91,6.98,511818.1,358364.794,-1.1331
000028.SZ,20260304,25.68,25.69,25.12,25.21,50869.42,128798.979,-1.9066
000029.SZ,20260304,21.66,21.94,20.94,21.12,76178.08,162554.902,-3.341
000030.SZ,20260304,5.37,5.4,5.21,5.21,183674.96,97162.832,-3.6969
000031.SZ,20260304,3.4,3.42,3.26,3.29,347343.01,115580.72,-3.8012
000032.SZ,20260304,18.16,18.5,18.03,18.12,182091.35,332161.605,-1.5752
000034.SZ,20260304,37.5,38.75,37.32,37.56,207776.72,790747.047,-0.3978
000035.SZ,20260304,6.9,7.67,6.63,7.57,2393224.6,1720265.743,2.7137
000036.SZ,20260304,5.05,5.17,5.02,5.13,394245.33,200862.704,0.1953
000037.SZ,20260304,9.46,9.76,9.42,9.73,126854.0,122509.997,1.5658
000039.SZ,20260304,12.6,12.93,12.52,12.72,631903.99,802523.907,-0.625
000042.SZ,20260304,8.55,8.62,8.41,8.52,68489.19,58385.425,-1.1601
000045.SZ,20260304,12.16,12.23,11.95,12.0,83492.34,100733.704,-1.9608
000048.SZ,20260304,17.2,17.65,17.17,17.35,58441.94,101958.293,-0.3446
000049.SZ,20260304,25.0,25.61,25.0,25.13,47250.0,119257.012,-1.3349
000050.SZ,20260304,9.28,9.46,9.17,9.2,297972.96,277020.348,-2.0234
000055.SZ,20260304,3.85,3.89,3.75,3.8,134474.5,51278.056,-2.0619
000056.SZ,20260304,1.87,1.99,1.84,1.95,741453.77,142324.24,1.0363
000058.SZ,20260304,8.35,8.47,8.28,8.4,84780.6,70892.737,-0.2375
000059.SZ,20260304,6.61,6.61,6.01,6.15,959302.82,588563.72,-7.7961
000060.SZ,20260304,7.6,8.0,7.52,7.82,1962789.21,1533605.686,1.1643
000061.SZ,20260304,9.24,9.47,9.04,9.12,206456.93,190576.632,-1.1918
