ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
688271.SH,20260609,0.694,1.2396,0.78,9291557.1567,
600820.SH,20260609,0.4674,0.7774,0.76,1719820.5634,
300181.SZ,20260609,1.1767,1.2437,0.95,908997.9862,
301268.SZ,20260609,1.9913,4.9454,1.0,646240.7322,
600315.SH,20260609,0.6019,1.2571,0.76,1197234.4704,
002759.SZ,20260609,5.2549,6.3703,0.97,1325154.225,
688567.SH,20260609,1.0984,1.8764,0.79,1424973.1299,
300328.SZ,20260609,11.5589,15.863,0.94,1440223.6296,
301081.SZ,20260609,6.5109,14.2401,2.0,350528.7465,
603507.SH,20260609,2.2962,3.0749,0.74,651505.1202,
000550.SZ,20260609,0.5576,1.7598,0.56,1432072.026,
688196.SH,20260609,1.0401,3.226,1.12,501640.4955,
000620.SZ,20260609,14.4896,20.1343,2.43,1884852.6278,
000039.SZ,20260609,4.3292,5.6086,2.73,5068969.1619,
002108.SZ,20260609,2.1069,2.6261,0.81,771543.9604,
688259.SH,20260609,1.5824,2.8754,0.61,402120.0,
002104.SZ,20260609,3.6685,3.6847,1.08,802560.7245,
688510.SH,20260609,2.0672,2.7221,0.74,678911.1425,
603137.SH,20260609,0.6572,1.444,0.69,213483.2008,
000410.SZ,20260609,1.1649,1.5662,1.0,1404008.6948,
002281.SZ,20260609,7.3837,12.2136,0.83,16957937.6585,
300768.SZ,20260609,1.3008,2.5572,0.93,965743.5585,
605178.SH,20260609,2.0044,3.2077,0.51,631337.76,
920670.BJ,20260609,2.5179,3.0574,0.78,153221.2032,
688201.SH,20260609,1.1655,1.9926,0.74,239768.2849,
601718.SH,20260609,0.9342,1.7472,1.17,824242.1361,
688418.SH,20260609,2.8543,4.1779,1.01,841271.1959,
688611.SH,20260609,0.6674,1.5306,0.62,1125726.2744,
002188.SZ,20260609,4.722,6.1579,0.98,186122.0986,
300470.SZ,20260609,1.0566,1.3779,1.17,626588.7136,
300615.SZ,20260609,3.5431,5.4311,0.81,217884.8068,
301007.SZ,20260609,1.5671,1.9173,0.53,514455.7,
301126.SZ,20260609,2.752,3.6195,0.94,200884.3296,
002633.SZ,20260609,1.4105,2.9253,0.81,252600.0,
600329.SH,20260609,0.6987,1.6424,1.18,2907106.1939,
002654.SZ,20260609,4.8747,6.4052,0.73,1256964.8829,
920156.BJ,20260609,11.1572,11.1572,0.8,634403.16,
603612.SH,20260609,2.1515,2.8998,0.75,986744.9333,
601901.SH,20260609,0.4759,0.9672,0.55,5301473.2984,
301137.SZ,20260609,2.1772,6.4364,0.89,679800.3026,
301160.SZ,20260609,4.8908,5.6153,0.96,734036.1627,
688297.SH,20260609,0.7608,1.8923,0.63,2986875.0,
603682.SH,20260609,2.1425,5.1011,0.82,392175.0,
000677.SZ,20260609,4.0627,5.2865,0.6,171931.6117,
603351.SH,20260609,0.3766,0.8596,0.6,339952.2213,
002040.SZ,20260609,1.2724,3.9029,0.79,410851.3614,
