ts_code,trade_date,up_limit,down_limit
000001.SZ,20260302,11.99,9.81
000002.SZ,20260302,5.32,4.36
000004.SZ,20260302,7.25,6.56
000006.SZ,20260302,10.21,8.35
000007.SZ,20260302,14.98,12.26
000008.SZ,20260302,3.31,2.71
000009.SZ,20260302,10.51,8.6
000010.SZ,20260302,4.71,3.85
000011.SZ,20260302,9.78,8.0
000012.SZ,20260302,5.53,4.53
000014.SZ,20260302,15.21,12.45
000016.SZ,20260302,4.2,3.44
000017.SZ,20260302,8.47,6.93
000019.SZ,20260302,7.92,6.48
000020.SZ,20260302,16.6,13.58
000021.SZ,20260302,37.84,30.96
000025.SZ,20260302,20.08,16.43
000026.SZ,20260302,17.41,14.25
000027.SZ,20260302,7.72,6.32
000028.SZ,20260302,28.41,23.25
000029.SZ,20260302,25.53,20.89
000030.SZ,20260302,6.12,5.0
000031.SZ,20260302,3.81,3.11
000032.SZ,20260302,22.72,18.59
000034.SZ,20260302,44.69,36.57
000035.SZ,20260302,7.71,6.31
000036.SZ,20260302,5.92,4.84
000037.SZ,20260302,11.12,9.1
000039.SZ,20260302,14.85,12.15
000042.SZ,20260302,9.97,8.15
000045.SZ,20260302,14.51,11.87
000048.SZ,20260302,20.97,17.15
000049.SZ,20260302,29.18,23.88
000050.SZ,20260302,11.17,9.14
000055.SZ,20260302,4.42,3.62
000056.SZ,20260302,2.45,2.01
000058.SZ,20260302,10.0,8.18
000059.SZ,20260302,6.75,5.53
000060.SZ,20260302,9.09,7.43
000061.SZ,20260302,10.03,8.21
000062.SZ,20260302,27.83,22.77
000063.SZ,20260302,42.52,34.79
000065.SZ,20260302,14.15,11.57
000066.SZ,20260302,18.25,14.93
000068.SZ,20260302,3.95,3.23
000069.SZ,20260302,2.87,2.35
000070.SZ,20260302,19.66,16.08
000078.SZ,20260302,3.87,3.17
000088.SZ,20260302,5.17,4.23
000089.SZ,20260302,8.02,6.56
000090.SZ,20260302,4.39,3.59
000096.SZ,20260302,12.06,9.86
000099.SZ,20260302,22.43,18.35
000100.SZ,20260302,5.47,4.47
000151.SZ,20260302,15.11,12.37
000153.SZ,20260302,7.45,6.09
000155.SZ,20260302,15.9,13.01
000156.SZ,20260302,9.41,7.7
000157.SZ,20260302,10.99,8.99
000158.SZ,20260302,23.12,18.92
000159.SZ,20260302,7.85,6.43
000166.SZ,20260302,5.51,4.51
000301.SZ,20260302,14.32,11.72
000333.SZ,20260302,86.5,70.78
000338.SZ,20260302,30.65,25.07
000400.SZ,20260302,35.09,28.71
000401.SZ,20260302,5.69,4.65
000402.SZ,20260302,3.11,2.55
000403.SZ,20260302,15.52,12.7
000404.SZ,20260302,8.01,6.55
000407.SZ,20260302,5.73,4.69
000408.SZ,20260302,94.78,77.54
000409.SZ,20260302,13.1,10.72
000410.SZ,20260302,8.57,7.01
000411.SZ,20260302,13.49,11.03
000415.SZ,20260302,5.79,4.73
000417.SZ,20260302,8.67,7.09
000419.SZ,20260302,7.1,5.81
000420.SZ,20260302,5.19,4.25
000421.SZ,20260302,7.8,6.38
000422.SZ,20260302,19.95,16.33
000423.SZ,20260302,59.81,48.93
000425.SZ,20260302,13.49,11.03
000426.SZ,20260302,60.71,49.67
000428.SZ,20260302,4.27,3.49
000429.SZ,20260302,13.45,11.01
000430.SZ,20260302,7.81,7.07
000488.SZ,20260302,2.5,2.26
000498.SZ,20260302,6.94,5.68
000501.SZ,20260302,10.69,8.75
000503.SZ,20260302,10.11,8.27
000504.SZ,20260302,9.61,8.69
000505.SZ,20260302,7.8,6.38
000506.SZ,20260302,22.33,18.27
000507.SZ,20260302,6.17,5.05
000509.SZ,20260302,3.88,3.18
000510.SZ,20260302,22.45,18.37
000513.SZ,20260302,38.98,31.9
000514.SZ,20260302,5.63,4.61
000516.SZ,20260302,5.29,4.33
000517.SZ,20260302,2.37,1.94
000518.SZ,20260302,2.9,2.62
000519.SZ,20260302,22.31,18.25
000520.SZ,20260302,5.1,4.18
000521.SZ,20260302,7.25,5.93
000523.SZ,20260302,4.29,3.51
000524.SZ,20260302,13.9,11.38
000525.SZ,20260302,7.54,6.17
000526.SZ,20260302,40.92,33.48
000528.SZ,20260302,13.13,10.75
000529.SZ,20260302,6.75,5.53
000530.SZ,20260302,7.67,6.27
000531.SZ,20260302,7.61,6.23
000532.SZ,20260302,18.34,15.0
000533.SZ,20260302,12.85,10.51
000534.SZ,20260302,46.04,37.67
000536.SZ,20260302,5.21,4.27
000537.SZ,20260302,9.9,8.1
000538.SZ,20260302,61.66,50.45
000539.SZ,20260302,5.61,4.59
000541.SZ,20260302,7.04,5.76
000543.SZ,20260302,9.48,7.76
000544.SZ,20260302,9.87,8.07
000545.SZ,20260302,3.87,3.17
000546.SZ,20260302,7.38,6.04
000547.SZ,20260302,33.83,27.68
000548.SZ,20260302,6.4,5.24
