ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
000428.SZ,20260730,华天酒店,3.83,-5.198,10.66,452627130.0,50793764.21,34254492.69,85048256.9,-16539271.52,-3.65,18.79,3902486580.0,日振幅值达到15%的前5只证券
000566.SZ,20260730,海南海药,5.95,9.9815,28.19,2127007156.0,237242636.0,243286924.05,480529560.05,6044288.05,0.28,22.59,7715577016.35,日涨幅偏离值达到7%的前5只证券
000721.SZ,20260730,西安饮食,6.81,10.0162,5.69,465579437.0,81404030.0,100498076.0,181902106.0,19094046.0,4.1,39.07,3489173697.48,连续三个交易日内，涨幅偏离值累计达到20%的证券
000938.SZ,20260730,紫光股份,33.6,-9.992,8.88,8755283400.0,909597249.38,1457736336.53,2367333585.91,548139087.15,6.26,27.04,96098441846.4,日跌幅偏离值达到7%的前5只证券
000948.SZ,20260730,南天信息,15.38,6.3624,14.39,1680738240.0,173387928.57,184531213.56,357919142.13,11143284.99,0.66,21.3,5985116095.58,连续三个交易日内，涨幅偏离值累计达到20%的证券
001309.SZ,20260730,德明利,390.04,10.0006,18.57,11365746076.0,1954704729.59,1248793126.94,3203497856.53,-705911602.65,-6.21,28.19,64368205250.16,日涨幅偏离值达到7%的前5只证券
001323.SZ,20260730,慕思股份,17.77,3.4945,3.13,330031575.0,95903870.69,84586976.4,180490847.09,-11316894.29,-3.43,54.69,5530877653.03,连续三个交易日内，涨幅偏离值累计达到20%的证券
001358.SZ,20260730,兴欣新材,24.28,-10.0074,22.82,302572509.0,42287838.78,25506989.6,67794828.38,-16780849.18,-5.55,22.41,1237704758.24,日振幅值达到15%的前5只证券
002141.SZ,20260730,贤丰控股,5.67,-10.0,31.95,1929020329.0,426111418.82,125222248.23,551333667.05,-300889170.59,-15.6,28.58,5856745974.66,日换手率达到20%的前5只证券
002156.SZ,20260730,通富微电,55.89,-10.0,10.61,9191320254.0,1580146277.17,1102675006.96,2682821284.13,-477471270.21,-5.19,29.19,84810404687.58,日跌幅偏离值达到7%的前5只证券
002156.SZ,20260730,通富微电,55.89,-10.0,10.61,35246469819.0,7283539817.01,4083610020.43,11367149837.44,-3199929796.58,-9.08,32.25,84810404687.58,连续三个交易日内，跌幅偏离值累计达到20%的证券
002185.SZ,20260730,华天科技,14.91,-10.0181,12.03,6187454592.0,800490640.71,597416902.2,1397907542.91,-203073738.51,-3.28,22.59,49540737696.87,日跌幅偏离值达到7%的前5只证券
002258.SZ,20260730,利尔化学,16.18,9.9932,4.61,593390689.0,72582525.4,143421665.78,216004191.18,70839140.38,11.94,36.4,12930222649.1,日涨幅偏离值达到7%的前5只证券
002279.SZ,20260730,久其软件,6.8,1.949,13.28,1844326199.0,216888110.08,208762565.1,425650675.18,-8125544.98,-0.44,23.08,5409395138.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
002281.SZ,20260730,光迅科技,152.33,-10.0024,5.06,6146684424.0,1082324109.67,1038521065.13,2120845174.8,-43803044.54,-0.71,34.5,118811329954.16,日跌幅偏离值达到7%的前5只证券
002384.SZ,20260730,东山精密,161.8,-10.0011,7.65,17487070725.0,2688635246.92,2452219490.68,5140854737.6,-236415756.24,-1.35,29.4,224306854781.4,日跌幅偏离值达到7%的前5只证券
002536.SZ,20260730,飞龙股份,36.83,-9.9951,5.12,4549385737.0,764255821.21,783540358.18,1547796179.39,19284536.97,0.42,34.02,20050291592.25,连续三个交易日内，跌幅偏离值累计达到20%的证券
002580.SZ,20260730,圣阳股份,19.36,4.0301,30.56,2614184589.0,329970604.39,274802028.0,604772632.39,-55168576.39,-2.11,23.13,8757279168.0,日换手率达到20%的前5只证券
002585.SZ,20260730,双星新材,8.66,10.0381,14.46,1088433865.0,116103842.34,199734677.94,315838520.28,83630835.6,7.68,29.02,7679313316.44,日涨幅偏离值达到7%的前5只证券
002702.SZ,20260730,海欣食品,4.94,10.0223,7.85,432014720.0,110071004.0,94225686.8,204296690.8,-15845317.2,-3.67,47.29,2266194125.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
