prediction_id,signal_date,expected_buy_date,expected_exit_date,ts_code,name,industry,stage,stage_transition,stage_focus,source_rank,d_close,estimated_up_limit,recommended_max_price,max_auction_change_pct,take_profit_pct,stop_loss_pct,take_profit_price,stop_loss_price,latest_exit_time,exit_policy_version,predicted_net_return,predicted_return_lcb,predicted_return_ucb,predicted_outcome_q10,predicted_outcome_q90,predicted_fill_probability,predicted_exit_probability,predicted_profit_probability,predicted_big_loss_probability,predicted_continuation_limit_up_probability,max_big_loss_probability,big_loss_threshold,min_return_lcb,conservative_ev,selection_score,risk_gate_pass,selected,action,price_action,entry_rule,exit_rule,guidance_only,broker_connected,order_type,market_order_allowed,mechanism_limit_pct,decision_universe_rule,decision_universe_reason,minute_available,model_ready,model_promoted,model_reason,model_version,generated_at_utc,source_snapshot_sha256,feature_contract,actual_buy_date,actual_buy_price,actual_exit_date,actual_exit_price,actual_gross_return,actual_net_return,truth_source,verification_status,actual_fill,actual_fill_reason,price_guidance_success,direction_success,trade_success,risk_prediction_success,forecast_error,correct_rejection,missed_opportunity,exit_reason
20260720-001258.SZ-auction_v5_manual_guidance_4,20260720,20260721,20260722,001258.SZ,立新能源,电力,3→4,3→4,1.0,3.0,9.1,10.01,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0648345928378351,-0.0728807129110623,-0.0567884727646079,-0.1344929163963508,-0.0006785865921935,0.0161199748780651,0.9986515122327104,0.3813393948453736,0.5996028218848181,0.2844514370621544,0.15,-0.03,0.0,-0.00133618635999,8.607082532067264e-05,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,10.01,20260722,10.9,0.0889110889110889,0.0844110889110889,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,0,,1,0.149245681748924,0,1,fixed_open_0930
20260720-600644.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600644.SH,乐山电力,电力,2→3,2→3,1.0,10.0,9.91,10.9,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0555235800608427,-0.0635697001340699,-0.0474774599876156,-0.1251819036193585,0.0086324261847988,0.0309589195444678,0.9986515122327104,0.659879050132871,0.322174267323896,0.2601854237566484,0.15,-0.03,0.0,-0.0020202624507805,-0.0007193353319972,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,9.85,20260722,9.3,-0.055837563451776595,-0.06033756345177659,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,0,-0.00481398339093389,1,0,fixed_open_0930
20260720-002857.SZ-auction_v5_manual_guidance_4,20260720,20260721,20260722,002857.SZ,三晖电气,电网设备,1→2,1→2,0.0,53.0,15.82,17.4,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0493335986420192,-0.0573797187152464,-0.0412874785687921,-0.1189919222005349,0.0148224076036223,0.0132655854934077,0.9986515122327104,0.5217210841435893,0.3087657420362966,0.1314241688046731,0.15,-0.03,0.0,-0.0007782122449239,-0.0007782122449239,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,16.13,20260722,14.37,-0.10911345319280852,-0.11361345319280852,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,0,-0.06427985455078933,1,0,fixed_open_0930
20260720-001211.SZ-auction_v5_manual_guidance_4,20260720,20260721,20260722,001211.SZ,双枪科技,家居用品,1→2,1→2,0.0,27.0,20.19,22.21,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0615120204297442,-0.0695581405029714,-0.0534659003565171,-0.13117034398826,0.0026439858158973,0.0107096704011297,0.9986515122327104,0.3689304216646575,0.3937348244372465,0.1308166465960249,0.15,-0.03,0.0,-0.0007859986633415,-0.0007859986633415,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,21.08,20260722,17.67,-0.1617647058823527,-0.1662647058823527,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,0,-0.1047526854526085,1,0,fixed_open_0930
20260720-603727.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,603727.SH,博迈科,油服工程,1→2,1→2,0.0,33.0,16.6,18.26,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0574955444256494,-0.0655416644988766,-0.0494494243524223,-0.1271538679841651,0.0066604618199921,0.0120297997815234,0.9986515122327104,0.1080883528182101,0.5945002832353985,0.1882163387221196,0.15,-0.03,0.0,-0.000907022570984,-0.000907022570984,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,16.6,20260722,16.2,-0.024096385542168752,-0.028596385542168753,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,1,0.028899158883480647,1,0,fixed_open_0930
20260720-603610.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,603610.SH,麒盛科技,家居用品,1→2,1→2,0.0,19.0,13.75,15.13,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0532107857815868,-0.061256905854814,-0.0451646657083597,-0.1228691093401026,0.0109452204640547,0.0142269883879979,0.9986515122327104,0.4656168773613282,0.3964078954802078,0.1210722650780897,0.15,-0.03,0.0,-0.0009271791931984,-0.0009271791931984,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,13.82,20260722,12.54,-0.09261939218523896,-0.09711939218523896,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,0,-0.04390860640365216,1,0,fixed_open_0930
20260720-600744.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600744.SH,华银电力,电力,2→3,2→3,1.0,1.0,6.56,7.22,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0648296435821979,-0.072875763655425,-0.0567835235089707,-0.1344879671407136,-0.0006736373365562,0.0276399794206732,0.9986515122327104,0.3895564609623237,0.6941426693635417,0.2826151794894491,0.15,-0.03,0.0,-0.0023693362960549,-0.0009562603986077,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,7.0,20260722,6.88,-0.017142857142857237,-0.021642857142857238,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,1,0.04318678643934065,1,0,fixed_open_0930
20260720-600756.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600756.SH,浪潮软件,IT服务Ⅱ,1→2,1→2,0.0,17.0,14.05,15.46,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0417362841728878,-0.0497824042461149,-0.0336901640996606,-0.1113946077314035,0.0224197220727537,0.0205165562048397,0.9986515122327104,0.5963783369263314,0.2000947859920838,0.2046818958047766,0.15,-0.03,0.0,-0.0009808258139607,-0.0009808258139607,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,14.05,20260722,14.19,0.009964412811387824,0.005464412811387824,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,0,,1,0.04720069698427563,0,1,fixed_open_0930
20260720-600121.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600121.SH,郑州煤电,煤炭开采,1→2,1→2,0.0,35.0,3.76,4.13,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0467971493482452,-0.0548432694214724,-0.0387510292750181,-0.1164554729067609,0.0173588568973963,0.0178049285496334,0.9986515122327104,0.5475202386258214,0.3023854368975001,0.2085256933203488,0.15,-0.03,0.0,-0.0009959389198416,-0.0009959389198416,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,3.93,20260722,3.6,-0.08396946564885488,-0.08846946564885488,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,0,-0.041672316300609684,1,0,fixed_open_0930
20260720-601026.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,601026.SH,道生天合,风电设备,1→2,1→2,0.0,38.0,14.54,15.99,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0451337851629204,-0.0531799052361475,-0.0370876650896932,-0.1147921087214361,0.0190222210827211,0.0176258988654462,0.9986515122327104,0.5404064173120532,0.4154235096524517,0.141397843109817,0.15,-0.03,0.0,-0.0010163783311706,-0.0010163783311706,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,20260721,15.11,20260722,14.33,-0.05162144275314351,-0.056121442753143506,market_repo_auction,COUNTERFACTUAL_READY,0,price_above_cap,1,1,,0,-0.010987657590223104,1,0,fixed_open_0930
