target,type,samples,daily_metric_days,daily_ic_days,walk_forward_folds,validation_mode,positive_rate,auc,brier,baseline_brier,accuracy,precision_top10,recall,calibration_ece,daily_precision_top10,daily_base_rate,daily_top10_lift,daily_spearman_ic,daily_positive_ic_rate,brier_skill,mae,spearman_ic,positive_ic_rate,rmse
t_up_hit,class,2521,49,49,3,purged_expanding_walk_forward_v1,0.5450218167393891,0.5049105304313241,0.2944392822965075,0.2512222182012302,0.5164617215390718,0.6384371281237604,0.013815430567346056,0.1819265717195396,0.5428571428571429,0.5397440542208097,0.0031130886363330878,-0.006454533533954273,0.5306122448979592,-0.1720272370999456,,,,
t_high_profit_hit,class,2521,49,49,3,purged_expanding_walk_forward_v1,0.7647758825862753,0.5446295782582273,0.20415987725253648,0.18109643481141532,0.7588258627528759,0.9596985323284412,0.01453110768081095,0.14321649525864685,0.757142857142857,0.7550850337596818,0.0020578233831752266,-0.01467170557171834,0.40816326530612246,-0.1273544808606435,,,,
t_limitup_hit,class,2521,49,49,3,purged_expanding_walk_forward_v1,0.1745339151130504,0.587149695438954,0.1775468185625147,0.14525180379232774,0.7346291154303848,0.40503768345894486,0.019748751859601635,0.13251164724016384,0.236734693877551,0.1728843663544353,0.06385032752311574,0.08426854190082368,0.6938775510204082,-0.2223381323123561,,,,
t_touch_limitup,class,2521,49,49,3,purged_expanding_walk_forward_v1,0.2483141610472035,0.6045021771435035,0.2182934902111887,0.18924732269970684,0.6644188813962714,0.5175327251090838,0.02119141978465229,0.14454450199730584,0.34489795918367344,0.24870627656251615,0.09619168262115732,0.09050347650615864,0.6326530612244898,-0.15348258087419087,,,,
t1_up_hit,class,2408,46,31,3,purged_expanding_walk_forward_v1,0.4937707641196013,0.4635014363083586,0.39657448579041077,0.31248786274700674,0.4331395348837209,0.4035714285714285,0.00983466100769198,0.35252132375999046,0.4543478260869565,0.4857823762453845,-0.03143455015842809,-0.04715725337848225,0.41935483870967744,-0.26908764489032766,,,,
t1_high_profit_hit,class,2408,46,31,3,purged_expanding_walk_forward_v1,0.584717607973422,0.49624300916904396,0.3864119448852709,0.31792346088092505,0.457641196013289,0.617109634551495,0.012753652383917577,0.325170376363705,0.6108695652173912,0.5829138116099367,0.027955753607454652,0.001031757373077357,0.5161290322580645,-0.2154244415136055,,,,
t1_accept_hit,class,2408,46,31,3,purged_expanding_walk_forward_v1,0.5328073089700996,0.4693610803064863,0.40971999192986763,0.32091288383636557,0.4206810631229236,0.48496677740863786,0.010772863768921887,0.3549729923856033,0.5478260869565217,0.5286143301362323,0.01921175682028947,-0.006791821527447417,0.5161290322580645,-0.2767327600931879,,,,
t1_fail_hit,class,2408,46,31,3,purged_expanding_walk_forward_v1,0.420265780730897,0.4665823100090949,0.36372707178544833,0.275909501017464,0.47799003322259137,0.3507475083056479,0.01098949120091646,0.3174110779539224,0.40217391304347827,0.4214907013721133,-0.01931678832863506,-0.018340046669714897,0.5483870967741935,-0.3182839679102818,,,,
t1_big_drawdown_hit,class,2408,46,31,3,purged_expanding_walk_forward_v1,0.4754983388704319,0.49674812012589237,0.3813873925705857,0.2990732085429719,0.45556478405315615,0.682890365448505,0.018045742709326153,0.34440680435589427,0.5,0.4887808063895553,0.011219193610444704,-0.008708814492506356,0.45161290322580644,-0.2752308855367984,,,,
t_close_ret,reg,2521,49,49,3,purged_expanding_walk_forward_v1,,,,,,,,,,,,0.041093855483632626,0.5918367346938775,,0.056709608759242316,0.024782327601294566,0.5093216977389925,0.0694831713962961
t_intraday_ret,reg,2521,49,49,3,purged_expanding_walk_forward_v1,,,,,,,,,,,,0.051899362390977644,0.673469387755102,,0.0387976864929105,0.1053758672241814,1.0,0.04823269372125581
t1_close_ret,reg,2408,31,31,3,purged_expanding_walk_forward_v1,,,,,,,,,,,,-0.05284297560963387,0.5161290322580645,,0.0790739754497009,-0.10205155678043398,0.0,0.10114301393267953
t1_high_ret,reg,2408,31,31,3,purged_expanding_walk_forward_v1,,,,,,,,,,,,-0.058103211662363326,0.41935483870967744,,0.06929790650722797,-0.08190865834138672,0.0,0.08846171591034363
