rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason,trade_action_raw,trade_action,final_trade_score,decision_support_score,risk_quality_score,t1_weight_mode,market_mode,final_action,final_reason,final_rank
31,20260701,20260701,20260702,20260703,301092.SZ,争光股份,化工原料,49.09,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,冲高至52.55附近优先兑现；强势放量再看55.45；弱于48.35止损,冲高至52.55附近优先兑现；强势放量再看55.45；弱于48.35止损,放弃,不建议买入,放弃,不建议买入,冲高至52.55附近优先兑现；强势放量再看55.45；弱于48.35止损,冲高至52.55附近优先兑现；强势放量再看55.45；弱于48.35止损,0.305579,0.305579,55.4734,55.4734,0.625872,0.625872,57.2293,57.2293,0.077435,29.3791,0.584044,33.122,0.941206970214951,0.9555090540501182,0.5218658114493853,0.7286953049152858,0.615111427704474,0.6903631909615133,0.6830083571218252,0.1365276451035141,0.4684266469454364,0.1005638363439488,0.1115725013522354,0.0113124699854439,0.0392942904564059,0.6993124675236295,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.388537,0.305579,historical_bin_blend_v1,40.6655,61.6703,58.1206,85.2543,51.2059,51.2059,42,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.714166,0.639881,0.728695,0.618532,0.326621,0.207892,51.773,69.8103,47.18,48.98,0.0,0.0,82.1564,0.0,0.115218,54.9008,62.2125,57.3639,61.1569,49.153,0.49153,1,0,ELIGIBLE,ok,professional_score_rule_guarded,47,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0705045325053978,0.0705045325053978,up,high,0.942757,ehx:model_v1,-0.0629391348640894,0.0143837422737135,0.0681300630464818,0.1218763838192501,0.1991992609570546,46.09554064936582,49.801200508860624,52.55106750068999,55.45277357261154,59.91066937404656,0.8037240395857184,0.8037240395857184,59,104,104,0.6615730972481871,0.0,0.5964767339198849,,,,10.0,,,0.8039669997340918,,放弃,REJECT,46.8532,80.0,93.26781885399292,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;t1_drawdown_risk,1
141,20260701,20260701,20260702,20260703,603120.SH,肯特催化,化工原料,58.69,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,0.301219,0.301219,59.8886,59.8886,0.535645,0.535645,57.0455,57.0455,0.502276,55.9766,0.657907,58.8334,0.9542756114210248,0.905596393992252,0.3302071240650942,0.6249665317738182,0.4810636941812017,0.5406519470900085,0.5579123404124454,0.2691145415752708,0.6724283915616885,0.0938737653125699,0.0998428548921624,-0.0119793843397531,0.0205614904974694,0.585824195331771,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.381828,0.301219,historical_bin_blend_v1,38.926,40.7123,60.2469,87.9692,49.6238,49.6238,50,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.652862,0.586994,0.624967,0.469772,0.441104,0.28789,51.773,69.8103,47.18,48.98,0.0,0.0,83.8077,0.0,0.157314,16.6694,26.1605,53.2585,43.9474,37.8536,0.378536,0,1,EXCLUDED,t1_accept<0.45,professional_score_rule_guarded,112,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0705045325053978,0.0705045325053978,up,high,0.959896,ehx:model_v1,-0.0508943770746389,0.0193228235079163,0.0681300630464818,0.1169373025850474,0.1871545031676039,55.77774627115638,59.83508401155107,62.8279110127418,65.97043302325729,70.76919858029918,0.8267809718533317,0.8267809718533317,61,102,102,0.7113190714612748,0.0,0.655542857561354,,,,2.0,,,0.8365046771091504,,放弃,REJECT,46.0238,80.0,89.23899796075405,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;premium_excluded;premium_gate:t1_accept<0.45;t1_drawdown_risk,2
36,20260701,20260701,20260702,20260703,600845.SH,宝信软件,软件服务,18.29,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,冲高至19.23附近优先兑现；强势放量再看20.06；弱于18.02止损,冲高至19.23附近优先兑现；强势放量再看20.06；弱于18.02止损,放弃,不建议买入,放弃,不建议买入,冲高至19.23附近优先兑现；强势放量再看20.06；弱于18.02止损,冲高至19.23附近优先兑现；强势放量再看20.06；弱于18.02止损,0.343449,0.343449,60.1159,60.1159,0.643018,0.643018,59.1993,59.1993,0.141783,46.629,0.645974,39.9697,0.9240345579731892,0.9658049257617876,0.5573153479863705,0.6910708936774723,0.6485999585718815,0.7585714150884324,0.6283735273556226,0.204500827483028,0.4328759092575091,0.0750888640667152,0.0998358798691906,0.0341720228745361,0.039417334676851,0.6998930238446847,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.432656,0.343449,historical_bin_blend_v1,43.1792,69.9368,65.3506,66.6851,52.9195,52.9195,31,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.721703,0.642853,0.691071,0.624389,0.372931,0.204273,28.5049,69.8103,47.18,48.98,0.0,0.0,72.1645,0.0,0.123612,83.6597,62.6732,56.1857,65.2209,43.7298,0.437298,1,0,ELIGIBLE,ok,professional_score_rule_guarded,79,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0511764131876542,0.0511764131876542,up,high,0.976717,ehx:model_v1,-0.0532193352874187,0.0076206765202031,0.0499099305090823,0.0921991844979615,0.1530391963055845,17.3420662840321,18.429914618453928,19.226016597202197,20.05650714332517,21.31462930321311,0.7869942243082109,0.7869942243082109,42,149,149,0.6501761107924532,0.0,0.6118426136608189,,,,,,,,,放弃,REJECT,45.1544,50.0,92.6037284951795,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject,3
30,20260701,20260701,20260702,20260703,603859.SH,能科科技,软件服务,52.78,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,冲高至56.50附近优先兑现；强势放量再看59.38；弱于51.99止损,冲高至56.50附近优先兑现；强势放量再看59.38；弱于51.99止损,放弃,不建议买入,放弃,不建议买入,冲高至56.50附近优先兑现；强势放量再看59.38；弱于51.99止损,冲高至56.50附近优先兑现；强势放量再看59.38；弱于51.99止损,0.307325,0.307325,58.0995,58.0995,0.65849,0.65849,59.0977,59.0977,0.161799,39.4913,0.707117,40.4753,0.9559388122294208,0.9654083199910656,0.4895463183469374,0.7050504594081569,0.6315773320642933,0.6970136642158186,0.6787969973560118,0.2174642567448559,0.4729183882126199,0.0962954750821102,0.1099304188549405,0.0215988952432928,0.044208448488793,0.6947575359594675,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.391222,0.307325,historical_bin_blend_v1,40.6283,68.4594,63.8793,66.1373,50.9224,50.9224,44,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.741776,0.634769,0.70505,0.65853,0.328387,0.207554,51.773,69.8103,47.18,48.98,0.0,0.0,71.7262,0.0,0.11549,73.1951,72.1425,57.4844,66.3306,49.9297,0.499297,1,0,ELIGIBLE,ok,professional_score_rule_guarded,42,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0705045325053978,0.0705045325053978,up,high,0.961066,ehx:model_v1,-0.0529415228978446,0.0184833695565942,0.0681300630464818,0.1177767565363695,0.1892016489908097,50.058424244816486,53.76462379628197,56.5012292256349,59.377127162721926,63.77325998906794,0.8226733135924229,0.8226733135924229,43,105,105,0.6372523750065889,0.0,0.594377698610714,,,,,,,,,放弃,REJECT,43.792,50.0,92.00885226670097,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;t1_drawdown_risk,4
145,20260701,20260701,20260702,20260703,603948.SH,建业股份,化工原料,26.51,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,0.346023,0.346023,56.7961,56.7961,0.579025,0.579025,58.1728,58.1728,0.636058,59.7099,0.665967,63.4644,0.8474011252148533,0.8712162218787386,0.3511405447901202,0.5485351128490212,0.5317114600664369,0.6019950083035192,0.6135603318085033,0.2992736787812143,0.5107903998835202,0.0554904827217492,0.0913542419144805,-0.0099579858373637,0.0015481484781945,0.5849340905902332,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.436616,0.346023,historical_bin_blend_v1,40.4669,44.2834,62.0515,66.0365,48.7747,48.7747,53,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.65417,0.565981,0.548535,0.477367,0.465939,0.24818,32.6255,69.8103,47.18,48.98,0.0,0.0,71.6456,0.0,0.152751,20.2328,12.543,50.5364,43.28,32.214,0.32214,0,1,EXCLUDED,t1_accept<0.45,professional_score_rule_guarded,139,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0594778075975081,0.0594778075975081,up,high,0.958186,ehx:model_v1,-0.0620321680920978,0.0086474743640238,0.0577761523978379,0.106904830431652,0.177584472887775,24.915493832040276,26.74023860184816,28.086756679409945,29.50107934765609,31.661660253907225,0.7861726376901925,0.7861726376901925,47,143,143,0.7654816962277732,0.0,0.7421147132055952,,,,,,,,,放弃,REJECT,43.4407,50.0,90.40299081944659,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;premium_excluded;premium_gate:t1_accept<0.45;t1_drawdown_risk,5
25,20260701,20260701,20260702,20260703,002052.SZ,同洲电子,家用电器,8.55,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,冲高至9.39附近优先兑现；强势放量再看9.89；弱于8.42止损,冲高至9.39附近优先兑现；强势放量再看9.89；弱于8.42止损,放弃,不建议买入,放弃,不建议买入,冲高至9.39附近优先兑现；强势放量再看9.89；弱于8.42止损,冲高至9.39附近优先兑现；强势放量再看9.89；弱于8.42止损,0.335592,0.335592,42.0108,42.0108,0.734312,0.734312,58.6731,58.6731,0.123862,35.0501,0.729739,40.4778,0.8669250845698733,0.95781219110774,0.5477289414256752,0.4665126079931239,0.7318634893073934,0.7755576912499785,0.7433563440224058,0.2181273774871304,0.5160679727968597,0.0859903139267475,0.0959252699565514,0.0012398504836852,0.0345452297955325,0.6889899760406117,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.420569,0.335592,historical_bin_blend_v1,36.7609,65.5359,53.7032,90.4907,48.6988,48.6988,54,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.771444,0.556945,0.466513,0.695909,0.24902,0.203418,86.4052,69.8103,58.39,72.89,0.313,0.0,89.4442,0.0,0.161224,37.9433,53.3927,55.874,66.153,53.5093,0.535093,1,0,ELIGIBLE,ok,professional_score_rule_guarded,32,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0979724603402685,0.0979724603402685,up,high,0.952497,ehx:model_v1,-0.0331076030859154,0.0415627098758038,0.0934652611154742,0.1453678123551446,0.2200381253168652,8.271564590723354,8.912849439986887,9.387664535909297,9.887774502662166,10.654362239715322,0.8877425740087184,0.8877425740087184,45,34,34,0.4597084075443342,0.0,0.4428171026656494,,,,139.0,,,0.8792810985315985,,放弃,REJECT,41.1743,50.0,82.17740960972445,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;t1_drawdown_risk,6
143,20260701,20260701,20260702,20260703,688553.SH,汇宇制药-W,化学制药,12.76,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,0.288622,0.288622,39.8014,39.8014,0.493406,0.493406,46.9266,46.9266,0.112374,45.3942,0.575731,36.5358,0.8541633215799452,0.9645266711720168,0.4696240563236292,0.360728530952251,0.4926101258955491,0.6004781143767114,0.4292987423373037,0.4582368673755665,0.555143234705056,0.0710708398216691,0.0946726074593765,-0.01121078330056,0.0167728623834229,0.5348903950805808,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.362449,0.288622,historical_bin_blend_v1,31.254,40.3872,25.9723,63.9861,34.1862,34.1862,143,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.594418,0.503834,0.360729,0.439432,0.498172,0.273888,60.6569,69.8103,47.18,48.98,0.0,0.0,70.0053,0.0,0.165368,19.0178,21.0195,45.3528,41.8527,34.3399,0.343399,0,1,EXCLUDED,t1_accept<0.45,professional_score_rule_guarded,131,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0754734609984375,0.0754734609984375,up,high,0.899603,ehx:model_v1,-0.1142868586687348,-0.0039399707711897,0.0727609934550707,0.1494619576813311,0.2598088455788783,11.381946038828245,12.709824882115797,13.723041362340062,14.817030602639305,16.545664826564586,0.7388625326266973,0.7388625326266973,146,91,91,0.5594525213990833,0.0,0.5193601780737005,,,,,,,,,放弃,REJECT,37.9818,50.0,87.57501464231594,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;premium_excluded;premium_gate:t1_accept<0.45;t1_drawdown_risk,7
142,20260701,20260701,20260702,20260703,603725.SH,天安新材,塑料,12.43,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,0.293113,0.293113,38.1752,38.1752,0.517525,0.517525,48.5129,48.5129,0.135403,41.3286,0.696325,41.5817,0.8604676532491083,0.965306390659717,0.4696240563236292,0.360728530952251,0.4926101258955491,0.6047196986331717,0.4292987423373037,0.4582368673755665,0.555143234705056,0.0710708398216691,0.0946726074593765,-0.01121078330056,0.0167728623834229,0.5366189965769346,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.369358,0.293113,historical_bin_blend_v1,31.4148,40.9902,29.9639,89.4393,38.0943,38.0943,113,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.613549,0.505669,0.360729,0.446053,0.492424,0.266229,60.6569,69.8103,47.18,48.98,0.0,0.0,84.6144,0.0,0.16238,19.0178,21.0195,45.5732,43.2969,36.6712,0.366712,0,1,EXCLUDED,t1_accept<0.45,professional_score_rule_guarded,121,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0754734609984375,0.0754734609984375,up,high,0.959022,ehx:model_v1,-0.0456674167714926,0.0241981623237718,0.0727609934550707,0.1213238245863695,0.1911894036816352,11.875120399221617,12.734451889945232,13.368135120210578,14.03335126919044,15.048861029141358,0.8438908517215992,0.8438908517215992,127,90,90,0.5618767629029355,0.0,0.5282931050224855,,,,93.0,,,0.8595932958071593,,放弃,REJECT,37.9782,50.0,87.57501464231594,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;premium_excluded;premium_gate:t1_accept<0.45;t1_drawdown_risk,8
147,20260701,20260701,20260702,20260703,603615.SH,茶花股份,家居用品,17.77,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,0.292016,0.292016,38.682,38.682,0.478588,0.478588,45.5922,45.5922,0.048505,36.8788,0.544418,31.1753,0.7938702804554473,0.9554859327283765,0.5044570745054949,0.3988419219040879,0.5026433344959609,0.6917235125931659,0.3730007090806951,0.4454285646497856,0.5520300088513016,0.0671142069884075,0.0952891093119499,-0.0051146289802161,0.0248296364270007,0.5393251318062404,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.367671,0.292016,historical_bin_blend_v1,32.0725,43.5119,23.9935,65.4696,34.552,34.552,139,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.566867,0.516245,0.398842,0.409056,0.544842,0.27852,35.0928,69.8103,47.18,48.98,0.0,0.0,71.1921,0.0,0.175813,27.8056,33.1407,43.7843,43.6145,28.4473,0.284473,0,1,EXCLUDED,t1_accept<0.45,professional_score_rule_guarded,146,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.060654152318857,0.060654152318857,up,high,0.941988,ehx:model_v1,-0.0799642043525913,0.0019489018005537,0.0588858426098651,0.1158227834191766,0.1977358895723231,16.40436466963463,17.80466575409879,18.84782428670609,19.95210049145508,21.655241607748323,0.757279098298324,0.757279098298324,151,140,140,0.5436634285853605,0.0,0.4929937607789831,,,,,,,,,放弃,REJECT,37.7736,50.0,87.7982714417402,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;premium_excluded;premium_gate:t1_accept<0.45;t1_drawdown_risk,9
150,20260701,20260701,20260702,20260703,600233.SH,圆通速递,仓储物流,17.33,FULL,0,0,Outside TOP20,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,放弃,不建议买入,放弃,不建议买入,风控排除：t1_accept<0.45,风控排除：t1_accept<0.45,0.285848,0.285848,38.0708,38.0708,0.483013,0.483013,45.5013,45.5013,0.016869,35.3506,0.592712,30.8147,0.8423794631951332,0.9554859327283765,0.5044570745054949,0.3988419219040879,0.4962825767144442,0.6406139049357128,0.3660616610019123,0.4557339607392778,0.5521285733124275,0.0685108590510854,0.0969761238913791,-0.0052715672943147,0.0239978822568709,0.5386231239221716,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.358181,0.285848,historical_bin_blend_v1,31.5673,42.9548,23.3654,66.5831,34.192,34.192,142,0.5810016180667515,0.0661576392526181,0.2425780105929333,0.1102627320876969,0.583636,0.514024,0.398842,0.390936,0.567965,0.280106,25.8462,69.8103,47.18,48.98,0.0,0.0,72.0829,0.0,0.180818,26.9102,31.836,43.1754,42.5011,25.6142,0.256142,0,1,EXCLUDED,t1_accept<0.45,professional_score_rule_guarded,149,5505.0,0.784377838328792,0.021057637217605,0.0209923664122135,243.0,0.044141689373297,447.0,0.0811989100817438,3681173770.39436,0.6981034611587316,0.0,0.0457024565897381,0.0457024565897381,up,high,0.973803,ehx:model_v1,-0.06400134996943,0.0001192856578015,0.0446888668495769,0.0892584480413523,0.1533790836685851,16.25560469728332,17.33206734374948,18.12202357270016,18.947984210777665,20.202738962050734,0.7505733004853885,0.7505733004853885,152,153,153,0.5639589250018691,0.0,0.5144366709681847,,,,,,,,,放弃,REJECT,37.3845,50.0,87.64270485578656,FROZEN_NEGATIVE_IC,NORMAL,REJECT,premium_reject;premium_excluded;premium_gate:t1_accept<0.45;t1_drawdown_risk,10
