rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason,trade_action_raw,trade_action,final_trade_score,decision_support_score,risk_quality_score,t1_weight_mode,market_mode,final_action,final_reason,final_rank
2,20260625,20260625,20260626,20260629,603956.SH,威派格,专用机械,5.3,TOP10,1,1,TOP10,市价竞价,≤5.51,市价竞价,≤5.51,冲高至5.87附近优先兑现；强势放量再看6.13；弱于5.22止损,冲高至5.87附近优先兑现；强势放量再看6.13；弱于5.22止损,市价竞价,≤5.51,市价竞价,≤5.51,冲高至5.87附近优先兑现；强势放量再看6.13；弱于5.22止损,冲高至5.87附近优先兑现；强势放量再看6.13；弱于5.22止损,0.646227,0.646227,83.4212,83.4212,0.750313,0.750313,76.1598,76.1598,0.967703,77.123,0.876829,86.3861,0.9035641915832408,0.9715805233445876,0.8012234202547782,0.8761992388001066,0.7521153017286746,0.6782038795029356,0.6451359328770253,0.377138467128664,0.719014399214879,0.0947553690940957,0.1078667544696309,0.0289695701212108,0.0423909422399329,0.7763255202866909,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.851167,0.646227,historical_bin_blend_v1,70.6421,74.0073,90.0527,66.4703,75.1369,75.1369,1,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.793223,0.820116,0.876199,0.728537,0.268171,0.262426,92.9023,21.8252,60.65,74.65,0.292,0.0,76.6132,100.0,0.175017,75.4035,45.6974,75.1447,70.7719,57.1449,0.571449,1,0,ELIGIBLE,ok,professional_score_rule_guarded,2,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.1068852756671803,0.1068852756671803,up,high,0.97058,ehx:model_v1,-0.0054224774422469,0.0576848038098386,0.1015500130056519,0.1454152222014652,0.2085225034535519,5.271338647552715,5.6147194601451895,5.866491961036055,6.129554321136238,6.528840249123179,0.9407941823230944,0.9407941823230944,1,10,10,0.6663794866236432,0.0,0.6438633066896011,,,,,,,,,市价竞价,BUY_MARKET,73.8856,50.0,78.39277900092125,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,t1_drawdown_risk,1
3,20260625,20260625,20260626,20260629,600228.SH,返利科技,互联网,9.81,TOP10,1,1,TOP10,市价竞价,≤10.17,市价竞价,≤10.17,冲高至10.67附近优先兑现；强势放量再看11.28；弱于9.66止损,冲高至10.67附近优先兑现；强势放量再看11.28；弱于9.66止损,市价竞价,≤10.17,市价竞价,≤10.17,冲高至10.67附近优先兑现；强势放量再看11.28；弱于9.66止损,冲高至10.67附近优先兑现；强势放量再看11.28；弱于9.66止损,0.652264,0.652264,73.7619,73.7619,0.775742,0.775742,73.8492,73.8492,0.914399,75.4894,0.780571,81.3836,0.9029223691263396,0.9693341725565244,0.837335206390085,0.72610308456156,0.8436333968057417,0.6689271279740225,0.6225179631550813,0.3217511785496057,0.5396897554093569,0.0989366789402968,0.1045797179575095,0.0549666108609666,0.0621687326310748,0.7656849232229893,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.860454,0.652264,historical_bin_blend_v1,67.4091,84.7246,83.7974,65.6943,72.367,72.367,2,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.811353,0.767626,0.726103,0.742738,0.274097,0.21589,68.6207,21.8252,60.65,74.65,0.292,0.0,75.9925,100.0,0.165033,92.6986,77.6153,69.3853,78.2919,54.1291,0.541291,1,0,ELIGIBLE,ok,professional_score_rule_guarded,3,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.0872708399686287,0.0872708399686287,up,high,0.948409,ehx:model_v1,-0.0523766380331419,0.0278830633852294,0.0836707399078023,0.1394584164303751,0.219718117848748,9.309409245759058,10.087382010898944,10.66612694009225,11.27807629167236,12.220567481657175,0.8441363683287655,0.8441363683287655,2,43,43,0.6656901061379664,0.0,0.6332783267689083,,,,,,,,,市价竞价,BUY_MARKET,72.4577,50.0,81.01683476766235,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,t1_drawdown_risk,2
1,20260625,20260625,20260626,20260629,601798.SH,蓝科高新,化工机械,7.83,TOP10,1,1,TOP10,限价竞价,≤8.13,限价竞价,≤8.13,冲高至8.59附近优先兑现；强势放量再看9.19；弱于7.71止损,冲高至8.59附近优先兑现；强势放量再看9.19；弱于7.71止损,限价竞价,≤8.13,限价竞价,≤8.13,冲高至8.59附近优先兑现；强势放量再看9.19；弱于7.71止损,冲高至8.59附近优先兑现；强势放量再看9.19；弱于7.71止损,0.563664,0.563664,70.8012,70.8012,0.782781,0.782781,73.5156,73.5156,0.882327,74.1825,0.768164,79.4312,0.8853710537067353,0.9410462388948596,0.7631731410862814,0.6854694303596813,0.8011513712121997,0.7688051695227104,0.7540578119703824,0.1940640505202052,0.6462480764288573,0.0774614399854801,0.1083389985026413,0.0534437216245818,0.0829376143845964,0.777018542017256,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.798919,0.563664,historical_bin_blend_v1,60.0024,84.4202,81.5612,65.2377,67.4639,67.4639,3,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.811506,0.713181,0.685469,0.812997,0.18862,0.228672,84.6839,21.8252,60.65,74.65,0.292,0.0,75.6272,88.0,0.151005,91.5073,100.0,67.5636,83.5565,60.0041,0.600041,1,0,ELIGIBLE,ok,professional_score_rule_guarded,1,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.0976206065977319,0.0976206065977319,up,high,0.935363,ehx:model_v1,-0.0706966371224513,0.0259598451533731,0.0931447520458775,0.1603296589383819,0.2569861412142082,7.295559481609007,8.035926938654628,8.594369349660242,9.191619720069973,10.1244030296206,0.8251338183896311,0.8251338183896311,3,20,20,0.6192818678533211,0.0,0.5832243203846091,,,,,,,,,限价竞价,BUY_LIMIT,67.3285,50.0,81.86655847790834,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,t1_drawdown_risk,3
21,20260625,20260625,20260626,20260629,603010.SH,万盛股份,化工原料,15.53,FULL,0,0,Outside TOP20,限价竞价,≤15.95,限价竞价,≤15.95,冲高至16.69附近优先兑现；强势放量再看17.60；弱于15.30止损,冲高至16.69附近优先兑现；强势放量再看17.60；弱于15.30止损,限价竞价,≤15.95,限价竞价,≤15.95,冲高至16.69附近优先兑现；强势放量再看17.60；弱于15.30止损,冲高至16.69附近优先兑现；强势放量再看17.60；弱于15.30止损,0.527685,0.527685,70.2658,70.2658,0.578082,0.578082,61.4952,61.4952,0.732097,71.6181,0.713858,71.4552,0.8621998098342295,0.9649541614885964,0.7484843223471596,0.6936428011781449,0.5919441091108358,0.4455447586579799,0.4389664709069891,0.4985685002627611,0.6415967103614221,0.084727975971931,0.0980617660907502,0.0292618231028377,0.0448791760401723,0.6339477276501854,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.743568,0.527685,historical_bin_blend_v1,57.5055,62.509,75.7227,65.6846,63.1872,63.1872,6,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.657635,0.709865,0.693643,0.558011,0.450306,0.282515,58.033,21.8252,60.65,74.65,0.292,0.0,75.9847,88.0,0.216265,76.983,50.1587,62.1171,60.6789,38.5426,0.385426,1,0,ELIGIBLE,ok,professional_score_rule_guarded,34,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.0744383176568217,0.0744383176568217,up,high,0.948131,ehx:model_v1,-0.0587929985426535,0.0182477875688977,0.0717980298284851,0.1253482720880725,0.2023890581996251,14.64326698890933,15.815989543431842,16.68602707321044,17.603925364476304,19.01375558465112,0.817089504056485,0.817089504056485,15,55,55,0.6771643917625392,0.0,0.6454110050008701,,,,,,,,,限价竞价,BUY_LIMIT,64.2572,50.0,77.34550539244435,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,t1_drawdown_risk,4
19,20260625,20260625,20260626,20260629,600058.SH,五矿发展,商贸代理,11.77,TOP20,0,1,TOP20,限价竞价,≤12.16,限价竞价,≤12.16,冲高至13.04附近优先兑现；强势放量再看13.64；弱于11.59止损,冲高至13.04附近优先兑现；强势放量再看13.64；弱于11.59止损,限价竞价,≤12.16,限价竞价,≤12.16,冲高至13.04附近优先兑现；强势放量再看13.64；弱于11.59止损,冲高至13.04附近优先兑现；强势放量再看13.64；弱于11.59止损,0.537069,0.537069,65.0327,65.0327,0.566526,0.566526,62.4568,62.4568,0.860972,65.7372,0.817245,77.7716,0.8304340835487648,0.94215653472824,0.7138744759867872,0.645629714156941,0.5690292463300641,0.635912332865454,0.3604445273218978,0.4237988963309677,0.67820698130557,0.0971509308374014,0.1086109980536494,0.0060673245786521,0.051149240401689,0.622057021533262,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.758004,0.537069,historical_bin_blend_v1,56.7936,48.0744,75.3415,66.3431,61.7952,61.7952,8,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.64042,0.689575,0.64563,0.512648,0.397623,0.279354,94.3966,21.8252,60.65,74.65,0.292,0.0,76.5115,88.0,0.20497,22.4018,54.2289,62.9675,54.0671,44.9385,0.449385,1,0,ELIGIBLE,ok,professional_score_rule_guarded,22,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.1075425439355657,0.1075425439355657,up,high,0.966947,ehx:model_v1,-0.0087266122618608,0.0566801100399982,0.1021436365881126,0.147607163136227,0.2130138854380872,11.66773463775016,12.456393575715568,13.035775742121608,13.642106615046028,14.564219574302344,0.9351627829197408,0.9351627829197408,9,9,9,0.616357818156183,0.0,0.5731937080939435,,,,,,,,,限价竞价,BUY_LIMIT,63.8838,50.0,78.10094674197978,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,t1_drawdown_risk,5
11,20260625,20260625,20260626,20260629,002387.SZ,维信诺,元器件,8.97,TOP20,0,1,TOP20,限价竞价,≤9.30,限价竞价,≤9.30,冲高至9.69附近优先兑现；强势放量再看10.11；弱于8.84止损,冲高至9.69附近优先兑现；强势放量再看10.11；弱于8.84止损,限价竞价,≤9.30,限价竞价,≤9.30,冲高至9.69附近优先兑现；强势放量再看10.11；弱于8.84止损,冲高至9.69附近优先兑现；强势放量再看10.11；弱于8.84止损,0.497707,0.497707,63.3929,63.3929,0.805823,0.805823,67.8601,67.8601,0.396386,48.1444,0.74066,52.8933,0.8649354513696699,0.8978571150094261,0.8264734506225083,0.73558493412056,0.8393339523275254,0.7379579758568018,0.7842273498534603,0.2438463108818547,0.6609265401871113,0.090448992587987,0.1076745566743436,0.033065017844041,0.0569256173735028,0.7998135317343796,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.697447,0.497707,historical_bin_blend_v1,55.4147,82.3192,76.6564,66.594,63.6231,63.6231,5,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.822374,0.695385,0.735585,0.766214,0.248988,0.241637,61.8966,21.8252,60.65,74.65,0.292,0.0,76.7122,88.0,0.16619,80.3336,64.132,65.495,76.1311,50.8171,0.508171,1,0,ELIGIBLE,ok,professional_score_rule_guarded,12,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.0803764335581088,0.0803764335581088,up,high,0.974114,ehx:model_v1,-0.026545402086412,0.0347227088176591,0.0773095299976722,0.1198963511776854,0.1811644620817576,8.735020356052633,9.286933246161464,9.690976609016236,10.112598545415132,10.751552235527964,0.8896045466011503,0.8896045466011503,4,51,51,0.6561351092802351,0.0,0.6153440894192416,,,,,,,,,限价竞价,BUY_LIMIT,63.6683,50.0,80.97303993490105,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,t1_drawdown_risk,6
22,20260625,20260625,20260626,20260629,603065.SH,宿迁联盛,化工原料,20.13,FULL,0,0,Outside TOP20,限价竞价,≤20.70,限价竞价,≤20.70,冲高至21.59附近优先兑现；强势放量再看22.56；弱于19.83止损,冲高至21.59附近优先兑现；强势放量再看22.56；弱于19.83止损,限价竞价,≤20.70,限价竞价,≤20.70,冲高至21.59附近优先兑现；强势放量再看22.56；弱于19.83止损,冲高至21.59附近优先兑现；强势放量再看22.56；弱于19.83止损,0.495005,0.495005,69.5076,69.5076,0.592074,0.592074,59.5869,59.5869,0.636354,65.3205,0.718035,66.2145,0.7273853335823716,0.9316061070948352,0.7176914476434524,0.7229896604829009,0.6165334035102433,0.5322268399174949,0.4374951555129501,0.4480055380240522,0.6308817450837038,0.0798263392941906,0.0973854045075685,0.0317034530481811,0.0299244205708857,0.6241176314803859,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.69329,0.495005,historical_bin_blend_v1,55.6049,63.1343,71.5896,66.5107,61.2125,61.2125,9,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.629961,0.699328,0.72299,0.559416,0.436506,0.273985,55.2783,21.8252,60.65,74.65,0.292,0.0,76.6456,88.0,0.211458,79.1894,33.0958,61.2459,59.5806,37.8927,0.378927,1,0,ELIGIBLE,ok,professional_score_rule_guarded,35,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.0726782180369164,0.0726782180369164,up,high,0.971734,ehx:model_v1,-0.0369072814983643,0.0262550527340696,0.070158528679011,0.1140620046239525,0.1772243388563876,19.40059931568764,20.6655134163599,21.59301252908313,22.56213918750388,24.03318487713508,0.8594488710010941,0.8594488710010941,23,56,56,0.6713227975747822,0.0,0.6256713150694403,,,,,,,,,限价竞价,BUY_LIMIT,63.0767,50.0,78.21109947880218,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,t1_drawdown_risk,7
12,20260625,20260625,20260626,20260629,600152.SH,维科技术,电气设备,11.81,TOP20,0,1,TOP20,只观察不追,≤11.93,只观察不追,≤11.93,冲高至13.08附近优先兑现；强势放量再看13.77；弱于11.63止损,冲高至13.08附近优先兑现；强势放量再看13.77；弱于11.63止损,只观察不追,≤11.93,只观察不追,≤11.93,冲高至13.08附近优先兑现；强势放量再看13.77；弱于11.63止损,冲高至13.08附近优先兑现；强势放量再看13.77；弱于11.63止损,0.552255,0.552255,67.0877,67.0877,0.554989,0.554989,61.9169,61.9169,0.830751,64.072,0.807951,75.8804,0.8348008460065831,0.9376840312516306,0.7602036116556721,0.6909822046575415,0.5645804132215806,0.5841764458444064,0.3315181664958856,0.40641628168557,0.6801676781930088,0.0924324206468658,0.1090118633164942,0.037284565475194,0.0584330416406843,0.6247875486928278,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.781368,0.552255,historical_bin_blend_v1,58.9088,63.0463,74.7354,65.8699,63.815,63.815,4,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.633336,0.710117,0.690982,0.59191,0.363088,0.273904,94.3966,21.8252,60.65,74.65,0.292,0.0,76.133,18.0,0.196754,83.0586,67.5602,64.6102,65.62,50.2585,0.502585,1,0,ELIGIBLE,ok,professional_score_rule_guarded,13,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.1075425439355657,0.1075425439355657,up,high,0.953427,ehx:model_v1,-0.0233906144994052,0.0506669797192542,0.1021436365881126,0.1536202934569709,0.2276778876756318,11.536962548244285,12.423795304882772,13.080077443879032,13.771027430774897,14.82959013019504,0.9096121450968144,0.9096121450968144,13,8,8,0.6442683306653323,0.0,0.5887148739500012,,,,,,,,,只观察不追,WATCH_ONLY,54.8549,50.0,78.34207899278636,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,premium_watch_only;t1_drawdown_risk,8
46,20260625,20260625,20260626,20260629,605366.SH,宏柏新材,化工原料,13.07,FULL,0,0,Outside TOP20,只观察不追,≤13.14,只观察不追,≤13.14,观察池：t1_accept<0.52;t1_high_profit<0.50；若竞价弱于预期不追,观察池：t1_accept<0.52;t1_high_profit<0.50；若竞价弱于预期不追,只观察不追,≤13.14,只观察不追,≤13.14,观察池：t1_accept<0.52;t1_high_profit<0.50；若竞价弱于预期不追,观察池：t1_accept<0.52;t1_high_profit<0.50；若竞价弱于预期不追,0.537322,0.537322,66.987,66.987,0.564121,0.564121,59.8668,59.8668,0.737441,65.4566,0.803577,72.4135,0.8566921990493139,0.9382802896365212,0.7673736655784654,0.6800732990835869,0.5966658023728876,0.4513687610759901,0.3009557244839227,0.5467052076336498,0.7131274462676941,0.093945722687134,0.1067271141438922,0.0061294742728983,0.0230013978801744,0.6080595672660015,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.758394,0.537322,historical_bin_blend_v1,57.6272,47.3501,70.9968,66.2721,61.1622,61.1622,10,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.646041,0.700981,0.680073,0.445652,0.4903,0.30937,71.6092,21.8252,60.65,74.65,0.292,0.0,76.4546,18.0,0.230709,23.1671,25.0995,62.5715,47.2909,35.311,0.35311,0,0,WATCH,t1_accept<0.52;t1_high_profit<0.50,professional_score_rule_guarded,45,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.0888663638216927,0.0888663638216927,up,high,0.964916,ehx:model_v1,-0.0318812448453829,0.0371524940828497,0.0851371218401421,0.1331217495974346,0.2021554885256685,12.659884365034024,13.56471616359324,14.231483375149526,14.93102521383732,15.998180806180942,0.8842919518047867,0.8842919518047867,21,39,39,0.6609038001398027,0.0,0.6236010048649546,,,,,,,,,只观察不追,WATCH_ONLY,53.5947,50.0,75.9081474228183,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,premium_watch_only;premium_gate:t1_accept<0.52;t1_high_profit<0.50;t1_drawdown_risk,9
18,20260625,20260625,20260626,20260629,688093.SH,世华科技,化工原料,34.72,TOP20,0,1,TOP20,只观察不追,≤35.07,只观察不追,≤35.07,冲高至37.62附近优先兑现；强势放量再看40.69；弱于34.20止损,冲高至37.62附近优先兑现；强势放量再看40.69；弱于34.20止损,只观察不追,≤35.07,只观察不追,≤35.07,冲高至37.62附近优先兑现；强势放量再看40.69；弱于34.20止损,冲高至37.62附近优先兑现；强势放量再看40.69；弱于34.20止损,0.479407,0.479407,68.5529,68.5529,0.633393,0.633393,60.2086,60.2086,0.603912,62.8645,0.625665,61.8649,0.7685382773980068,0.8598224119513733,0.697314853086375,0.7234523500674176,0.7079117434797921,0.5385783781253154,0.4756322110285932,0.3515107142988975,0.7022067379719866,0.0963550860199929,0.114757016158079,0.0215778852408277,0.0399401719530697,0.6492409987284091,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.669294,0.479407,historical_bin_blend_v1,54.3947,66.3109,73.3156,64.7099,60.9446,60.9446,11,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.671234,0.67378,0.723452,0.583712,0.377686,0.286808,63.7644,21.8252,47.18,48.98,0.0,0.0,70.5843,18.0,0.144371,64.2821,44.2354,60.4396,58.9693,45.2366,0.452366,1,0,ELIGIBLE,ok,professional_score_rule_guarded,20,5509.0,0.222726447631149,-0.0143800311477022,-0.0200514138817481,134.0,0.0243238337266291,242.0,0.0439281176257033,3618685178.20899,0.2182522602463454,0.0,0.083487936693145,0.083487936693145,up,high,0.920282,ehx:model_v1,-0.1113069921431228,0.0016619096825279,0.0801854082849922,0.1587089068874564,0.2716778087131092,31.062735883065187,34.77774947809404,37.618701161986,40.69172670319561,45.55833982048991,0.7545144117777548,0.7545144117777548,18,49,49,0.6482564624532697,0.0,0.6148384069437819,,,,,,,,,只观察不追,WATCH_ONLY,53.3095,50.0,87.70527190579666,FROZEN_NEGATIVE_IC,DEFENSIVE,WATCH_ONLY,premium_watch_only;t1_drawdown_risk,10
