rank,trade_date,target_date,ts_code,name,close_T,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260227,20260303,002865.SZ,钧达股份,92.94,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,85.60223926129844,89.85790920710159,92.94,96.1278052897022,100.90674817084201,1,0.6494505856275626,0.0,0.0,,,,,,,,
2,20260227,20260303,603232.SH,格尔软件,26.05,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,23.993311090561917,25.186125832203533,26.05,26.943504710530906,28.282986764045994,2,0.6355656986283499,0.0,0.0,,,,,,,,
3,20260227,20260303,001209.SZ,洪兴股份,32.52,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,29.952494305760982,31.44156668189094,32.52,33.63542315495068,35.30759038644053,3,0.6265214722106595,0.0,0.0,,,,,,,,
4,20260227,20260303,002655.SZ,共达电声,17.12,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,15.768348785812668,16.55226388665353,17.12,17.70720923778461,18.587513758175334,4,0.5774955694322843,0.0,0.0,,,,,,,,
5,20260227,20260303,002261.SZ,拓维信息,36.52,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,33.636687947305994,35.30891805727728,36.52,37.77262157499381,39.65046743274318,5,0.5357402277682355,0.0,0.0,,,,,,,,
6,20260227,20260303,002378.SZ,章源钨业,40.6,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,37.394565461681914,39.253616460171344,40.6,41.9925639634378,44.08020201997187,6,0.5186570767897415,0.0,0.0,,,,,,,,
7,20260227,20260303,600549.SH,厦门钨业,70.15,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,64.61154598859572,67.82367474583793,70.15,72.55611729150645,76.1632061995327,7,0.5140262506793526,0.0,0.0,,,,,,,,
8,20260227,20260303,002470.SZ,金正大,3.1,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,2.8552500721973875,2.9971973159244127,3.1,3.206328775533428,3.365729710884552,8,0.4409269192292528,0.0,0.0,,,,,,,,
9,20260227,20260303,002350.SZ,北京科锐,12.32,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,11.347316415958648,11.911442236189925,12.32,12.74257113373285,13.376061302612156,9,0.4342551482104644,0.0,0.0,,,,,,,,
10,20260227,20260303,002842.SZ,翔鹭钨业,41.56,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,38.27877193565271,40.181780790264064,41.56,42.98549158424816,45.12249251108451,10,0.36234397375963,0.0,0.0,,,,,,,,
11,20260227,20260303,001896.SZ,豫能控股,13.34,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,12.286785794552628,12.897616836913441,13.34,13.79755673084385,14.48349494941933,11,0.351607349344865,0.0,0.0,,,,,,,,
