rank,trade_date,target_date,ts_code,name,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260302,,600722.SH,金牛化工,0.804485360021381,0.0,0.0,,,,,,,,
2,20260302,,002155.SZ,湖南黄金,0.7343885825868297,0.0,0.0,,,,,,,,
3,20260302,,001337.SZ,四川黄金,0.5820767915278823,0.0,0.0,,,,,,,,
4,20260302,,600688.SH,上海石化,0.5223429904210167,0.0,0.0,,,,,,,,
5,20260302,,600714.SH,金瑞矿业,0.5088698643880643,0.0,0.0,,,,,,,,
6,20260302,,301302.SZ,华如科技,0.5060736251594722,0.0,0.0,,,,,,,,
7,20260302,,601975.SH,招商南油,0.4971140800833189,0.0,0.0,,,,,,,,
8,20260302,,600498.SH,烽火通信,0.4881976383864154,0.0,0.0,,,,,,,,
9,20260302,,603619.SH,中曼石油,0.4861607278434753,0.0,0.0,,,,,,,,
10,20260302,,601872.SH,招商轮船,0.4859316275603164,0.0,0.0,,,,,,,,
11,20260302,,600871.SH,石化油服,0.4579664021650628,0.0,0.0,,,,,,,,
12,20260302,,002843.SZ,泰嘉股份,0.4535692307733335,0.0,0.0,,,,,,,,
13,20260302,,002413.SZ,雷科防务,0.4365582711638484,0.0,0.0,,,,,,,,
14,20260302,,600108.SH,亚盛集团,0.4340831628717648,0.0,0.0,,,,,,,,
15,20260302,,000960.SZ,锡业股份,0.4290947546100492,0.0,0.0,,,,,,,,
16,20260302,,300139.SZ,晓程科技,0.4250306398104031,0.0,0.0,,,,,,,,
17,20260302,,600259.SH,中稀有色,0.4245173165612186,0.0,0.0,,,,,,,,
18,20260302,,300164.SZ,通源石油,0.4116571655805195,0.0,0.0,,,,,,,,
19,20260302,,600938.SH,中国海油,0.3879625049326849,0.0,0.0,,,,,,,,
20,20260302,,002980.SZ,华盛昌,0.3607675837466646,0.0,0.0,,,,,,,,
21,20260302,,301158.SZ,德石股份,0.3361436984441895,0.0,0.0,,,,,,,,
22,20260302,,002842.SZ,翔鹭钨业,0.3301978054469404,0.0,0.0,,,,,,,,
23,20260302,,600367.SH,红星发展,0.3244062486288036,0.0,0.0,,,,,,,,
24,20260302,,002490.SZ,山东墨龙,0.283738344037176,0.0,0.0,,,,,,,,
25,20260302,,000554.SZ,泰山石油,0.2832962007404437,0.0,0.0,,,,,,,,
26,20260302,,000096.SZ,广聚能源,0.2522247063379397,0.0,0.0,,,,,,,,
27,20260302,,600988.SH,赤峰黄金,0.2497854815118595,0.0,0.0,,,,,,,,
28,20260302,,603011.SH,合锻智能,0.2413590205066559,0.0,0.0,,,,,,,,
29,20260302,,002629.SZ,仁智股份,0.2331556768436546,0.0,0.0,,,,,,,,
30,20260302,,300157.SZ,新锦动力,0.2289380952659873,0.0,0.0,,,,,,,,
31,20260302,,002389.SZ,航天彩虹,0.2274741459323086,0.0,0.0,,,,,,,,
32,20260302,,600583.SH,海油工程,0.2214116982690514,0.0,0.0,,,,,,,,
33,20260302,,600759.SH,洲际油气,0.216517601161173,0.0,0.0,,,,,,,,
34,20260302,,600026.SH,中远海能,0.2066246657307577,0.0,0.0,,,,,,,,
35,20260302,,000035.SZ,中国天楹,0.175756527365359,0.0,0.0,,,,,,,,
36,20260302,,600339.SH,中油工程,0.172190020522934,0.0,0.0,,,,,,,,
37,20260302,,000070.SZ,特发信息,0.1636177630096504,0.0,0.0,,,,,,,,
38,20260302,,601069.SH,西部黄金,0.1595093445264829,0.0,0.0,,,,,,,,
39,20260302,,301213.SZ,观想科技,0.1549114486053773,0.0,0.0,,,,,,,,
40,20260302,,002536.SZ,飞龙股份,0.1503410578195468,0.0,0.0,,,,,,,,
41,20260302,,000506.SZ,招金黄金,0.1308793316172584,0.0,0.0,,,,,,,,
42,20260302,,002207.SZ,准油股份,0.1267118428779929,0.0,0.0,,,,,,,,
43,20260302,,002554.SZ,惠博普,0.1192787389755945,0.0,0.0,,,,,,,,
44,20260302,,603738.SH,泰晶科技,0.078131830095453,0.0,0.0,,,,,,,,
45,20260302,,002545.SZ,东方铁塔,0.0677808591029215,0.0,0.0,,,,,,,,
46,20260302,,600989.SH,宝丰能源,0.057432824093581,0.0,0.0,,,,,,,,
47,20260302,,000510.SZ,新金路,0.0567092469937974,0.0,0.0,,,,,,,,
48,20260302,,301338.SZ,凯格精机,0.0544801570494253,0.0,0.0,,,,,,,,
49,20260302,,300191.SZ,潜能恒信,0.0520523327136097,0.0,0.0,,,,,,,,
50,20260302,,000912.SZ,泸天化,0.0485814900169972,0.0,0.0,,,,,,,,
51,20260302,,603083.SH,剑桥科技,0.0431537480404643,0.0,0.0,,,,,,,,
52,20260302,,600301.SH,华锡有色,0.0393161648078794,0.0,0.0,,,,,,,,
53,20260302,,603897.SH,长城科技,0.0380076162102349,0.0,0.0,,,,,,,,
54,20260302,,000890.SZ,法尔胜,0.0326372893495787,0.0,0.0,,,,,,,,
55,20260302,,688307.SH,中润光学,0.0306233046494176,0.0,0.0,,,,,,,,
56,20260302,,603257.SH,中国瑞林,0.0304071178861395,0.0,0.0,,,,,,,,
57,20260302,,600968.SH,海油发展,0.0282844836472553,0.0,0.0,,,,,,,,
58,20260302,,603115.SH,海星股份,0.0270453554100544,0.0,0.0,,,,,,,,
59,20260302,,600227.SH,赤天化,0.0268313667074836,0.0,0.0,,,,,,,,
60,20260302,,000637.SZ,茂化实华,0.0259527630445949,0.0,0.0,,,,,,,,
61,20260302,,603353.SH,和顺石油,0.024451953263054,0.0,0.0,,,,,,,,
62,20260302,,600452.SH,涪陵电力,0.023801927813383,0.0,0.0,,,,,,,,
63,20260302,,603393.SH,新天然气,0.0208796141423458,0.0,0.0,,,,,,,,
64,20260302,,002109.SZ,兴化股份,0.0179746158017452,0.0,0.0,,,,,,,,
65,20260302,,600236.SH,桂冠电力,0.0164576279084402,0.0,0.0,,,,,,,,
66,20260302,,300084.SZ,海默科技,0.0159472123438393,0.0,0.0,,,,,,,,
67,20260302,,002356.SZ,赫美集团,0.0148010886495078,0.0,0.0,,,,,,,,
68,20260302,,003009.SZ,中天火箭,0.0146426200816843,0.0,0.0,,,,,,,,
69,20260302,,605117.SH,德业股份,0.013940474986305,0.0,0.0,,,,,,,,
70,20260302,,001267.SZ,汇绿生态,0.0135808213629106,0.0,0.0,,,,,,,,
71,20260302,,002040.SZ,南 京 港,0.0132236446447891,0.0,0.0,,,,,,,,
72,20260302,,603950.SH,长源东谷,0.0125178044608296,0.0,0.0,,,,,,,,
73,20260302,,002432.SZ,九安医疗,0.0119066265981618,0.0,0.0,,,,,,,,
74,20260302,,603629.SH,利通电子,0.0114733049931982,0.0,0.0,,,,,,,,
75,20260302,,603488.SH,展鹏科技,0.0114720092970076,0.0,0.0,,,,,,,,
76,20260302,,002380.SZ,科远智慧,0.0092954910309295,0.0,0.0,,,,,,,,
77,20260302,,601808.SH,中海油服,0.0092180177181884,0.0,0.0,,,,,,,,
78,20260302,,002667.SZ,威领股份,0.008960371042657,0.0,0.0,,,,,,,,
79,20260302,,603318.SH,水发燃气,0.008689255080628,0.0,0.0,,,,,,,,
80,20260302,,001400.SZ,江顺科技,0.007574824811018,0.0,0.0,,,,,,,,
81,20260302,,920088.BJ,科力股份,0.0069650124773828,0.0,0.0,,,,,,,,
82,20260302,,002828.SZ,贝肯能源,0.0065280559171131,0.0,0.0,,,,,,,,
83,20260302,,600256.SH,广汇能源,0.0063028150233705,0.0,0.0,,,,,,,,
84,20260302,,603861.SH,白云电器,0.0059053032111375,0.0,0.0,,,,,,,,
85,20260302,,601857.SH,中国石油,0.0058298238068009,0.0,0.0,,,,,,,,
