rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260610,20260610,20260611,20260612,603065.SH,宿迁联盛,11.44,TOP10,1,1,TOP10,市价竞价,≤11.96,市价竞价,≤11.96,冲高至12.73附近优先兑现；强势放量再看13.17；弱于11.27止损,冲高至12.73附近优先兑现；强势放量再看13.17；弱于11.27止损,市价竞价,≤11.96,市价竞价,≤11.96,冲高至12.73附近优先兑现；强势放量再看13.17；弱于11.27止损,冲高至12.73附近优先兑现；强势放量再看13.17；弱于11.27止损,0.99,0.99,64.7,64.7,0.872738,0.872738,84.1435,84.1435,0.99,64.7,0.872738,84.1435,,,,,,,,rule_fallback:model_missing,0.0,0.11299706044971972,0.11299706044971972,up,high,1.0,ehx:model_v1,0.024813749927862852,0.07333194367337581,0.10705643118454693,0.14078091869571804,0.18929911244123188,11.72742054245805,12.310443037839164,12.732686371544792,13.169412484814961,13.824122845188105,0.9838681665113802,0.9838681665113802,1,4,4,0.9179402623494288,0.0,0.0,,,,,,,,
2,20260610,20260610,20260611,20260612,002354.SZ,天娱数科,8.87,TOP10,1,1,TOP10,市价竞价,≤9.21,市价竞价,≤9.21,冲高至9.62附近优先兑现；强势放量再看9.95；弱于8.74止损,冲高至9.62附近优先兑现；强势放量再看9.95；弱于8.74止损,市价竞价,≤9.21,市价竞价,≤9.21,冲高至9.62附近优先兑现；强势放量再看9.95；弱于8.74止损,冲高至9.62附近优先兑现；强势放量再看9.95；弱于8.74止损,0.92572,0.92572,62.7716,62.7716,0.808729,0.808729,79.49,79.49,0.92572,62.7716,0.808729,79.49,,,,,,,,rule_fallback:model_missing,0.0,0.08495552063444982,0.08495552063444982,up,high,1.0,ehx:model_v1,-0.0007036899115299561,0.047814503833982995,0.08153899134515412,0.11526347885632524,0.16378167260183907,8.863760466090735,9.304417618845786,9.62355546802757,9.953639619380278,10.448479536479315,0.9485316072246369,0.9485316072246369,2,21,21,0.5160751956583188,0.0,0.0,,,,,,,,
3,20260610,20260610,20260611,20260612,600981.SH,苏豪汇鸿,2.71,TOP10,1,1,TOP10,市价竞价,≤2.84,市价竞价,≤2.84,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,市价竞价,≤2.84,市价竞价,≤2.84,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,0.885102,0.885102,61.553,61.553,0.881377,0.881377,79.3767,79.3767,0.885102,61.553,0.881377,79.3767,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,2.7955661352043584,2.9345462236431543,3.0352,3.139306161128729,3.2953751027344493,0.98829186007614,0.98829186007614,3,1,1,0.1919819655731544,0.0,0.0,,,,,,,,
4,20260610,20260610,20260611,20260612,600058.SH,五矿发展,10.34,TOP10,1,1,TOP10,市价竞价,≤10.79,市价竞价,≤10.79,冲高至11.40附近优先兑现；强势放量再看11.79；弱于10.18止损,冲高至11.40附近优先兑现；强势放量再看11.79；弱于10.18止损,市价竞价,≤10.79,市价竞价,≤10.79,冲高至11.40附近优先兑现；强势放量再看11.79；弱于10.18止损,冲高至11.40附近优先兑现；强势放量再看11.79；弱于10.18止损,0.853941,0.853941,60.6182,60.6182,0.861511,0.861511,77.3999,77.3999,0.853941,60.6182,0.861511,77.3999,,,,,,,,rule_fallback:model_missing,0.0,0.1024608080986919,0.1024608080986919,up,high,1.0,ehx:model_v1,0.015302098240524087,0.06382029198603703,0.09754477949720816,0.1312692670083793,0.17978746075389312,10.499440471560684,11.02141458868838,11.399444755740475,11.790441208204616,12.3765967425751,0.9744652663130278,0.9744652663130278,4,7,7,0.2936421915481814,0.0,0.0,,,,,,,,
5,20260610,20260610,20260611,20260612,002119.SZ,康强电子,28.36,TOP10,1,1,TOP10,市价竞价,≤29.42,市价竞价,≤29.42,冲高至30.66附近优先兑现；强势放量再看31.72；弱于27.93止损,冲高至30.66附近优先兑现；强势放量再看31.72；弱于27.93止损,市价竞价,≤29.42,市价竞价,≤29.42,冲高至30.66附近优先兑现；强势放量再看31.72；弱于27.93止损,冲高至30.66附近优先兑现；强势放量再看31.72；弱于27.93止损,0.847833,0.847833,60.435,60.435,0.793369,0.793369,75.4063,75.4063,0.847833,60.435,0.793369,75.4063,,,,,,,,rule_fallback:model_missing,0.0,0.08126591312428348,0.08126591312428348,up,high,1.0,ehx:model_v1,-0.0041101847606532516,0.0444080089848597,0.07813249649603082,0.11185698400720195,0.16037517775271576,28.24367438383862,29.64779368342211,30.66470129620468,31.71648843843815,33.29325684775359,0.9409325213040173,0.9409325213040173,5,27,27,0.4499109680852202,0.0,0.0,,,,,,,,
6,20260610,20260610,20260611,20260612,002409.SZ,雅克科技,122.55,TOP10,1,1,TOP10,市价竞价,≤127.98,市价竞价,≤127.98,冲高至135.48附近优先兑现；强势放量再看140.13；弱于120.71止损,冲高至135.48附近优先兑现；强势放量再看140.13；弱于120.71止损,市价竞价,≤127.98,市价竞价,≤127.98,冲高至135.48附近优先兑现；强势放量再看140.13；弱于120.71止损,冲高至135.48附近优先兑现；强势放量再看140.13；弱于120.71止损,0.792068,0.792068,58.762,58.762,0.865666,0.865666,74.5649,74.5649,0.792068,58.762,0.865666,74.5649,,,,,,,,rule_fallback:model_missing,0.0,0.10551173207765105,0.10551173207765105,up,high,1.0,ehx:model_v1,0.018065652465191276,0.06658384621070423,0.10030833372187535,0.13403282123304647,0.1825510149785603,124.78406486912533,130.98763850412922,135.48046276611615,140.12738912567204,147.09374799235658,0.9775807659272862,0.9775807659272862,6,6,6,0.2201253786562599,0.0,0.0,,,,,,,,
7,20260610,20260610,20260611,20260612,605318.SH,法狮龙,116.56,TOP10,1,1,TOP10,市价竞价,≤121.42,市价竞价,≤121.42,冲高至127.73附近优先兑现；强势放量再看132.11；弱于114.81止损,冲高至127.73附近优先兑现；强势放量再看132.11；弱于114.81止损,市价竞价,≤121.42,市价竞价,≤121.42,冲高至127.73附近优先兑现；强势放量再看132.11；弱于114.81止损,冲高至127.73附近优先兑现；强势放量再看132.11；弱于114.81止损,0.791012,0.791012,58.7304,58.7304,0.840824,0.840824,73.8937,73.8937,0.791012,58.7304,0.840824,73.8937,,,,,,,,rule_fallback:model_missing,0.0,0.09581604396397647,0.09581604396397647,up,high,1.0,ehx:model_v1,0.009256650083348916,0.05777484382886187,0.09149933134003299,0.12522381885120412,0.17374201259671795,117.64396433298428,123.49257165491179,127.72831808444109,132.10934894342913,138.67709519294067,0.9663740307040058,0.9663740307040058,7,13,13,0.2934423339455103,0.0,0.0,,,,,,,,
8,20260610,20260610,20260611,20260612,000029.SZ,深深房Ａ,26.99,TOP10,1,1,TOP10,市价竞价,≤27.85,市价竞价,≤27.85,冲高至28.74附近优先兑现；强势放量再看29.72；弱于26.59止损,冲高至28.74附近优先兑现；强势放量再看29.72；弱于26.59止损,市价竞价,≤27.85,市价竞价,≤27.85,冲高至28.74附近优先兑现；强势放量再看29.72；弱于26.59止损,冲高至28.74附近优先兑现；强势放量再看29.72；弱于26.59止损,0.847379,0.847379,60.4214,60.4214,0.725165,0.725165,73.6796,73.6796,0.847379,60.4214,0.725165,73.6796,,,,,,,,rule_fallback:model_missing,0.0,0.06471048924952842,0.06471048924952842,up,high,1.0,ehx:model_v1,-0.019539760131034603,0.028978433614478348,0.06270292112564947,0.09642740863682059,0.14494560238233442,26.467740899374473,27.78357060722766,28.736536104844774,29.722187942619055,31.199810759994413,0.895089614407004,0.895089614407004,8,44,44,0.575968158114201,0.0,0.0,,,,,,,,
9,20260610,20260610,20260611,20260612,600881.SH,亚泰集团,1.77,TOP10,1,1,TOP10,市价竞价,≤1.85,市价竞价,≤1.85,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,市价竞价,≤1.85,市价竞价,≤1.85,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,0.708893,0.708893,56.2668,56.2668,0.881377,0.881377,71.0068,71.0068,0.708893,56.2668,0.881377,71.0068,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,1.82588636874971,1.9166593416414697,1.9824000000000002,2.0503955369733764,2.1523298641475925,0.98829186007614,0.98829186007614,9,2,2,0.0570094196313804,0.0,0.0,,,,,,,,
10,20260610,20260610,20260611,20260612,688662.SH,富信科技,112.24,TOP10,1,1,TOP10,市价竞价,≤117.57,市价竞价,≤117.57,冲高至125.71附近优先兑现；强势放量再看130.02；弱于110.56止损,冲高至125.71附近优先兑现；强势放量再看130.02；弱于110.56止损,市价竞价,≤117.57,市价竞价,≤117.57,冲高至125.71附近优先兑现；强势放量再看130.02；弱于110.56止损,冲高至125.71附近优先兑现；强势放量再看130.02；弱于110.56止损,0.663294,0.663294,54.8988,54.8988,0.881377,0.881377,68.8409,68.8409,0.663294,54.8988,0.881377,68.8409,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,115.78389041156353,121.54002514454156,125.70880000000001,130.02056218637952,136.48446550956257,0.98829186007614,0.98829186007614,10,3,3,0.0321621001152161,0.0,0.0,,,,,,,,
