rank,trade_date,target_date,ts_code,name,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260227,,002865.SZ,钧达股份,0.6494505856275626,0.0,0.0,,,,,,,,
2,20260227,,603232.SH,格尔软件,0.6355656986283499,0.0,0.0,,,,,,,,
3,20260227,,001209.SZ,洪兴股份,0.6265214722106595,0.0,0.0,,,,,,,,
4,20260227,,002655.SZ,共达电声,0.5774955694322843,0.0,0.0,,,,,,,,
5,20260227,,002261.SZ,拓维信息,0.5357402277682355,0.0,0.0,,,,,,,,
6,20260227,,002378.SZ,章源钨业,0.5186570767897415,0.0,0.0,,,,,,,,
7,20260227,,600549.SH,厦门钨业,0.5140262506793526,0.0,0.0,,,,,,,,
8,20260227,,002470.SZ,金正大,0.4409269192292528,0.0,0.0,,,,,,,,
9,20260227,,002350.SZ,北京科锐,0.4342551482104644,0.0,0.0,,,,,,,,
10,20260227,,002842.SZ,翔鹭钨业,0.36234397375963,0.0,0.0,,,,,,,,
11,20260227,,001896.SZ,豫能控股,0.351607349344865,0.0,0.0,,,,,,,,
12,20260227,,000593.SZ,德龙汇能,0.341547938639752,0.0,0.0,,,,,,,,
13,20260227,,600821.SH,金开新能,0.3016455605113328,0.0,0.0,,,,,,,,
14,20260227,,000899.SZ,赣能股份,0.2564969026964153,0.0,0.0,,,,,,,,
15,20260227,,600744.SH,华银电力,0.2491827624252817,0.0,0.0,,,,,,,,
16,20260227,,002216.SZ,三全食品,0.219623826827313,0.0,0.0,,,,,,,,
17,20260227,,002155.SZ,湖南黄金,0.2133513263929638,0.0,0.0,,,,,,,,
18,20260227,,002177.SZ,御银股份,0.2077129414416533,0.0,0.0,,,,,,,,
19,20260227,,002015.SZ,协鑫能科,0.2075476239660547,0.0,0.0,,,,,,,,
20,20260227,,603257.SH,中国瑞林,0.2049649141697142,0.0,0.0,,,,,,,,
21,20260227,,000628.SZ,高新发展,0.2038006356922742,0.0,0.0,,,,,,,,
22,20260227,,600259.SH,中稀有色,0.1973646754054673,0.0,0.0,,,,,,,,
23,20260227,,600397.SH,江钨装备,0.186269485070751,0.0,0.0,,,,,,,,
24,20260227,,000035.SZ,中国天楹,0.1858492766761865,0.0,0.0,,,,,,,,
25,20260227,,002980.SZ,华盛昌,0.1834676261385753,0.0,0.0,,,,,,,,
26,20260227,,603629.SH,利通电子,0.1820898313091608,0.0,0.0,,,,,,,,
27,20260227,,001216.SZ,华瓷股份,0.1798195804570529,0.0,0.0,,,,,,,,
28,20260227,,600126.SH,杭钢股份,0.1746998535987209,0.0,0.0,,,,,,,,
29,20260227,,603381.SH,永臻股份,0.1507457168897012,0.0,0.0,,,,,,,,
30,20260227,,300830.SZ,金现代,0.1443020071699911,0.0,0.0,,,,,,,,
