rank,trade_date,target_date,ts_code,name,close_T,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260303,20260305,600938.SH,中国海油,43.41,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,39.98271149486728,41.97043080138024,43.41,44.89894585351809,47.131073144999476,1,0.8975951519761146,0.0,0.0,,,,,,,,
2,20260303,20260305,600722.SH,金牛化工,11.35,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,10.453899457883981,10.973609527658738,11.35,11.739300516872389,12.322913618883762,2,0.8843277123575962,0.0,0.0,,,,,,,,
3,20260303,20260305,300164.SZ,通源石油,21.7,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,19.98675050538171,20.98038121147089,21.7,22.444301428733993,23.560107976191862,3,0.8592287600681673,0.0,0.0,,,,,,,,
4,20260303,20260305,601808.SH,中海油服,20.42,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,18.807808540087308,19.742828771347263,20.42,21.12039793432019,22.170387321375017,4,0.8497452848946923,0.0,0.0,,,,,,,,
5,20260303,20260305,002207.SZ,准油股份,13.66,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,12.58152128587623,13.207004946944348,13.66,14.128532604447297,14.830925113123541,5,0.8338550906609462,0.0,0.0,,,,,,,,
6,20260303,20260305,603619.SH,中曼石油,43.99,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,40.51691957289131,42.53119675081127,43.99,45.49883962442435,47.76079031671337,6,0.827963747749649,0.0,0.0,,,,,,,,
7,20260303,20260305,603318.SH,水发燃气,9.7,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,8.934169580746662,9.378327085311872,9.7,10.032706168604596,10.53147683728392,7,0.8189800306304791,0.0,0.0,,,,,,,,
8,20260303,20260305,600968.SH,海油发展,5.54,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,5.102608193539847,5.35628165491008,5.54,5.730019811759738,6.014884709129167,8,0.7723542873378046,0.0,0.0,,,,,,,,
9,20260303,20260305,600339.SH,中油工程,5.13,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.724978345281483,4.95987813893298,5.13,5.305956973705317,5.569739811883146,9,0.7465842728614681,0.0,0.0,,,,,,,,
10,20260303,20260305,000407.SZ,胜利股份,5.86,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,5.397343684863449,5.665669764940987,5.86,6.0609956853631894,6.362314872833379,10,0.7212243217426788,0.0,0.0,,,,,,,,
11,20260303,20260305,600367.SH,红星发展,25.91,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,23.86436431310784,25.05076853406501,25.91,26.79870276582939,28.1309860674254,11,0.7020013802375361,0.0,0.0,,,,,,,,
12,20260303,20260305,300332.SZ,天壕能源,7.24,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,6.668390491196479,6.999905989449274,7.24,7.48832914027807,7.860607453807792,12,0.6994188059085861,0.0,0.0,,,,,,,,
13,20260303,20260305,600028.SH,中国石化,7.82,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,7.202598569220506,7.560671938880294,7.82,8.088222911184324,8.490324625521676,13,0.6607122786890476,0.0,0.0,,,,,,,,
14,20260303,20260305,600635.SH,大众公用,6.91,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,6.364444515769015,6.680849500979901,6.91,7.147010270624511,7.502320097487824,14,0.6453003805905135,0.0,0.0,,,,,,,,
15,20260303,20260305,600871.SH,石化油服,3.88,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,3.5736678322986655,3.7513308341247487,3.88,4.013082467441838,4.212590734913568,15,0.6282973883051559,0.0,0.0,,,,,,,,
16,20260303,20260305,600714.SH,金瑞矿业,21.74,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,20.02359244179716,21.019054725224752,21.74,22.485673412934425,23.60353674665489,16,0.6136450902059285,0.0,0.0,,,,,,,,
