rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260605,20260605,20260608,20260609,603500.SH,祥和实业,12.23,市价竞价,≤12.74,冲高至13.38附近优先兑现；强势放量再看13.83；弱于12.05止损,冲高至13.38附近优先兑现；强势放量再看13.83；弱于12.05止损,市价竞价,≤12.74,冲高至13.38附近优先兑现；强势放量再看13.83；弱于12.05止损,冲高至13.38附近优先兑现；强势放量再看13.83；弱于12.05止损,0.984894,0.984894,64.5468,64.5468,0.86028,0.86028,83.5895,83.5895,0.984894,64.5468,0.86028,83.5895,,,,,,,,rule_fallback:model_missing,0.0,0.09367382032891322,0.09367382032891322,up,high,1.0,ehx:model_v1,0.007299825022336601,0.05581801876784955,0.08954250627902068,0.12326699379019179,0.17178518753570562,12.319603507089937,12.932066064632366,13.375630822622607,13.834409676608622,14.52218001984648,0.9633413255141277,0.9633413255141277,1,5,5,0.7862900508987007,0.0,0.0,,,,,,,,
2,20260605,20260605,20260608,20260609,000520.SZ,凤凰航运,4.6,市价竞价,≤4.80,冲高至5.08附近优先兑现；强势放量再看5.26；弱于4.53止损,冲高至5.08附近优先兑现；强势放量再看5.26；弱于4.53止损,市价竞价,≤4.80,冲高至5.08附近优先兑现；强势放量再看5.26；弱于4.53止损,冲高至5.08附近优先兑现；强势放量再看5.26；弱于4.53止损,0.910589,0.910589,62.3177,62.3177,0.87329,0.87329,80.3852,80.3852,0.910589,62.3177,0.87329,80.3852,,,,,,,,rule_fallback:model_missing,0.0,0.10489004509940617,0.10489004509940617,up,high,1.0,ehx:model_v1,0.017503142064542218,0.06602133581005518,0.09974582332122629,0.1334703108323974,0.18198850457791124,4.681223210575861,4.913947740900742,5.082494207457268,5.256821751242645,5.518161857883085,0.9769740043598889,0.9769740043598889,2,3,3,0.2775622274304543,0.0,0.0,,,,,,,,
3,20260605,20260605,20260608,20260609,600382.SH,广东明珠,9.68,市价竞价,≤10.04,冲高至10.45附近优先兑现；强势放量再看10.81；弱于9.53止损,冲高至10.45附近优先兑现；强势放量再看10.81；弱于9.53止损,市价竞价,≤10.04,冲高至10.45附近优先兑现；强势放量再看10.81；弱于9.53止损,冲高至10.45附近优先兑现；强势放量再看10.81；弱于9.53止损,0.920727,0.920727,62.6218,62.6218,0.799483,0.799483,79.0216,79.0216,0.920727,62.6218,0.799483,79.0216,,,,,,,,rule_fallback:model_missing,0.0,0.07973280930747917,0.07973280930747917,up,high,1.0,ehx:model_v1,-0.0055290695180557625,0.04298912422745719,0.07671361173862831,0.11043809924979944,0.15895629299531328,9.626626296495928,10.105208919602585,10.451813594096398,10.81030667202024,11.347735337508807,0.9375186533157922,0.9375186533157922,3,25,25,0.4442994707794522,0.0,0.0,,,,,,,,
4,20260605,20260605,20260608,20260609,600996.SH,贵广网络,9.38,市价竞价,≤9.72,冲高至10.11附近优先兑现；强势放量再看10.46；弱于9.24止损,冲高至10.11附近优先兑现；强势放量再看10.46；弱于9.24止损,市价竞价,≤9.72,冲高至10.11附近优先兑现；强势放量再看10.46；弱于9.24止损,冲高至10.11附近优先兑现；强势放量再看10.46；弱于9.24止损,0.837736,0.837736,60.1321,60.1321,0.790554,0.790554,74.8563,74.8563,0.837736,60.1321,0.790554,74.8563,,,,,,,,rule_fallback:model_missing,0.0,0.07822585044963827,0.07822585044963827,up,high,1.0,ehx:model_v1,-0.0069257219478770365,0.041592471797635915,0.07531695930880704,0.10904144681997816,0.157559640565492,9.315261168471778,9.778364439298192,10.113758477217608,10.460656398160632,10.980702385639292,0.9340099382407896,0.9340099382407896,4,28,28,0.3617135893242056,0.0,0.0,,,,,,,,
5,20260605,20260605,20260608,20260609,003036.SZ,泰坦股份,82.35,市价竞价,≤84.76,冲高至86.72附近优先兑现；强势放量再看89.69；弱于81.11止损,冲高至86.72附近优先兑现；强势放量再看89.69；弱于81.11止损,市价竞价,≤84.76,冲高至86.72附近优先兑现；强势放量再看89.69；弱于81.11止损,冲高至86.72附近优先兑现；强势放量再看89.69；弱于81.11止损,0.881656,0.881656,61.4497,61.4497,0.705085,0.705085,74.8058,74.8058,0.881656,61.4497,0.705085,74.8058,,,,,,,,rule_fallback:model_missing,0.0,0.05304206958410762,0.05304206958410762,up,high,1.0,ehx:model_v1,-0.030559496781250722,0.01795869696426223,0.05168318447543335,0.08540767198660448,0.1339258657321183,79.87148934283515,83.84225809440115,86.71801443025126,89.69240807252827,94.15141859251999,0.8493532931926224,0.8493532931926224,5,46,46,0.8133965539193028,0.0,0.0,,,,,,,,
6,20260605,20260605,20260608,20260609,000517.SZ,荣安地产,2.12,市价竞价,≤2.22,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,市价竞价,≤2.22,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,冲高至2.37附近优先兑现；强势放量再看2.46；弱于2.09止损,0.741711,0.741711,57.2513,57.2513,0.882728,0.882728,72.5995,72.5995,0.741711,57.2513,0.882728,72.5995,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,2.186937345621122,2.295659776429331,2.3744000000000005,2.4558409821376035,2.5779318146852517,0.98829186007614,0.98829186007614,6,1,1,0.0431876041782273,0.0,0.0,,,,,,,,
7,20260605,20260605,20260608,20260609,600293.SH,三峡新材,3.96,市价竞价,≤4.13,冲高至4.35附近优先兑现；强势放量再看4.50；弱于3.90止损,冲高至4.35附近优先兑现；强势放量再看4.50；弱于3.90止损,市价竞价,≤4.13,冲高至4.35附近优先兑现；强势放量再看4.50；弱于3.90止损,冲高至4.35附近优先兑现；强势放量再看4.50；弱于3.90止损,0.711839,0.711839,56.3552,56.3552,0.86745,0.86745,70.7986,70.7986,0.711839,56.3552,0.86745,70.7986,,,,,,,,rule_fallback:model_missing,0.0,0.09884514172617087,0.09884514172617087,up,high,1.0,ehx:model_v1,0.012017075888853118,0.06053526963436607,0.09425975714553719,0.12798424465670832,0.17650243840222213,4.007874701348289,4.207124067489391,4.351426761235636,4.50067898037937,4.72442785000933,0.9702982518251984,0.9702982518251984,7,4,4,0.1538774820933776,0.0,0.0,,,,,,,,
8,20260605,20260605,20260608,20260609,600881.SH,亚泰集团,1.65,市价竞价,≤1.73,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,市价竞价,≤1.73,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,冲高至1.85附近优先兑现；强势放量再看1.91；弱于1.63止损,0.701071,0.701071,56.0321,56.0321,0.882728,0.882728,70.669,70.669,0.701071,56.0321,0.882728,70.669,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,1.7020974623937974,1.7867163354284887,1.848,1.9113856700599272,2.006409195391823,0.98829186007614,0.98829186007614,8,2,2,0.0202914860895794,0.0,0.0,,,,,,,,
9,20260605,20260605,20260608,20260609,603725.SH,天安新材,12.84,市价竞价,≤13.31,冲高至13.83附近优先兑现；强势放量再看14.30；弱于12.65止损,冲高至13.83附近优先兑现；强势放量再看14.30；弱于12.65止损,市价竞价,≤13.31,冲高至13.83附近优先兑现；强势放量再看14.30；弱于12.65止损,冲高至13.83附近优先兑现；强势放量再看14.30；弱于12.65止损,0.708399,0.708399,56.252,56.252,0.784121,0.784121,68.552,68.552,0.708399,56.252,0.784121,68.552,,,,,,,,rule_fallback:model_missing,0.0,0.07688151754984854,0.07688151754984854,up,high,1.0,ehx:model_v1,-0.008173300694177293,0.04034489305133566,0.07406938056250678,0.10779386807367791,0.15631206181919172,12.735482527290943,13.368620289858757,13.827158685340054,14.301424766668639,15.012412517536903,0.9307483429418488,0.9307483429418488,9,30,30,0.2845838255437202,0.0,0.0,,,,,,,,
10,20260605,20260605,20260608,20260609,002613.SZ,北玻股份,4.96,市价竞价,≤5.16,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.89止损,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.89止损,市价竞价,≤5.16,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.89止损,冲高至5.40附近优先兑现；强势放量再看5.58；弱于4.89止损,0.66765,0.66765,55.0295,55.0295,0.843976,0.843976,68.1128,68.1128,0.66765,55.0295,0.843976,68.1128,,,,,,,,rule_fallback:model_missing,0.0,0.088330068479502,0.088330068479502,up,high,1.0,ehx:model_v1,0.0024017929334060745,0.050919986678919026,0.08464447419009015,0.11836896170126127,0.1668871554467751,4.971927210561097,5.219103936138554,5.39811713965833,5.583270425350549,5.860839754768766,0.9547617472964085,0.9547617472964085,10,10,10,0.1939777055630064,0.0,0.0,,,,,,,,
11,20260605,20260605,20260608,20260609,000608.SZ,阳光股份,5.52,限价竞价,≤5.70,冲高至5.89附近优先兑现；强势放量再看6.09；弱于5.44止损,冲高至5.89附近优先兑现；强势放量再看6.09；弱于5.44止损,限价竞价,≤5.70,冲高至5.89附近优先兑现；强势放量再看6.09；弱于5.44止损,冲高至5.89附近优先兑现；强势放量再看6.09；弱于5.44止损,0.665273,0.665273,54.9582,54.9582,0.750767,0.750767,65.6697,65.6697,0.665273,54.9582,0.750767,65.6697,,,,,,,,rule_fallback:model_missing,0.0,0.06640859329840763,0.06640859329840763,up,high,1.0,ehx:model_v1,-0.017946133174974482,0.03057206057053847,0.06429654808170959,0.09802103559288072,0.14653922933839453,5.421820947032162,5.691363901222643,5.8865754350072095,6.0884826472941365,6.391168334505458,0.9007664215030496,0.9007664215030496,11,38,38,0.3251106617690018,0.0,0.0,,,,,,,,
12,20260605,20260605,20260608,20260609,002251.SZ,步步高,4.86,限价竞价,≤5.06,冲高至5.29附近优先兑现；强势放量再看5.47；弱于4.79止损,冲高至5.29附近优先兑现；强势放量再看5.47；弱于4.79止损,限价竞价,≤5.06,冲高至5.29附近优先兑现；强势放量再看5.47；弱于4.79止损,冲高至5.29附近优先兑现；强势放量再看5.47；弱于4.79止损,0.542767,0.542767,51.283,51.283,0.843976,0.843976,62.1808,62.1808,0.542767,51.283,0.843976,62.1808,,,,,,,,rule_fallback:model_missing,0.0,0.088330068479502,0.088330068479502,up,high,1.0,ehx:model_v1,0.0024017929334060745,0.050919986678919026,0.08464447419009015,0.11836896170126127,0.1668871554467751,4.8716867426062365,5.113880066458341,5.289284132810381,5.470704489355579,5.7426776629387515,0.9547617472964085,0.9547617472964085,12,11,11,0.1344881610480423,0.0,0.0,,,,,,,,
13,20260605,20260605,20260608,20260609,002194.SZ,武汉凡谷,12.14,限价竞价,≤12.65,冲高至13.28附近优先兑现；强势放量再看13.73；弱于11.96止损,冲高至13.28附近优先兑现；强势放量再看13.73；弱于11.96止损,限价竞价,≤12.65,冲高至13.28附近优先兑现；强势放量再看13.73；弱于11.96止损,冲高至13.28附近优先兑现；强势放量再看13.73；弱于11.96止损,0.511706,0.511706,50.3512,50.3512,0.86028,0.86028,61.113,61.113,0.511706,50.3512,0.86028,61.113,,,,,,,,rule_fallback:model_missing,0.0,0.09367382032891322,0.09367382032891322,up,high,1.0,ehx:model_v1,0.007299825022336601,0.05581801876784955,0.08954250627902068,0.12326699379019179,0.17178518753570562,12.228944119057386,12.836899593183722,13.277200178793006,13.732602900574708,14.41531197391139,0.9633413255141277,0.9633413255141277,13,6,6,0.0881318100266159,0.0,0.0,,,,,,,,
14,20260605,20260605,20260608,20260609,600063.SH,皖维高新,8.22,限价竞价,≤8.53,冲高至8.88附近优先兑现；强势放量再看9.18；弱于8.10止损,冲高至8.88附近优先兑现；强势放量再看9.18；弱于8.10止损,限价竞价,≤8.53,冲高至8.88附近优先兑现；强势放量再看9.18；弱于8.10止损,冲高至8.88附近优先兑现；强势放量再看9.18；弱于8.10止损,0.536243,0.536243,51.0873,51.0873,0.806749,0.806749,60.9403,60.9403,0.536243,51.0873,0.806749,60.9403,,,,,,,,rule_fallback:model_missing,0.0,0.07986887152318857,0.07986887152318857,up,high,1.0,ehx:model_v1,-0.00540306274829154,0.04311513099722141,0.07683961850839253,0.11056410601956365,0.15908229976507748,8.175706591995494,8.582157511147912,8.87652212392061,9.180983326640566,9.63741104574311,0.9378279187775146,0.9378279187775146,14,22,22,0.1825999052454331,0.0,0.0,,,,,,,,
15,20260605,20260605,20260608,20260609,603578.SH,三星新材,15.51,限价竞价,≤16.12,冲高至16.82附近优先兑现；强势放量再看17.39；弱于15.28止损,冲高至16.82附近优先兑现；强势放量再看17.39；弱于15.28止损,限价竞价,≤16.12,冲高至16.82附近优先兑现；强势放量再看17.39；弱于15.28止损,冲高至16.82附近优先兑现；强势放量再看17.39；弱于15.28止损,0.505436,0.505436,50.1631,50.1631,0.832848,0.832848,60.1294,60.1294,0.505436,50.1631,0.832848,60.1294,,,,,,,,rule_fallback:model_missing,0.0,0.08419054642638324,0.08419054642638324,up,high,1.0,ehx:model_v1,-0.0014090128507236455,0.047109180894789306,0.08083366840596043,0.11455815591713156,0.1630763496626454,15.488161599591697,16.258147343001152,16.815795375073204,17.39257051438037,18.25723293743191,0.947025597230136,0.947025597230136,15,12,12,0.1425463863660314,0.0,0.0,,,,,,,,
16,20260605,20260605,20260608,20260609,603020.SH,爱普股份,10.67,限价竞价,≤11.11,冲高至11.66附近优先兑现；强势放量再看12.06；弱于10.51止损,冲高至11.66附近优先兑现；强势放量再看12.06；弱于10.51止损,限价竞价,≤11.11,冲高至11.66附近优先兑现；强势放量再看12.06；弱于10.51止损,冲高至11.66附近优先兑现；强势放量再看12.06；弱于10.51止损,0.485079,0.485079,49.5524,49.5524,0.855007,0.855007,59.7165,59.7165,0.485079,49.5524,0.855007,59.7165,,,,,,,,rule_fallback:model_missing,0.0,0.09298006457011736,0.09298006457011736,up,high,1.0,ehx:model_v1,0.006665288585761486,0.05518348233127444,0.08890796984244556,0.12263245735361669,0.17115065109913052,10.741356169769354,11.275356997590237,11.662097288963151,12.062102619571913,12.661763656996603,0.9623111602809125,0.9623111602809125,16,8,8,0.0802735209800363,0.0,0.0,,,,,,,,
17,20260605,20260605,20260608,20260609,600516.SH,方大炭素,5.83,只观察不追,≤5.89,冲高至6.18附近优先兑现；强势放量再看6.39；弱于5.74止损,冲高至6.18附近优先兑现；强势放量再看6.39；弱于5.74止损,只观察不追,≤5.89,冲高至6.18附近优先兑现；强势放量再看6.39；弱于5.74止损,冲高至6.18附近优先兑现；强势放量再看6.39；弱于5.74止损,0.45669,0.45669,48.7007,48.7007,0.73391,0.73391,55.3405,55.3405,0.45669,48.7007,0.73391,55.3405,,,,,,,,rule_fallback:model_missing,0.0,0.059841049759305674,0.059841049759305674,up,high,1.0,ehx:model_v1,-0.024123737434050857,0.024394456311462094,0.05811894382263322,0.09184343133380435,0.14036162507931815,5.691041449453149,5.9739685582035325,6.178873320096752,6.390806234387737,6.708521778465005,0.8774592001167116,0.8774592001167116,17,40,40,0.2674483186792343,0.0,0.0,,,,,,,,
