rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260609,20260609,20260610,20260611,002636.SZ,金安国纪,70.38,市价竞价,≤73.31,冲高至76.98附近优先兑现；强势放量再看79.62；弱于69.32止损,冲高至76.98附近优先兑现；强势放量再看79.62；弱于69.32止损,市价竞价,≤73.31,冲高至76.98附近优先兑现；强势放量再看79.62；弱于69.32止损,冲高至76.98附近优先兑现；强势放量再看79.62；弱于69.32止损,0.965468,0.965468,63.9641,63.9641,0.851674,0.851674,82.4516,82.4516,0.0,0.09383342637040865,0.09383342637040865,up,high,1.0,ehx:model_v1,0.007445750062831408,0.05596394380834436,0.08968843131951548,0.12341291883068661,0.17193111257620042,70.90598764566961,74.43104123311228,76.98399654794935,79.62451722169553,83.58300788518287,0.963574946747824,0.963574946747824,1,12,12,0.4724052355548801,0.0,0.0,,,,,,,,
2,20260609,20260609,20260610,20260611,603065.SH,宿迁联盛,10.4,市价竞价,≤10.81,冲高至11.30附近优先兑现；强势放量再看11.69；弱于10.24止损,冲高至11.30附近优先兑现；强势放量再看11.69；弱于10.24止损,市价竞价,≤10.81,冲高至11.30附近优先兑现；强势放量再看11.69；弱于10.24止损,冲高至11.30附近优先兑现；强势放量再看11.69；弱于10.24止损,0.976103,0.976103,64.2831,64.2831,0.825836,0.825836,82.3108,82.3108,0.0,0.0863382494935223,0.0863382494935223,up,high,1.0,ehx:model_v1,0.0005699553823629022,0.04908814912787585,0.08281263663904698,0.11653712415021811,0.1650553178957319,10.405929225513065,10.923254480615261,11.297917794732632,11.685431912536261,12.266366965439644,0.9511646758628465,0.9511646758628465,2,29,29,0.8577420460746793,0.0,0.0,,,,,,,,
3,20260609,20260609,20260610,20260611,605069.SH,正和生态,11.34,市价竞价,≤11.85,冲高至12.55附近优先兑现；强势放量再看12.98；弱于11.17止损,冲高至12.55附近优先兑现；强势放量再看12.98；弱于11.17止损,市价竞价,≤11.85,冲高至12.55附近优先兑现；强势放量再看12.98；弱于11.17止损,冲高至12.55附近优先兑现；强势放量再看12.98；弱于11.17止损,0.929343,0.929343,62.8803,62.8803,0.871489,0.871489,81.231,81.231,0.0,0.10707518698154708,0.10707518698154708,up,high,1.0,ehx:model_v1,0.019478889749245165,0.06799708349475811,0.10172157100592924,0.13544605851710037,0.1839642522626142,11.563055998611729,12.13790719782771,12.554232620370744,12.984837840462951,13.630372170238012,0.9790459416911974,0.9790459416911974,3,6,6,0.3021921649086271,0.0,0.0,,,,,,,,
4,20260609,20260609,20260610,20260611,603303.SH,得邦照明,29.37,市价竞价,≤30.33,冲高至31.26附近优先兑现；强势放量再看32.33；弱于28.93止损,冲高至31.26附近优先兑现；强势放量再看32.33；弱于28.93止损,市价竞价,≤30.33,冲高至31.26附近优先兑现；强势放量再看32.33；弱于28.93止损,冲高至31.26附近优先兑现；强势放量再看32.33；弱于28.93止损,0.913689,0.913689,62.4107,62.4107,0.748205,0.748205,77.4053,77.4053,0.0,0.06431616504664756,0.06431616504664756,up,high,1.0,ehx:model_v1,-0.01991018687660316,0.02860800686890979,0.06233249438008091,0.09605698189125203,0.14457517563676586,28.791020730400557,30.2223510634466,31.258965767420037,32.331135946288136,33.93846123062218,0.8937370495274621,0.8937370495274621,4,63,63,0.5926939936135583,0.0,0.0,,,,,,,,
5,20260609,20260609,20260610,20260611,000670.SZ,盈方微,10.04,市价竞价,≤10.42,冲高至10.87附近优先兑现；强势放量再看11.24；弱于9.89止损,冲高至10.87附近优先兑现；强势放量再看11.24；弱于9.89止损,市价竞价,≤10.42,冲高至10.87附近优先兑现；强势放量再看11.24；弱于9.89止损,冲高至10.87附近优先兑现；强势放量再看11.24；弱于9.89止损,0.819457,0.819457,59.5837,59.5837,0.808974,0.808974,74.4486,74.4486,0.0,0.08272209894193246,0.08272209894193246,up,high,1.0,ehx:model_v1,-0.0027643491743881837,0.04575384457112477,0.07947833208229589,0.11320281959346701,0.16172101333898084,10.012284259930174,10.510039664245708,10.870529873377,11.243384754291752,11.80234366705905,0.9440337393419322,0.9440337393419322,5,33,33,0.3488450979048655,0.0,0.0,,,,,,,,
6,20260609,20260609,20260610,20260611,000037.SZ,深南电A,11.39,市价竞价,≤11.90,冲高至12.61附近优先兑现；强势放量再看13.04；弱于11.22止损,冲高至12.61附近优先兑现；强势放量再看13.04；弱于11.22止损,市价竞价,≤11.90,冲高至12.61附近优先兑现；强势放量再看13.04；弱于11.22止损,冲高至12.61附近优先兑现；强势放量再看13.04；弱于11.22止损,0.777955,0.777955,58.3386,58.3386,0.871489,0.871489,74.0401,74.0401,0.0,0.10707518698154708,0.10707518698154708,up,high,1.0,ehx:model_v1,0.019478889749245165,0.06799708349475811,0.10172157100592924,0.13544605851710037,0.1839642522626142,11.6140394906691,12.191425307165575,12.609586379719822,13.042090211893564,13.69047081296393,0.9790459416911974,0.9790459416911974,6,7,7,0.1584081674699636,0.0,0.0,,,,,,,,
7,20260609,20260609,20260610,20260611,603616.SH,韩建河山,7.29,市价竞价,≤7.51,冲高至7.70附近优先兑现；强势放量再看7.96；弱于7.18止损,冲高至7.70附近优先兑现；强势放量再看7.96；弱于7.18止损,市价竞价,≤7.51,冲高至7.70附近优先兑现；强势放量再看7.96；弱于7.18止损,冲高至7.70附近优先兑现；强势放量再看7.96；弱于7.18止损,0.865648,0.865648,60.9694,60.9694,0.703145,0.703145,73.9969,73.9969,0.0,0.056218239066683266,0.056218239066683266,up,high,1.0,ehx:model_v1,-0.027547851542201414,0.020970342203311537,0.05469482971448266,0.08841931722565378,0.1369375109711676,7.091917068526227,7.444487966052975,7.699830962796121,7.963932123469826,8.359854787184423,0.8629998336900134,0.8629998336900134,7,84,84,0.750291778072429,0.0,0.0,,,,,,,,
8,20260609,20260609,20260610,20260611,002051.SZ,中工国际,12.23,市价竞价,≤12.79,冲高至13.59附近优先兑现；强势放量再看14.06；弱于12.05止损,冲高至13.59附近优先兑现；强势放量再看14.06；弱于12.05止损,市价竞价,≤12.79,冲高至13.59附近优先兑现；强势放量再看14.06；弱于12.05止损,冲高至13.59附近优先兑现；强势放量再看14.06；弱于12.05止损,0.749712,0.749712,57.4914,57.4914,0.878136,0.878136,72.8647,72.8647,0.0,0.11118821500307632,0.11118821500307632,up,high,1.0,ehx:model_v1,0.02318722549629318,0.07170541924180612,0.10542990675297725,0.13915439426414838,0.1876725880096622,12.51689304080803,13.139163742933016,13.589831869487623,14.055957734774003,14.7547422222775,0.982510357998617,0.982510357998617,8,1,1,0.1139641480513899,0.0,0.0,,,,,,,,
9,20260609,20260609,20260610,20260611,600186.SH,莲花控股,11.54,市价竞价,≤12.07,冲高至12.82附近优先兑现；强势放量再看13.26；弱于11.37止损,冲高至12.82附近优先兑现；强势放量再看13.26；弱于11.37止损,市价竞价,≤12.07,冲高至12.82附近优先兑现；强势放量再看13.26；弱于11.37止损,冲高至12.82附近优先兑现；强势放量再看13.26；弱于11.37止损,0.749195,0.749195,57.4759,57.4759,0.878136,0.878136,72.8402,72.8402,0.0,0.11118821500307632,0.11118821500307632,up,high,1.0,ehx:model_v1,0.02318722549629318,0.07170541924180612,0.10542990675297725,0.13915439426414838,0.1876725880096622,11.810706924850749,12.397869958581111,12.823112001135499,13.26293967778348,13.922299692974844,0.982510357998617,0.982510357998617,9,3,3,0.113665303045984,0.0,0.0,,,,,,,,
10,20260609,20260609,20260610,20260611,600458.SH,时代新材,15.73,市价竞价,≤16.39,冲高至17.23附近优先兑现；强势放量再看17.82；弱于15.49止损,冲高至17.23附近优先兑现；强势放量再看17.82；弱于15.49止损,市价竞价,≤16.39,冲高至17.23附近优先兑现；强势放量再看17.82；弱于15.49止损,冲高至17.23附近优先兑现；强势放量再看17.82；弱于15.49止损,0.755191,0.755191,57.6557,57.6557,0.858485,0.858485,72.6337,72.6337,0.0,0.09555913584271711,0.09555913584271711,up,high,1.0,ehx:model_v1,0.009022178026894367,0.05754037177240732,0.09126485928357844,0.12498934679474957,0.1735075405402634,15.872560998684103,16.661656954443366,17.23314520680594,17.824235280492857,18.710357688559505,0.9660219026727812,0.9660219026727812,10,11,11,0.2213193026390004,0.0,0.0,,,,,,,,
11,20260609,20260609,20260610,20260611,002354.SZ,天娱数科,8.06,市价竞价,≤8.37,冲高至8.73附近优先兑现；强势放量再看9.03；弱于7.94止损,冲高至8.73附近优先兑现；强势放量再看9.03；弱于7.94止损,市价竞价,≤8.37,冲高至8.73附近优先兑现；强势放量再看9.03；弱于7.94止损,冲高至8.73附近优先兑现；强势放量再看9.03；弱于7.94止损,0.766566,0.766566,57.997,57.997,0.808974,0.808974,71.9362,71.9362,0.0,0.08272209894193246,0.08272209894193246,up,high,1.0,ehx:model_v1,-0.0027643491743881837,0.04575384457112477,0.07947833208229589,0.11320281959346701,0.16172101333898084,8.037750113051516,8.437342598986097,8.726740117471975,9.026063856533021,9.474789836304378,0.9440337393419322,0.9440337393419322,11,35,35,0.3136664597989252,0.0,0.0,,,,,,,,
12,20260609,20260609,20260610,20260611,002515.SZ,金字火腿,7.36,市价竞价,≤7.65,冲高至7.98附近优先兑现；强势放量再看8.25；弱于7.25止损,冲高至7.98附近优先兑现；强势放量再看8.25；弱于7.25止损,市价竞价,≤7.65,冲高至7.98附近优先兑现；强势放量再看8.25；弱于7.25止损,冲高至7.98附近优先兑现；强势放量再看8.25；弱于7.25止损,0.744551,0.744551,57.3365,57.3365,0.821121,0.821121,71.1942,71.1942,0.0,0.08372501610918101,0.08372501610918101,up,high,1.0,ehx:model_v1,-0.0018384855962518126,0.04667970814926114,0.08040419566043226,0.11412868317160338,0.1626468769171172,7.346481176900196,7.71170759412638,7.976216118563572,8.249797180910946,8.659931474414735,0.9460915990396205,0.9460915990396205,12,30,30,0.2940199032683239,0.0,0.0,,,,,,,,
13,20260609,20260609,20260610,20260611,002583.SZ,海能达,9.39,市价竞价,≤9.75,冲高至10.17附近优先兑现；强势放量再看10.52；弱于9.25止损,冲高至10.17附近优先兑现；强势放量再看10.52；弱于9.25止损,市价竞价,≤9.75,冲高至10.17附近优先兑现；强势放量再看10.52；弱于9.25止损,冲高至10.17附近优先兑现；强势放量再看10.52；弱于9.25止损,0.74936,0.74936,57.4808,57.4808,0.808974,0.808974,71.119,71.119,0.0,0.08272209894193246,0.08272209894193246,up,high,1.0,ehx:model_v1,-0.0027643491743881837,0.04575384457112477,0.07947833208229589,0.11320281959346701,0.16172101333898084,9.364078605651827,9.829608809488766,10.166760509064746,10.515476378764896,11.038247712518377,0.9440337393419322,0.9440337393419322,13,34,34,0.303469321353369,0.0,0.0,,,,,,,,
14,20260609,20260609,20260610,20260611,603150.SH,万朗磁塑,74.58,市价竞价,≤77.69,冲高至81.58附近优先兑现；强势放量再看84.38；弱于73.46止损,冲高至81.58附近优先兑现；强势放量再看84.38；弱于73.46止损,市价竞价,≤77.69,冲高至81.58附近优先兑现；强势放量再看84.38；弱于73.46止损,冲高至81.58附近优先兑现；强势放量再看84.38；弱于73.46止损,0.711734,0.711734,56.352,56.352,0.851674,0.851674,70.3992,70.3992,0.0,0.09383342637040865,0.09383342637040865,up,high,1.0,ehx:model_v1,0.007445750062831408,0.05596394380834436,0.08968843131951548,0.12341291883068661,0.17193111257620042,75.13737650773004,78.8727913493253,81.57809693870507,84.37619344123405,88.57091116903864,0.963574946747824,0.963574946747824,14,13,13,0.2086174086269855,0.0,0.0,,,,,,,,
15,20260609,20260609,20260610,20260611,600110.SH,诺德股份,11.81,市价竞价,≤12.35,冲高至13.12附近优先兑现；强势放量再看13.57；弱于11.63止损,冲高至13.12附近优先兑现；强势放量再看13.57；弱于11.63止损,市价竞价,≤12.35,冲高至13.12附近优先兑现；强势放量再看13.57；弱于11.63止损,冲高至13.12附近优先兑现；强势放量再看13.57；弱于11.63止损,0.677471,0.677471,55.3241,55.3241,0.878136,0.878136,69.4333,69.4333,0.0,0.11118821500307632,0.11118821500307632,up,high,1.0,ehx:model_v1,0.02318722549629318,0.07170541924180612,0.10542990675297725,0.13915439426414838,0.1876725880096622,12.08704062239925,12.687941439414466,13.123132819186331,13.573251091388467,14.248038074006319,0.982510357998617,0.982510357998617,15,2,2,0.0753892073040199,0.0,0.0,,,,,,,,
