rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,in_p10,in_p50,err_r_p50,err_close_p50,e_premium,actual_ret,hit_up
1,20260303,20260305,600938.SH,中国海油,,,,,,,,,,,
2,20260303,20260305,600722.SH,金牛化工,,,,,,,,,,,
3,20260303,20260305,300164.SZ,通源石油,,,,,,,,,,,
4,20260303,20260305,601808.SH,中海油服,,,,,,,,,,,
5,20260303,20260305,002207.SZ,准油股份,,,,,,,,,,,
6,20260303,20260305,603619.SH,中曼石油,,,,,,,,,,,
7,20260303,20260305,603318.SH,水发燃气,,,,,,,,,,,
8,20260303,20260305,600968.SH,海油发展,,,,,,,,,,,
9,20260303,20260305,600339.SH,中油工程,,,,,,,,,,,
10,20260303,20260305,000407.SZ,胜利股份,,,,,,,,,,,
11,20260303,20260305,600367.SH,红星发展,,,,,,,,,,,
12,20260303,20260305,300332.SZ,天壕能源,,,,,,,,,,,
13,20260303,20260305,600028.SH,中国石化,,,,,,,,,,,
14,20260303,20260305,600635.SH,大众公用,,,,,,,,,,,
15,20260303,20260305,600871.SH,石化油服,,,,,,,,,,,
16,20260303,20260305,600714.SH,金瑞矿业,,,,,,,,,,,
17,20260303,20260305,002490.SZ,山东墨龙,,,,,,,,,,,
18,20260303,20260305,600026.SH,中远海能,,,,,,,,,,,
19,20260303,20260305,601975.SH,招商南油,,,,,,,,,,,
20,20260303,20260305,000554.SZ,泰山石油,,,,,,,,,,,
21,20260303,20260305,600759.SH,洲际油气,,,,,,,,,,,
22,20260303,20260305,601857.SH,中国石油,,,,,,,,,,,
23,20260303,20260305,002506.SZ,协鑫集成,,,,,,,,,,,
24,20260303,20260305,600798.SH,宁波海运,,,,,,,,,,,
25,20260303,20260305,301302.SZ,华如科技,,,,,,,,,,,
26,20260303,20260305,000421.SZ,南京公用,,,,,,,,,,,
27,20260303,20260305,603353.SH,和顺石油,,,,,,,,,,,
28,20260303,20260305,920014.BJ,特瑞斯,,,,,,,,,,,
29,20260303,20260305,600108.SH,亚盛集团,,,,,,,,,,,
30,20260303,20260305,603778.SH,国晟科技,,,,,,,,,,,
