rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up,open_T_actual,high_T_actual,close_T_actual,t_limit_price_est,t_open_ret,t_intraday_ret,t_close_ret,t_up_actual,t_high_profit_hit,t_limitup_actual,t_touch_limitup_actual,t_limitup_verify_ready,t_limitup_verify_reason,t_limitup_verify_trade_date,d_analysis_trade_date
1,20260605,20260605,20260608,20260609,603500.SH,祥和实业,12.23,市价竞价,≤12.80,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,市价竞价,≤12.80,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,0.98038,0.98038,64.4114,64.4114,0.855491,0.855491,83.2553,83.2553,0.98038,64.4114,0.855491,83.2553,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,13.37,0.0891214414147706,0.1133286853070031,0.0,0.12,0.12,up,high,True,True,-0.0242072438922324,-0.3276000000000021,0.0932134096484054,0.0932134096484054,0.0267865903515945,1,是,13.0,13.45,13.45,13.45,0.06295993458708082,0.0997547015535567,0.0997547015535567,1,1,1,1,1,ok,20260608,20260605
2,20260605,20260605,20260608,20260609,600382.SH,广东明珠,9.68,市价竞价,≤10.13,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,市价竞价,≤10.13,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,0.949332,0.949332,63.48,63.48,0.855491,0.855491,81.7805,81.7805,0.949332,63.48,0.855491,81.7805,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,8.39,-0.1430213808093706,0.1133286853070031,0.0,0.12,0.12,up,high,False,False,-0.2563500661163738,-2.451600000000001,-0.1332644628099172,0.1332644628099172,0.2532644628099172,0,否,9.61,9.66,8.71,10.65,-0.00723140495867769,-0.0020661157024792765,-0.1002066115702478,0,0,0,0,1,ok,20260608,20260605
3,20260605,20260605,20260608,20260609,003036.SZ,泰坦股份,82.35,市价竞价,≤85.69,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,市价竞价,≤85.69,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,0.945748,0.945748,63.3724,63.3724,0.789898,0.789898,79.9705,79.9705,0.945748,63.3724,0.789898,79.9705,,,,,,,,rule_fallback:model_missing,0.9714634142152606,0.9714634142152606,81.95,-0.0048691514338104,0.0951375010385745,0.0,0.0998100697566066,0.0998100697566066,up,high,False,False,-0.100006652472385,-8.619359244456547,-0.004857316332726,0.004857316332726,0.1046673860893326,0,否,81.12,82.33,74.5,90.58,-0.014936247723132845,-0.00024286581663623963,-0.09532483302975103,0,0,0,0,1,ok,20260608,20260605
4,20260605,20260605,20260608,20260609,600996.SH,贵广网络,9.38,市价竞价,≤9.82,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,市价竞价,≤9.82,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,0.900261,0.900261,62.0078,62.0078,0.855491,0.855491,79.4497,79.4497,0.900261,62.0078,0.855491,79.4497,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,8.83,-0.0604247484022647,0.1133286853070031,0.0,0.12,0.12,up,high,False,False,-0.1737534337092679,-1.675600000000001,-0.05863539445629,0.05863539445629,0.17863539445629,0,否,9.27,9.64,8.94,10.32,-0.011727078891258125,0.02771855010660973,-0.046908315565032166,0,1,0,0,1,ok,20260608,20260605
5,20260605,20260605,20260608,20260609,603725.SH,天安新材,12.84,市价竞价,≤13.44,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,市价竞价,≤13.44,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,0.820249,0.820249,59.6075,59.6075,0.855491,0.855491,75.6491,75.6491,0.820249,59.6075,0.855491,75.6491,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,11.8,-0.0844657667901959,0.1133286853070031,0.0,0.12,0.12,up,high,False,False,-0.1977944520971991,-2.5808,-0.0809968847352023,0.0809968847352023,0.2009968847352023,0,否,12.2,12.92,12.69,14.12,-0.049844236760124616,0.006230529595015577,-0.011682242990654235,0,0,0,0,1,ok,20260608,20260605
6,20260605,20260605,20260608,20260609,000520.SZ,凤凰航运,4.6,市价竞价,≤4.81,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,市价竞价,≤4.81,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,0.810911,0.810911,59.3273,59.3273,0.855491,0.855491,75.2056,75.2056,0.810911,59.3273,0.855491,75.2056,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,4.39,-0.0467270764079692,0.1133286853070031,0.0,0.12,0.12,up,high,False,False,-0.1600557617149724,-0.7620000000000005,-0.0456521739130434,0.0456521739130434,0.1656521739130434,0,否,4.8,5.0,4.76,5.06,0.04347826086956519,0.0869565217391306,0.034782608695652195,1,1,0,0,1,ok,20260608,20260605
7,20260605,20260605,20260608,20260609,002613.SZ,北玻股份,4.96,市价竞价,≤5.19,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,市价竞价,≤5.19,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,0.671896,0.671896,55.1569,55.1569,0.855491,0.855491,68.6023,68.6023,0.671896,55.1569,0.855491,68.6023,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,5.19,0.0453279564409611,0.1133286853070031,0.0,0.12,0.12,up,high,True,False,-0.068000728866042,-0.3651999999999997,0.0463709677419355,0.0463709677419355,0.0736290322580645,0,是,5.22,5.46,5.46,5.46,0.05241935483870974,0.10080645161290325,0.10080645161290325,1,1,1,1,1,ok,20260608,20260605
8,20260605,20260605,20260608,20260609,600063.SH,皖维高新,8.22,限价竞价,≤8.60,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,限价竞价,≤8.60,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,0.649344,0.649344,54.4803,54.4803,0.855491,0.855491,67.5311,67.5311,0.649344,54.4803,0.855491,67.5311,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,7.96,-0.0321412092117969,0.1133286853070031,0.0,0.12,0.12,up,high,False,False,-0.1454698945188001,-1.2464000000000022,-0.0316301703163017,0.0316301703163017,0.1516301703163017,0,否,7.8,8.15,7.7,9.04,-0.051094890510948954,-0.008515815085158196,-0.06326034063260344,0,0,0,0,1,ok,20260608,20260605
9,20260605,20260605,20260608,20260609,600293.SH,三峡新材,3.96,限价竞价,≤4.14,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,限价竞价,≤4.14,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,0.589561,0.589561,52.6868,52.6868,0.855491,0.855491,64.6914,64.6914,0.589561,52.6868,0.855491,64.6914,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,4.03,0.0175223506922024,0.1133286853070031,0.0,0.12,0.12,up,high,False,False,-0.0958063346148006,-0.4051999999999998,0.0176767676767677,0.0176767676767677,0.1023232323232322,0,是,3.88,4.36,4.13,4.36,-0.02020202020202022,0.101010101010101,0.04292929292929282,1,1,0,1,1,ok,20260608,20260605
10,20260605,20260605,20260608,20260609,000068.SZ,华控赛格,3.56,限价竞价,≤3.72,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,限价竞价,≤3.72,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,0.585814,0.585814,52.5744,52.5744,0.814154,0.814154,63.48,63.48,0.585814,52.5744,0.814154,63.48,,,,,,,,rule_fallback:model_missing,0.9839494951988774,0.9839494951988774,3.79,0.0626054742303959,0.107157528694151,0.0,0.1131095873687276,0.1131095873687276,up,high,True,False,-0.044552054463755,-0.172670131032671,0.0646067415730338,0.0646067415730338,0.0485028457956938,1,是,3.5,3.92,3.92,3.92,-0.016853932584269704,0.101123595505618,0.101123595505618,1,1,1,1,1,ok,20260608,20260605
