rank,trade_date,target_date,ts_code,name,close_T,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
1,20260608,20260610,000517.SZ,荣安地产,2.33,1.97,-0.16783472482771208,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.28116341013471524,-0.6396000000000004,-0.15450643776824036,0.15450643776824036,0.27450643776824035,0,否
2,20260608,20260610,601588.SH,北辰实业,2.22,1.98,-0.11441035117774434,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.22773903648474753,-0.5064000000000006,-0.10810810810810823,0.10810810810810823,0.22810810810810822,0,否
3,20260608,20260610,000785.SZ,居然智家,2.72,2.37,-0.1377419251608661,0.10552486222815231,0.0,0.11129373341773717,0.11129373341773717,up,high,False,False,-0.2432667873890184,-0.6527189548962449,-0.12867647058823528,0.12867647058823528,0.23997020400597247,0,否
4,20260608,20260610,603186.SH,华正新材,136.03,163.32,0.18283601680603628,0.09286694908791339,0.0,0.09731572669672661,0.09731572669672661,up,high,False,False,0.0899690677181229,14.052141697444284,0.20061751084319623,0.20061751084319623,0.10330178414646962,1,是
5,20260608,20260610,600539.SH,狮头股份,15.4,14.87,-0.03502174894751981,0.09000678350124632,0.0,0.09418170606300232,0.09418170606300232,up,high,False,False,-0.12502853244876613,-1.9803982733702359,-0.034415584415584455,0.034415584415584455,0.12859729047858676,0,否
6,20260608,20260610,603135.SH,中重科技,15.43,14.22,-0.08166424199997455,0.09000678350124632,0.0,0.09418170606300232,0.09418170606300232,up,high,False,False,-0.17167102550122088,-2.663223724552127,-0.07841866493843153,0.07841866493843153,0.17260037100143383,0,否
7,20260608,20260610,000068.SZ,华控赛格,3.92,3.54,-0.10196492665668802,0.08679739075696255,0.0,0.09067567635718583,0.09067567635718583,up,high,False,False,-0.18876231741365057,-0.7354486513201683,-0.09693877551020402,0.09693877551020402,0.18761445186738984,0,否
8,20260608,20260610,603877.SH,太平鸟,14.06,13.38,-0.04957283168243643,0.08142454630006406,0.0,0.08483135995589285,0.08483135995589285,up,high,False,False,-0.1309973779825005,-1.872728920979851,-0.0483641536273115,0.0483641536273115,0.13319551358320436,0,否
9,20260608,20260610,002982.SZ,湘佳股份,13.48,12.8,-0.051761934558589455,0.08142454630006406,0.0,0.08483135995589285,0.08483135995589285,up,high,False,False,-0.1331864808586535,-1.8235267322054334,-0.05044510385756673,0.05044510385756673,0.1352764638134596,0,否
10,20260608,20260610,603500.SH,祥和实业,13.45,12.64,-0.062112717329136626,0.08142454630006406,0.0,0.08483135995589285,0.08483135995589285,up,high,False,False,-0.1435372636292007,-1.9509817914067558,-0.06022304832713743,0.06022304832713743,0.1450544082830303,0,否
11,20260608,20260610,603278.SH,大业股份,14.14,12.89,-0.09255584351733068,0.08142454630006406,0.0,0.08483135995589285,0.08483135995589285,up,high,False,False,-0.17398038981739472,-2.449515429776323,-0.0884016973125884,0.0884016973125884,0.17323305726848126,0,否
12,20260608,20260610,000970.SZ,中科三环,12.63,14.52,0.13945207303425014,0.07229055285896237,0.0,0.07496763361254417,0.07496763361254417,up,high,True,False,0.06716152017528777,0.9431587874735659,0.14964370546318273,0.14964370546318273,0.07467607185063856,1,是
13,20260608,20260610,301302.SZ,华如科技,30.12,32.37,0.07204266500646009,0.07155290932632248,0.0,0.07417498307252621,0.07417498307252621,up,high,True,True,0.0004897556801376074,0.015849509855506483,0.07470119521912344,0.07470119521912344,0.0005262121465972325,1,是
14,20260608,20260610,001696.SZ,宗申动力,15.95,19.05,0.1776082723418565,0.0702284705012594,0.0,0.07275324572992824,0.07275324572992824,up,high,False,False,0.1073798018405971,1.9395857306076465,0.19435736677116,0.19435736677116,0.12160412104123176,1,是
15,20260608,20260610,603669.SH,灵康药业,4.48,4.61,0.028604810581663417,0.06847872950196723,0.0,0.07087784660359732,0.07087784660359732,up,high,True,False,-0.039873918920303814,-0.18753275278411596,0.029017857142857206,0.029017857142857206,0.04185998946074011,0,是
16,20260608,20260610,002747.SZ,埃斯顿,34.12,35.8,0.04806417078317633,0.06763971700341204,0.0,0.06997974351841213,0.06997974351841213,up,high,True,True,-0.019575546220235704,-0.7077088488482204,0.049237983587338885,0.049237983587338885,0.020741759931073245,1,是
17,20260608,20260610,301195.SZ,北路智控,33.13,35.39,0.06599007804556743,0.06763971700341204,0.0,0.06997974351841213,0.06997974351841213,up,high,True,True,-0.0016496389578446041,-0.05842890276499446,0.06821611832176266,0.06821611832176266,0.0017636251966494654,1,是
18,20260608,20260610,002354.SZ,天娱数科,7.33,8.87,0.19069928042292789,0.06562398265196093,0.0,0.06782512089701388,0.06782512089701388,up,high,False,False,0.12507529777096696,1.0428418638248864,0.21009549795361515,0.21009549795361515,0.14227037705660128,1,是
19,20260608,20260610,002490.SZ,山东墨龙,8.23,7.78,-0.05622967649867819,0.06562398265196093,0.0,0.06782512089701388,0.06782512089701388,up,high,False,False,-0.12185365915063912,-1.0082007449824255,-0.054678007290400954,0.054678007290400954,0.12250312818741484,0,否
20,20260608,20260610,600721.SH,百花医药,7.79,8.02,0.02909756199576612,0.06562398265196093,0.0,0.06782512089701388,0.06782512089701388,up,high,True,False,-0.03652642065619481,-0.2983576917877393,0.029525032092426073,0.029525032092426073,0.03830008880458781,0,是
21,20260608,20260610,600403.SH,大有能源,8.95,7.65,-0.15694788444831936,0.0639712002855512,0.0,0.0660616960469617,0.0660616960469617,up,high,False,False,-0.22091908473387056,-1.891252179620306,-0.14525139664804454,0.14525139664804454,0.21131309269500625,0,否
22,20260608,20260610,002164.SZ,宁波东力,14.66,13.94,-0.050360291126127714,0.06343755281426772,0.0,0.06549294668796003,0.06549294668796003,up,high,False,False,-0.11379784394039544,-1.6801265984454954,-0.049113233287858216,0.049113233287858216,0.11460617997581825,0,否
23,20260608,20260610,600505.SH,西昌电力,14.92,14.38,-0.036864242482714075,0.06343755281426772,0.0,0.06549294668796003,0.06549294668796003,up,high,False,False,-0.1003017952969818,-1.5171547645843635,-0.036193029490616535,0.036193029490616535,0.10168597617857657,0,否
24,20260608,20260610,300105.SZ,龙源技术,7.18,6.86,-0.04559194132233883,0.06273353191657782,0.0,0.06474308137854694,0.06474308137854694,up,high,False,False,-0.10832547323891666,-0.7848553242979666,-0.04456824512534807,0.04456824512534807,0.10931132650389501,0,否
25,20260608,20260610,603859.SH,能科科技,49.87,57.65,0.14497062715703687,0.057352630467163275,0.0,0.05902919051721925,0.05902919051721925,up,high,False,False,0.0876179966898736,4.836214268906275,0.1560056145979547,0.1560056145979547,0.09697642408073545,1,是
26,20260608,20260610,000833.SZ,粤桂股份,23.68,25.54,0.07561504058858837,0.05691059212143214,0.0,0.05856116245655785,0.05856116245655785,up,high,True,True,0.01870444846715623,0.47327167302870876,0.07854729729729737,0.07854729729729737,0.019986134840739522,1,是
27,20260608,20260610,920578.BJ,巨能股份,22.75,23.23,0.020879401385358366,0.056590240392806065,0.0,0.05822210487005009,0.05822210487005009,up,high,True,False,-0.0357108390074477,-0.8445528857936431,0.021098901098901113,0.021098901098901113,0.03712320377114898,0,是
28,20260608,20260610,001317.SZ,三羊马,56.86,58.1,0.02157355763501177,0.056429457852376415,0.0,0.05805197490902045,0.05805197490902045,up,high,True,False,-0.03485590021736465,-2.060835293326903,0.021807949349278877,0.021807949349278877,0.03624402555974157,0,是
29,20260608,20260610,003009.SZ,中天火箭,60.94,56.87,-0.06912181223885475,0.056429457852376415,0.0,0.05805197490902045,0.05805197490902045,up,high,False,False,-0.12555127009123115,-7.6076873509557075,-0.06678700361010836,0.06678700361010836,0.12483897851912881,0,否
30,20260608,20260610,002046.SZ,国机精工,60.37,59.18,-0.019908645836271215,0.056429457852376415,0.0,0.05805197490902045,0.05805197490902045,up,high,True,False,-0.07633810368864763,-4.694597725257566,-0.019711777372867334,0.019711777372867334,0.07776375228188778,0,否
