rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
1,20260609,20260609,20260610,20260611,603065.SH,宿迁联盛,10.4,市价竞价,≤10.86,冲高至11.51附近优先兑现；强势放量再看11.90；弱于10.24止损,冲高至11.51附近优先兑现；强势放量再看11.90；弱于10.24止损,市价竞价,≤10.86,冲高至11.51附近优先兑现；强势放量再看11.90；弱于10.24止损,冲高至11.51附近优先兑现；强势放量再看11.90；弱于10.24止损,0.982605,0.982605,64.4782,64.4782,0.855275,0.855275,83.3556,83.3556,0.9784882640340069,0.9784882640340069,12.36,0.17265964588221772,0.10117410272152276,0.0,0.1064692643050794,0.1064692643050794,up,high,True,False,0.07148554316069496,0.852719651227174,0.18846153846153846,0.18846153846153846,0.08199227415645906,1,是
2,20260609,20260609,20260610,20260611,603616.SH,韩建河山,7.29,市价竞价,≤7.60,冲高至8.03附近优先兑现；强势放量再看8.30；弱于7.18止损,冲高至8.03附近优先兑现；强势放量再看8.30；弱于7.18止损,市价竞价,≤7.60,冲高至8.03附近优先兑现；强势放量再看8.30；弱于7.18止损,冲高至8.03附近优先兑现；强势放量再看8.30；弱于7.18止损,0.976316,0.976316,64.2895,64.2895,0.829409,0.829409,82.4103,82.4103,0.9726808335150015,0.9726808335150015,6.56,-0.10551294306456918,0.09608705895338167,0.0,0.10085489909760699,0.10085489909760699,up,high,False,False,-0.20160000201795086,-1.4652322144215555,-0.10013717421124835,0.10013717421124835,0.20099207330885532,0,否
3,20260609,20260609,20260610,20260611,605069.SH,正和生态,11.34,市价竞价,≤11.87,冲高至12.66附近优先兑现；强势放量再看13.09；弱于11.17止损,冲高至12.66附近优先兑现；强势放量再看13.09；弱于11.17止损,市价竞价,≤11.87,冲高至12.66附近优先兑现；强势放量再看13.09；弱于11.17止损,冲高至12.66附近优先兑现；强势放量再看13.09；弱于11.17止损,0.899338,0.899338,61.9801,61.9801,0.868291,0.868291,79.7258,79.7258,0.9862102238702412,0.9862102238702412,11.55,0.018349138668196617,0.11016078286734396,0.0,0.11645756327709117,0.11645756327709117,up,high,False,False,-0.09181164419914734,-1.110628767562213,0.0185185185185186,0.0185185185185186,0.09793904475857257,0,是
4,20260609,20260609,20260610,20260611,002636.SZ,金安国纪,70.38,市价竞价,≤73.23,冲高至77.00附近优先兑现；强势放量再看79.64；弱于69.32止损,冲高至77.00附近优先兑现；强势放量再看79.64；弱于69.32止损,市价竞价,≤73.23,冲高至77.00附近优先兑现；强势放量再看79.64；弱于69.32止损,冲高至77.00附近优先兑现；强势放量再看79.64；弱于69.32止损,0.923895,0.923895,62.7168,62.7168,0.814426,0.814426,79.5456,79.5456,0.9638365156330294,0.9638365156330294,84.8,0.18638641090441832,0.0898527247876184,0.0,0.0940131508209263,0.0940131508209263,up,high,False,False,0.09653368611679992,7.803354445223206,0.20488775220233024,0.20488775220233024,0.11087460138140394,1,是
5,20260609,20260609,20260610,20260611,000670.SZ,盈方微,10.04,市价竞价,≤10.47,冲高至11.07附近优先兑现；强势放量再看11.45；弱于9.89止损,冲高至11.07附近优先兑现；强势放量再看11.45；弱于9.89止损,市价竞价,≤10.47,冲高至11.07附近优先兑现；强势放量再看11.45；弱于9.89止损,冲高至11.07附近优先兑现；强势放量再看11.45；弱于9.89止损,0.866179,0.866179,60.9854,60.9854,0.841749,0.841749,77.4872,77.4872,0.9751096851738668,0.9751096851738668,9.42,-0.06374202567531138,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,False,False,-0.1618342340830981,-1.6547675020878412,-0.06175298804780871,0.06175298804780871,0.16481748028763354,0,否
6,20260609,20260609,20260610,20260611,603303.SH,得邦照明,29.37,市价竞价,≤30.39,冲高至31.54附近优先兑现；强势放量再看32.62；弱于28.93止损,冲高至31.54附近优先兑现；强势放量再看32.62；弱于28.93止损,市价竞价,≤30.39,冲高至31.54附近优先兑现；强势放量再看32.62；弱于28.93止损,冲高至31.54附近优先兑现；强势放量再看32.62；弱于28.93止损,0.900801,0.900801,62.024,62.024,0.758596,0.758596,77.0529,77.0529,0.9230403899514177,0.9230403899514177,32.3,0.09509348501808193,0.07129118810219912,0.0,0.07389388546724299,0.07389388546724299,up,high,True,True,0.023802296915882815,0.7597365838270669,0.09976166155941413,0.09976166155941413,0.02586777609217114,1,是
7,20260609,20260609,20260610,20260611,605589.SH,圣泉集团,54.64,市价竞价,≤56.49,冲高至58.59附近优先兑现；强势放量再看60.60；弱于53.82止损,冲高至58.59附近优先兑现；强势放量再看60.60；弱于53.82止损,市价竞价,≤56.49,冲高至58.59附近优先兑现；强势放量再看60.60；弱于53.82止损,冲高至58.59附近优先兑现；强势放量再看60.60；弱于53.82止损,0.892944,0.892944,61.7883,61.7883,0.736358,0.736358,76.1238,76.1238,0.9188829996082765,0.9188829996082765,61.0,0.11010764891077666,0.0698798697979121,0.0,0.07237934836817674,0.07237934836817674,up,high,True,False,0.04022777911286457,2.405192405162822,0.11639824304538804,0.11639824304538804,0.044018894677211304,1,是
8,20260609,20260609,20260610,20260611,002354.SZ,天娱数科,8.06,市价竞价,≤8.41,冲高至8.89附近优先兑现；强势放量再看9.20；弱于7.94止损,冲高至8.89附近优先兑现；强势放量再看9.20；弱于7.94止损,市价竞价,≤8.41,冲高至8.89附近优先兑现；强势放量再看9.20；弱于7.94止损,冲高至8.89附近优先兑现；强势放量再看9.20；弱于7.94止损,0.824036,0.824036,59.7211,59.7211,0.841749,0.841749,75.4854,75.4854,0.9751096851738668,0.9751096851738668,7.98,-0.009975145056819509,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,False,False,-0.10806735346460622,-0.9106998074529891,-0.00992555831265507,0.00992555831265507,0.11299005055247992,0,否
9,20260609,20260609,20260610,20260611,001269.SZ,欧晶科技,28.41,市价竞价,≤29.42,冲高至30.57附近优先兑现；强势放量再看31.62；弱于27.98止损,冲高至30.57附近优先兑现；强势放量再看31.62；弱于27.98止损,市价竞价,≤29.42,冲高至30.57附近优先兑现；强势放量再看31.62；弱于27.98止损,冲高至30.57附近优先兑现；强势放量再看31.62；弱于27.98止损,0.854573,0.854573,60.6372,60.6372,0.765638,0.765638,75.0332,75.0332,0.928592926125465,0.928592926125465,28.32,-0.0031729270405774974,0.0732695726927781,0.0,0.07602056358212173,0.07602056358212173,up,high,True,False,-0.0764424997333556,-2.249744211368075,-0.0031678986272438703,0.0031678986272438703,0.0791884622093656,0,否
10,20260609,20260609,20260610,20260611,002583.SZ,海能达,9.39,市价竞价,≤9.79,冲高至10.36附近优先兑现；强势放量再看10.71；弱于9.25止损,冲高至10.36附近优先兑现；强势放量再看10.71；弱于9.25止损,市价竞价,≤9.79,冲高至10.36附近优先兑现；强势放量再看10.71；弱于9.25止损,冲高至10.36附近优先兑现；强势放量再看10.71；弱于9.25止损,0.810017,0.810017,59.3005,59.3005,0.841749,0.841749,74.8195,74.8195,0.9751096851738668,0.9751096851738668,9.28,-0.01178374642206245,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,False,False,-0.10987595482984916,-1.0777755821319577,-0.011714589989350488,0.011714589989350488,0.11477908222917534,0,否
11,20260609,20260609,20260610,20260611,002515.SZ,金字火腿,7.36,市价竞价,≤7.68,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,市价竞价,≤7.68,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,冲高至8.12附近优先兑现；强势放量再看8.40；弱于7.25止损,0.796276,0.796276,58.8883,58.8883,0.841749,0.841749,74.1669,74.1669,0.9751096851738668,0.9751096851738668,7.53,0.022835109071017358,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,True,False,-0.07525709933676936,-0.5885546628851115,0.02309782608695654,0.02309782608695654,0.07996666615286831,0,是
12,20260609,20260609,20260610,20260611,000920.SZ,沃顿科技,12.98,市价竞价,≤13.58,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,市价竞价,≤13.58,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,冲高至14.47附近优先兑现；强势放量再看14.97；弱于12.79止损,0.783691,0.783691,58.5107,58.5107,0.864258,0.864258,74.1318,74.1318,0.9851112589721895,0.9851112589721895,13.58,0.04518841085460611,0.10865188360454432,0.0,0.11477421160634747,0.11477421160634747,up,high,True,False,-0.06346347274993822,-0.88976926665039,0.046224961479198745,0.046224961479198745,0.06854925012714873,0,是
13,20260609,20260609,20260610,20260611,600183.SH,生益科技,147.47,市价竞价,≤154.46,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,市价竞价,≤154.46,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,冲高至165.11附近优先兑现；强势放量再看170.78；弱于145.26止损,0.772679,0.772679,58.1804,58.1804,0.881042,0.881042,74.0283,74.0283,0.9880985173821161,0.9880985173821161,149.73,0.01520890688677807,0.11301473618524344,0.0,0.11964843217372191,0.11964843217372191,up,high,False,False,-0.09780582929846536,-15.384554292658777,0.015325150878144678,0.015325150878144678,0.10432328129557723,0,是
