rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up,open_T_actual,high_T_actual,close_T_actual,t_limit_price_est,t_limitup_actual,t_touch_limitup_actual,t_limitup_verify_ready,t_limitup_verify_reason,t_limitup_verify_trade_date,d_analysis_trade_date
1,20260610,20260610,20260611,20260612,603065.SH,宿迁联盛,11.44,TOP10,1,1,TOP10,市价竞价,≤11.98,市价竞价,≤11.98,冲高至12.81附近优先兑现；强势放量再看13.25；弱于11.27止损,冲高至12.81附近优先兑现；强势放量再看13.25；弱于11.27止损,市价竞价,≤11.98,市价竞价,≤11.98,冲高至12.81附近优先兑现；强势放量再看13.25；弱于11.27止损,冲高至12.81附近优先兑现；强势放量再看13.25；弱于11.27止损,0.99,0.99,64.7,64.7,0.877574,0.877574,84.2643,84.2643,0.99,64.7,0.877574,84.2643,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,13.6,0.17295380679035444,0.11332868530700317,0.0,0.12,0.12,up,high,True,False,0.059625121483351265,0.7871999999999986,0.18881118881118875,0.18881118881118875,0.06881118881118875,1,是,12.36,12.36,12.36,12.58,0,0,1,ok,20260611,20260610
2,20260610,20260610,20260611,20260612,000029.SZ,深深房Ａ,26.99,TOP10,1,1,TOP10,市价竞价,≤28.02,市价竞价,≤28.02,冲高至29.33附近优先兑现；强势放量再看30.33；弱于26.59止损,冲高至29.33附近优先兑现；强势放量再看30.33；弱于26.59止损,市价竞价,≤28.02,市价竞价,≤28.02,冲高至29.33附近优先兑现；强势放量再看30.33；弱于26.59止损,冲高至29.33附近优先兑现；强势放量再看30.33；弱于26.59止损,0.918443,0.918443,62.5533,62.5533,0.790008,0.790008,78.6763,78.6763,0.918443,62.5533,0.790008,78.6763,,,,,,,,rule_fallback:model_missing,0.9515319099772381,0.9515319099772381,25.34,-0.0630822521369202,0.0829946002711496,0.0,0.08653594153292744,0.08653594153292744,up,high,False,False,-0.1460768524080698,-3.985605061973711,-0.06113375324194137,0.06113375324194137,0.1476696947748688,0,否,26.86,28.33,25.46,29.69,0,0,1,ok,20260611,20260610
3,20260610,20260610,20260611,20260612,002119.SZ,康强电子,28.36,TOP10,1,1,TOP10,市价竞价,≤29.53,市价竞价,≤29.53,冲高至31.11附近优先兑现；强势放量再看32.17；弱于27.93止损,冲高至31.11附近优先兑现；强势放量再看32.17；弱于27.93止损,市价竞价,≤29.53,市价竞价,≤29.53,冲高至31.11附近优先兑现；强势放量再看32.17；弱于27.93止损,冲高至31.11附近优先兑现；强势放量再看32.17；弱于27.93止损,0.895628,0.895628,61.8688,61.8688,0.820005,0.820005,78.3424,78.3424,0.895628,61.8688,0.820005,78.3424,,,,,,,,rule_fallback:model_missing,0.967777778562285,0.967777778562285,31.96,0.11950541923414719,0.09245462995343987,0.0,0.0968633756889474,0.0968633756889474,up,high,True,True,0.027050789280707324,0.8529546654614535,0.12693935119887167,0.12693935119887167,0.030075975509924274,1,是,29.0,31.2,31.2,31.2,1,1,1,ok,20260611,20260610
4,20260610,20260610,20260611,20260612,600981.SH,苏豪汇鸿,2.71,TOP10,1,1,TOP10,市价竞价,≤2.84,市价竞价,≤2.84,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,市价竞价,≤2.84,市价竞价,≤2.84,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,0.851884,0.851884,60.5565,60.5565,0.877574,0.877574,77.7038,77.7038,0.851884,60.5565,0.877574,77.7038,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,2.75,0.014652276786870415,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.09867640852013276,-0.2852000000000001,0.014760147601476037,0.014760147601476037,0.10523985239852396,0,是,2.74,2.89,2.78,2.98,0,0,1,ok,20260611,20260610
5,20260610,20260610,20260611,20260612,002354.SZ,天娱数科,8.87,TOP10,1,1,TOP10,市价竞价,≤9.20,市价竞价,≤9.20,冲高至9.61附近优先兑现；强势放量再看9.94；弱于8.74止损,冲高至9.61附近优先兑现；强势放量再看9.94；弱于8.74止损,市价竞价,≤9.20,市价竞价,≤9.20,冲高至9.61附近优先兑现；强势放量再看9.94；弱于8.74止损,冲高至9.61附近优先兑现；强势放量再看9.94；弱于8.74止损,0.838933,0.838933,60.168,60.168,0.770138,0.770138,74.4028,74.4028,0.838933,60.168,0.770138,74.4028,,,,,,,,rule_fallback:model_missing,0.9450111479444243,0.9450111479444243,7.52,-0.16510865835973965,0.07991466807948283,0.0,0.08319463265288751,0.08319463265288751,up,high,False,False,-0.24502332643922248,-2.0879363916311107,-0.15219842164599773,0.15219842164599773,0.23539305429888524,0,否,8.75,8.83,7.98,9.76,0,0,1,ok,20260611,20260610
6,20260610,20260610,20260611,20260612,600058.SH,五矿发展,10.34,TOP10,1,1,TOP10,市价竞价,≤10.78,市价竞价,≤10.78,冲高至11.38附近优先兑现；强势放量再看11.77；弱于10.18止损,冲高至11.38附近优先兑现；强势放量再看11.77；弱于10.18止损,市价竞价,≤10.78,市价竞价,≤10.78,冲高至11.38附近优先兑现；强势放量再看11.77；弱于10.18止损,冲高至11.38附近优先兑现；强势放量再看11.77；弱于10.18止损,0.757494,0.757494,57.7248,57.7248,0.845464,0.845464,72.4176,72.4176,0.757494,57.7248,0.845464,72.4176,,,,,,,,rule_fallback:model_missing,0.9728585597801835,0.9728585597801835,10.3,-0.003875973844692849,0.09622861785073225,0.0,0.10101074593375912,0.10101074593375912,up,high,False,False,-0.1001045916954251,-1.0844511129550671,-0.003868471953578201,0.003868471953578201,0.10487921788733733,0,否,10.9,10.95,9.81,11.37,0,0,1,ok,20260611,20260610
7,20260610,20260610,20260611,20260612,603886.SH,元祖股份,12.25,TOP10,1,1,TOP10,市价竞价,≤12.83,市价竞价,≤12.83,冲高至13.72附近优先兑现；强势放量再看14.19；弱于12.07止损,冲高至13.72附近优先兑现；强势放量再看14.19；弱于12.07止损,市价竞价,≤12.83,市价竞价,≤12.83,冲高至13.72附近优先兑现；强势放量再看14.19；弱于12.07止损,冲高至13.72附近优先兑现；强势放量再看14.19；弱于12.07止损,0.700139,0.700139,56.0042,56.0042,0.877574,0.877574,70.4959,70.4959,0.700139,56.0042,0.877574,70.4959,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,12.52,0.02180142868121652,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.09152725662578665,-1.200000000000001,0.022040816326530654,0.022040816326530654,0.09795918367346934,0,是,12.27,13.44,13.08,13.48,0,0,1,ok,20260611,20260610
8,20260610,20260610,20260611,20260612,600732.SH,爱旭股份,12.07,TOP10,1,1,TOP10,市价竞价,≤12.64,市价竞价,≤12.64,冲高至13.52附近优先兑现；强势放量再看13.98；弱于11.89止损,冲高至13.52附近优先兑现；强势放量再看13.98；弱于11.89止损,市价竞价,≤12.64,市价竞价,≤12.64,冲高至13.52附近优先兑现；强势放量再看13.98；弱于11.89止损,冲高至13.52附近优先兑现；强势放量再看13.98；弱于11.89止损,0.679762,0.679762,55.3929,55.3929,0.877574,0.877574,69.5281,69.5281,0.679762,55.3929,0.877574,69.5281,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,12.7,0.050878958355105315,0.11332868530700317,0.0,0.12,0.12,up,high,True,False,-0.062449726951897856,-0.8184000000000022,0.0521955260977629,0.0521955260977629,0.0678044739022371,0,是,12.07,13.04,12.54,13.28,0,0,1,ok,20260611,20260610
9,20260610,20260610,20260611,20260612,002636.SZ,金安国纪,77.42,TOP10,1,1,TOP10,市价竞价,≤80.87,市价竞价,≤80.87,冲高至85.75附近优先兑现；强势放量再看88.69；弱于76.26止损,冲高至85.75附近优先兑现；强势放量再看88.69；弱于76.26止损,市价竞价,≤80.87,市价竞价,≤80.87,冲高至85.75附近优先兑现；强势放量再看88.69；弱于76.26止损,冲高至85.75附近优先兑现；强势放量再看88.69；弱于76.26止损,0.670481,0.670481,55.1144,55.1144,0.862871,0.862871,68.7196,68.7196,0.670481,55.1144,0.862871,68.7196,,,,,,,,rule_fallback:model_missing,0.9795186138451011,0.9795186138451011,89.88,0.14923030216762628,0.10219533136704749,0.0,0.10759979958243174,0.10759979958243174,up,high,True,False,0.04703497080057879,4.129623516328124,0.16094032549728743,0.16094032549728743,0.05334052591485569,1,是,77.44,85.16,84.8,85.16,0,1,1,ok,20260611,20260610
10,20260610,20260610,20260611,20260612,600881.SH,亚泰集团,1.77,TOP10,1,1,TOP10,限价竞价,≤1.85,限价竞价,≤1.85,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,限价竞价,≤1.85,限价竞价,≤1.85,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,冲高至1.98附近优先兑现；强势放量再看2.05；弱于1.74止损,0.645156,0.645156,54.3547,54.3547,0.877574,0.877574,67.8843,67.8843,0.645156,54.3547,0.877574,67.8843,,,,,,,,rule_fallback:model_missing,0.98829186007614,0.98829186007614,1.77,0.0,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.11332868530700317,-0.21240000000000014,0.0,0.0,0.12,0,否,1.8,1.85,1.68,1.95,0,0,1,ok,20260611,20260610
