rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,t1_up_rate,T+1上涨率,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up,open_T_actual,high_T_actual,close_T_actual,t_limit_price_est,t_up_actual,t_limitup_actual,t_touch_limitup_actual,t_limitup_verify_ready,t_open_ret,t_intraday_ret,t_close_ret,t_high_profit_hit,open_T2_actual,high_T2_actual,low_T2_actual,close_T2_actual,t1_open_ret,t1_low_ret,t1_close_ret,t1_high_ret,t1_up_hit,t1_high_profit_hit,t1_accept_hit,t1_fail_hit,t1_big_drawdown_hit,t1_limitdown_risk_hit,t_limitup_verify_reason,t_limitup_verify_trade_date,d_analysis_trade_date
1,20260624,20260624,20260625,20260626,002303.SZ,美盈森,造纸,3.86,TOP10,1,1,TOP10,市价竞价,≤4.00,市价竞价,≤4.00,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,市价竞价,≤4.00,市价竞价,≤4.00,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,冲高至4.28附近优先兑现；强势放量再看4.46；弱于3.80止损,0.6239,0.6239,65.9288,65.9288,0.64553,0.64553,69.1468,69.1468,0.942247,60.4103,0.848215,80.4934,0.805059099951427,0.964411495666526,0.7630626720057094,0.6960776951232207,0.6013671900665492,0.7430417609946366,0.5805415179534544,0.4285276904863603,0.6612474099604233,0.0902168680331199,0.1062840733006761,0.0558442464888712,0.0879267243595713,0.6979599069112569,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.816818,0.6239,historical_bin_blend_v1,64.0431,71.1352,79.1491,66.7377,68.4971,68.4971,2,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.690198,0.745227,0.696078,0.727504,0.299657,0.252227,96.0204,25.3688,60.65,74.65,0.292,0.0,76.8272,76.8272,0.178866,92.9546,99.3367,67.0663,77.5671,57.537,0.57537,1,0,ELIGIBLE,ok,professional_score_rule_guarded,1,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.952896662621143,0.952896662621143,,0.1022741510152982,0.0,0.1076871036496301,0.1076871036496301,up,high,,,,,,,,,,3.99,4.25,4.25,4.25,1,1,1,1,0.03367875647668406,0.10103626943005195,0.10103626943005195,1,,,,,,,,,,,,,,,ok,20260625,20260624
2,20260624,20260624,20260625,20260626,603297.SH,永新光学,元器件,132.89,TOP10,1,1,TOP10,只观察不追,≤134.22,只观察不追,≤134.22,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,只观察不追,≤134.22,只观察不追,≤134.22,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,冲高至146.40附近优先兑现；强势放量再看153.58；弱于130.90止损,0.38384,0.38384,62.6611,62.6611,0.710978,0.710978,65.2381,65.2381,0.957846,76.4701,0.864998,85.5097,0.9294334436676916,0.9691275085007536,0.2883025537673044,0.5345502634276489,0.7166725301072534,0.5392392206904592,0.5752334704088944,0.333388426450445,0.6387097691123388,0.1079076302363975,0.1366538994748675,0.0383687053027894,0.0823626519154524,0.5955948608801818,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.489166,0.38384,historical_bin_blend_v1,43.5245,78.0979,75.964,66.1482,56.2421,56.2421,19,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.772146,0.601976,0.53455,0.725776,0.26705,0.240693,90.7143,25.3688,60.65,74.65,0.292,0.0,76.3556,76.3556,0.169576,86.531,98.6735,57.4441,77.5581,54.4678,0.544678,1,0,ELIGIBLE,ok,professional_score_rule_guarded,2,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.9139439471894152,0.9139439471894152,,0.0968468867068542,0.0,0.1016916770657908,0.1016916770657908,up,high,,,,,,,,,,136.88,136.88,131.3,146.18,0,0,0,1,0.030024832568289694,0.030024832568289694,-0.011964782903152837,1,,,,,,,,,,,,,,,ok,20260625,20260624
3,20260624,20260624,20260625,20260626,002427.SZ,尤夫股份,化纤,4.74,TOP10,1,1,TOP10,限价竞价,≤4.89,限价竞价,≤4.89,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,限价竞价,≤4.89,限价竞价,≤4.89,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,冲高至5.22附近优先兑现；强势放量再看5.48；弱于4.67止损,0.653369,0.653369,74.8093,74.8093,0.577521,0.577521,70.3796,70.3796,0.939992,64.6079,0.795503,80.0915,0.8904434990336809,0.96394599676809,0.8287946975181971,0.816101940409433,0.503041267835146,0.6997356025686869,0.5669888603252667,0.4089351102985201,0.7104356531001933,0.0953023218985254,0.1120287810742684,0.0411465431499398,0.1000067792560564,0.7218257197664373,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.862154,0.653369,historical_bin_blend_v1,69.2133,64.4064,84.8856,66.1318,72.3739,72.3739,1,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.665139,0.798914,0.816102,0.678931,0.337682,0.276083,88.7245,25.3688,60.65,74.65,0.292,0.0,76.3425,76.3425,0.192196,88.0045,100.0,70.6095,73.259,54.2515,0.542515,1,0,ELIGIBLE,ok,professional_score_rule_guarded,3,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.909774065650451,0.909774065650451,,0.0963434751097882,0.0,0.1011372122728778,0.1011372122728778,up,high,,,,,,,,,,4.62,4.78,4.66,5.21,0,0,0,1,-0.025316455696202556,0.00843881856540074,-0.016877637130801704,0,,,,,,,,,,,,,,,ok,20260625,20260624
4,20260624,20260624,20260625,20260626,605366.SH,宏柏新材,化工原料,11.88,TOP10,1,1,TOP10,只观察不追,≤12.00,只观察不追,≤12.00,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,只观察不追,≤12.00,只观察不追,≤12.00,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,冲高至13.12附近优先兑现；强势放量再看13.95；弱于11.70止损,0.507396,0.507396,60.9436,60.9436,0.507049,0.507049,59.2923,59.2923,0.771827,58.3385,0.769679,71.0775,0.8635799598796363,0.9331895749676348,0.6868641702523351,0.6268028528929944,0.4943325747094623,0.6243842159291368,0.3249226245902291,0.3639401499906977,0.6835901212079222,0.0884135313562542,0.1022847791731462,0.032051228707213,0.0601646851759828,0.6009732754940837,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.712353,0.507396,historical_bin_blend_v1,53.9093,58.9235,71.26,65.0891,59.7131,59.7131,8,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.606878,0.669605,0.626803,0.573481,0.368773,0.278499,94.0306,25.3688,47.18,48.98,0.0,0.0,70.8877,70.8877,0.140594,80.7088,75.6433,59.2192,62.3127,52.6791,0.526791,1,0,ELIGIBLE,ok,professional_score_rule_guarded,4,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.8616373748744117,0.8616373748744117,,0.0992957338964273,0.0,0.1043928576723361,0.1043928576723361,up,high,,,,,,,,,,13.07,13.07,13.07,13.07,1,1,1,1,0.10016835016835013,0.10016835016835013,0.10016835016835013,1,,,,,,,,,,,,,,,ok,20260625,20260624
5,20260624,20260624,20260625,20260626,001359.SZ,平安电工,矿物制品,129.03,TOP10,1,1,TOP10,只观察不追,≤130.32,只观察不追,≤130.32,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,只观察不追,≤130.32,只观察不追,≤130.32,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,冲高至142.15附近优先兑现；强势放量再看149.03；弱于127.09止损,0.350224,0.350224,57.3854,57.3854,0.68037,0.68037,61.3489,61.3489,0.740603,53.4528,0.799785,69.4332,0.9219034493085224,0.9619812058937154,0.3075244687276145,0.600071378379184,0.6994279133690376,0.5710940918519017,0.5429094046452244,0.3195159165440101,0.6221271280740748,0.1074241535205342,0.1262598759525727,0.0215711742426237,0.0753462649613911,0.6037634074471505,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.437448,0.350224,historical_bin_blend_v1,41.756,72.2868,71.5741,66.1174,53.7581,53.7581,20,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.747999,0.611461,0.600071,0.679523,0.286318,0.240306,90.7143,25.3688,60.65,74.65,0.292,0.0,76.3309,76.3309,0.173337,67.0399,95.9896,57.4038,72.7651,52.3996,0.523996,1,0,ELIGIBLE,ok,professional_score_rule_guarded,5,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.916590523517412,0.916590523517412,,0.0968468867068542,0.0,0.1016916770657908,0.1016916770657908,up,high,,,,,,,,,,131.0,134.04,127.57,141.93,0,0,0,1,0.015267767185925818,0.0388281794931411,-0.011315198015965366,1,,,,,,,,,,,,,,,ok,20260625,20260624
6,20260624,20260624,20260625,20260626,603989.SH,艾华集团,元器件,48.86,TOP10,1,1,TOP10,限价竞价,≤50.44,限价竞价,≤50.44,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,限价竞价,≤50.44,限价竞价,≤50.44,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,冲高至52.30附近优先兑现；强势放量再看54.80；弱于48.13止损,0.49582,0.49582,69.0648,69.0648,0.734077,0.734077,66.3264,66.3264,0.887496,77.5024,0.727773,79.525,0.8277352520642256,0.9334276663470932,0.6118501342707617,0.6343975204758339,0.7891314102879695,0.4912126010513751,0.61799981992158,0.3021303796080514,0.5843690522508812,0.0910327704381255,0.1075378587161101,0.0376843084174857,0.0553701539831474,0.6634770983882554,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.694544,0.49582,historical_bin_blend_v1,54.0247,78.8289,80.2144,66.1731,63.4074,63.4074,5,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.760301,0.668238,0.634398,0.68218,0.319226,0.236671,55.7764,25.3688,47.18,48.98,0.0,0.0,71.7549,71.7549,0.120646,85.6681,60.9796,59.4167,68.8849,49.4693,0.494693,1,0,ELIGIBLE,ok,professional_score_rule_guarded,7,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.8375730311925822,0.8375730311925822,,0.0681300630464818,0.0,0.0705045325053978,0.0705045325053978,up,high,,,,,,,,,,53.01,53.75,53.75,53.75,1,1,1,1,0.08493655341792872,0.10008186655751117,0.10008186655751117,1,,,,,,,,,,,,,,,ok,20260625,20260624
7,20260624,20260624,20260625,20260626,002550.SZ,千红制药,生物制药,6.51,TOP10,1,1,TOP10,限价竞价,≤6.71,限价竞价,≤6.71,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,限价竞价,≤6.71,限价竞价,≤6.71,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,冲高至7.10附近优先兑现；强势放量再看7.56；弱于6.41止损,0.534454,0.534454,73.8493,73.8493,0.585107,0.585107,67.4491,67.4491,0.876375,68.3321,0.711533,76.3146,0.8698412965600577,0.9581809197535982,0.7015280530164335,0.7752750373464236,0.5690064903511773,0.7770717288805239,0.5193859476821678,0.3497279034411071,0.5983572971939741,0.0769973002870796,0.1063226225188585,0.0284216301465885,0.0696846079230691,0.699218629128068,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.753982,0.534454,historical_bin_blend_v1,59.8206,65.5576,83.4933,65.2357,66.5751,66.5751,3,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.664833,0.739793,0.775275,0.646033,0.343195,0.248657,79.4388,25.3688,56.13,71.13,0.334,0.0,74.992,74.992,0.195117,77.6604,92.3485,65.5926,70.4131,49.4661,0.494661,1,0,ELIGIBLE,ok,professional_score_rule_guarded,8,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.8217573866692829,0.8217573866692829,,0.0862368058635181,0.0,0.0900644313927266,0.0900644313927266,up,high,,,,,,,,,,6.27,6.46,6.37,7.16,0,0,0,1,-0.03686635944700467,-0.007680491551459223,-0.021505376344086002,0,,,,,,,,,,,,,,,ok,20260625,20260624
8,20260624,20260624,20260625,20260626,002897.SZ,意华股份,元器件,93.16,TOP10,1,1,TOP10,只观察不追,≤94.09,只观察不追,≤94.09,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,只观察不追,≤94.09,只观察不追,≤94.09,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,冲高至104.34附近优先兑现；强势放量再看109.12；弱于91.76止损,0.38622,0.38622,65.0396,65.0396,0.592771,0.592771,60.2052,60.2052,0.837984,54.0987,0.82978,74.2567,0.931956223010718,0.9681769944426316,0.3449028465105946,0.7233357237627038,0.6014443042763283,0.4693008978282603,0.3840832743651351,0.4300977905261258,0.7367436679919697,0.1022002545602881,0.123810194881863,0.0103977410442403,0.0623583665370715,0.5722893314835383,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.492827,0.38622,historical_bin_blend_v1,47.3318,54.6976,74.9421,66.3543,56.6632,56.6632,17,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.687743,0.67053,0.723336,0.550321,0.372797,0.290348,99.0051,25.3688,60.65,74.65,0.292,0.0,76.5204,76.5204,0.202643,31.281,78.2729,61.4132,59.5079,47.7089,0.477089,1,0,ELIGIBLE,ok,professional_score_rule_guarded,9,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.9558531170729392,0.9558531170729392,,0.1133286853070031,0.0,0.12,0.12,up,high,,,,,,,,,,93.0,94.48,91.65,102.48,0,0,0,1,-0.0017174753112924046,0.014169171318162421,-0.016208673250321937,0,,,,,,,,,,,,,,,ok,20260625,20260624
9,20260624,20260624,20260625,20260626,002584.SZ,西陇科学,化工原料,11.02,TOP10,1,1,TOP10,只观察不追,≤11.13,只观察不追,≤11.13,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,只观察不追,≤11.13,只观察不追,≤11.13,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,冲高至12.04附近优先兑现；强势放量再看12.67；弱于10.85止损,0.562332,0.562332,68.2639,68.2639,0.556608,0.556608,63.5356,63.5356,0.942411,75.7723,0.845976,84.2374,0.8834253347451996,0.932392006642419,0.7344968702955028,0.6325827831492566,0.5569448535655406,0.5597078439827999,0.3243745141452835,0.3674405208042061,0.6318456053635513,0.087898591830766,0.1023260753100122,0.0376768633850163,0.0599967307034446,0.613645522697032,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.796871,0.562332,historical_bin_blend_v1,58.7008,63.9563,78.9175,66.0792,64.7982,64.7982,4,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.648117,0.691239,0.632583,0.577712,0.376168,0.262553,81.7602,25.3688,60.65,74.65,0.292,0.0,76.3004,76.3004,0.196646,85.0027,74.931,62.9002,66.1079,47.5937,0.475937,1,0,ELIGIBLE,ok,professional_score_rule_guarded,10,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.8780192528604194,0.8780192528604194,,0.0881405572770007,0.0,0.092141619692501,0.092141619692501,up,high,,,,,,,,,,11.75,11.75,10.27,12.12,0,0,0,1,0.06624319419237756,0.06624319419237756,-0.06805807622504534,1,,,,,,,,,,,,,,,ok,20260625,20260624
10,20260624,20260624,20260625,20260626,603407.SH,长裕集团,化工原料,90.55,TOP10,1,1,TOP10,只观察不追,≤91.46,只观察不追,≤91.46,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,只观察不追,≤91.46,只观察不追,≤91.46,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,冲高至99.85附近优先兑现；强势放量再看105.13；弱于89.19止损,0.396246,0.396246,73.4321,73.4321,0.574123,0.574123,61.706,61.706,0.918555,75.9954,0.799963,82.1699,0.9333398699451144,0.9701604389281192,0.3324065641539668,0.7172330073945995,0.5650828448966956,0.4070547326504264,0.413340769401838,0.4402241049941606,0.7314859020028113,0.1033382937286969,0.1220291903160926,0.00954174967549,0.0621186719735622,0.5613590540579353,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.43071645679548415;t1_accept_brier=0.2832975581485154;t1_ret_spearman_ic=0.0008683850338727877,degraded,0.508251,0.396246,historical_bin_blend_v1,48.7831,51.9746,81.6103,65.8165,58.8885,58.8885,11,0.5787931803288419,0.0665063399480776,0.2438565798096178,0.1108438999134626,0.674704,0.672497,0.717233,0.536448,0.394449,0.295212,92.7041,25.3688,60.65,74.65,0.292,0.0,76.0902,76.0902,0.208141,29.7048,77.5397,61.6291,57.7186,45.2945,0.452945,1,0,ELIGIBLE,ok,professional_score_rule_guarded,12,5511.0,0.2591181273816004,-0.0118877665357681,-0.020408163265306,158.0,0.0286699328615496,257.0,0.046634004717837,3297117946.5805902,0.2536884704994417,0.8998613484875717,0.8998613484875717,,0.0978069731667259,0.0,0.1027499042413998,0.1027499042413998,up,high,,,,,,,,,,94.77,99.61,91.87,99.6,1,0,1,1,0.04660408614025391,0.10005521811154061,0.014577581446714616,1,,,,,,,,,,,,,,,ok,20260625,20260624
